prot_id,prot_subset,trial_id,line_orientation,no_targets,trajectory_id,noise_present
8,7,601,horizontal,2,939,noise
8,7,602,vertical,2,231,noise
8,7,603,horizontal,1,890,no_noise
8,7,604,horizontal,2,647,noise
8,7,605,horizontal,2,804,no_noise
8,7,606,horizontal,1,653,noise
8,7,607,vertical,2,411,noise
8,7,608,horizontal,1,866,no_noise
8,7,609,horizontal,1,578,no_noise
8,7,610,vertical,2,223,noise
8,7,611,horizontal,2,631,noise
8,7,612,horizontal,1,641,noise
8,7,613,horizontal,1,726,no_noise
8,7,614,horizontal,2,523,noise
8,7,615,vertical,1,141,noise
8,7,616,horizontal,2,552,no_noise
8,7,617,vertical,2,324,no_noise
8,7,618,horizontal,1,917,noise
8,7,619,horizontal,1,650,no_noise
8,7,620,vertical,1,429,noise
8,7,621,horizontal,2,628,no_noise
8,7,622,vertical,1,42,no_noise
8,7,623,vertical,1,77,noise
8,7,624,horizontal,2,635,noise
8,7,625,horizontal,2,827,noise
8,7,626,vertical,1,466,no_noise
8,7,627,vertical,1,233,noise
8,7,628,horizontal,2,531,noise
8,7,629,vertical,1,385,noise
8,7,630,vertical,1,246,no_noise
8,7,631,vertical,1,158,no_noise
8,7,632,vertical,2,92,no_noise
8,7,633,horizontal,1,957,noise
8,7,634,vertical,2,127,noise
8,7,635,horizontal,2,928,no_noise
8,7,636,horizontal,1,529,noise
8,7,637,vertical,2,371,noise
8,7,638,vertical,2,131,noise
8,7,639,horizontal,1,561,noise
8,7,640,vertical,1,185,noise
8,7,641,vertical,1,346,no_noise
8,7,642,horizontal,1,722,no_noise
8,7,643,horizontal,1,966,no_noise
8,7,644,horizontal,1,946,no_noise
8,7,645,vertical,2,332,no_noise
8,7,646,vertical,1,434,no_noise
8,7,647,horizontal,1,717,noise
8,7,648,horizontal,2,915,noise
8,7,649,vertical,1,222,no_noise
8,7,650,horizontal,1,914,no_noise
8,7,651,vertical,1,209,noise
8,7,652,vertical,1,101,noise
8,7,653,horizontal,1,553,noise
8,7,654,vertical,2,500,no_noise
8,7,655,horizontal,1,742,no_noise
8,7,656,vertical,1,310,no_noise
8,7,657,horizontal,1,970,no_noise
8,7,658,vertical,1,214,no_noise
8,7,659,horizontal,1,997,noise
8,7,660,horizontal,1,818,no_noise
8,7,661,horizontal,1,678,no_noise
8,7,662,horizontal,2,764,no_noise
8,7,663,horizontal,1,586,no_noise
8,7,664,vertical,1,46,no_noise
8,7,665,vertical,1,130,no_noise
8,7,666,horizontal,1,986,no_noise
8,7,667,vertical,1,202,no_noise
8,7,668,horizontal,2,907,noise
8,7,669,vertical,2,208,no_noise
8,7,670,horizontal,2,880,no_noise
8,7,671,horizontal,2,512,no_noise
8,7,672,horizontal,2,615,noise
8,7,673,vertical,1,198,no_noise
8,7,674,horizontal,1,713,noise
8,7,675,vertical,2,275,noise
8,7,676,vertical,2,147,noise
8,7,677,horizontal,1,965,noise
8,7,678,horizontal,1,861,noise
8,7,679,vertical,1,326,no_noise
8,7,680,horizontal,2,747,noise
8,7,681,vertical,2,171,noise
8,7,682,horizontal,2,863,noise
8,7,683,horizontal,2,591,noise
8,7,684,vertical,2,307,noise
8,7,685,horizontal,1,766,no_noise
8,7,686,horizontal,1,513,noise
8,7,687,vertical,2,95,noise
8,7,688,vertical,1,21,noise
8,7,689,horizontal,1,898,no_noise
8,7,690,horizontal,1,973,noise
8,7,691,horizontal,1,853,noise
8,7,692,vertical,2,91,noise
8,7,693,vertical,1,441,noise
8,7,694,vertical,1,57,noise
8,7,695,horizontal,1,873,noise
8,7,696,horizontal,2,639,noise
8,7,697,vertical,1,458,no_noise
8,7,698,horizontal,1,666,no_noise
8,7,699,horizontal,2,708,no_noise
8,7,700,vertical,2,240,no_noise
