prot_id,prot_subset,trial_id,line_orientation,noise_present,no_targets,trajectory_id
7,4,301,vertical,no_noise,1,290
7,4,302,horizontal,noise,1,521
7,4,303,vertical,no_noise,1,90
7,4,304,vertical,noise,1,157
7,4,305,vertical,no_noise,1,454
7,4,306,horizontal,noise,1,893
7,4,307,vertical,noise,1,485
7,4,308,horizontal,noise,2,907
7,4,309,vertical,noise,1,325
7,4,310,vertical,noise,1,193
7,4,311,vertical,noise,1,301
7,4,312,vertical,no_noise,2,88
7,4,313,vertical,no_noise,1,26
7,4,314,horizontal,noise,2,1007
7,4,315,horizontal,no_noise,2,720
7,4,316,vertical,noise,2,163
7,4,317,horizontal,noise,2,615
7,4,318,vertical,no_noise,2,184
7,4,319,vertical,noise,2,283
7,4,320,horizontal,no_noise,2,564
7,4,321,vertical,noise,2,247
7,4,322,horizontal,noise,1,733
7,4,323,vertical,noise,2,223
7,4,324,horizontal,noise,2,691
7,4,325,vertical,noise,2,175
7,4,326,horizontal,no_noise,1,938
7,4,327,vertical,no_noise,1,138
7,4,328,horizontal,noise,1,801
7,4,329,vertical,noise,2,299
7,4,330,horizontal,noise,2,1003
7,4,331,vertical,no_noise,1,78
7,4,332,vertical,no_noise,2,356
7,4,333,horizontal,noise,1,757
7,4,334,vertical,no_noise,2,304
7,4,335,horizontal,no_noise,1,950
7,4,336,vertical,noise,2,151
7,4,337,horizontal,noise,1,761
7,4,338,horizontal,no_noise,2,864
7,4,339,horizontal,noise,1,885
7,4,340,horizontal,no_noise,1,890
7,4,341,horizontal,noise,2,975
7,4,342,vertical,noise,2,231
7,4,343,vertical,no_noise,1,494
7,4,344,vertical,noise,1,169
7,4,345,horizontal,no_noise,1,822
7,4,346,vertical,noise,2,107
7,4,347,horizontal,noise,1,613
7,4,348,horizontal,no_noise,1,526
7,4,349,horizontal,noise,2,959
7,4,350,vertical,no_noise,1,286
7,4,351,horizontal,noise,2,719
7,4,352,vertical,no_noise,1,18
7,4,353,vertical,noise,2,439
7,4,354,vertical,no_noise,2,376
7,4,355,vertical,no_noise,1,122
7,4,356,horizontal,noise,2,747
7,4,357,vertical,noise,2,39
7,4,358,horizontal,no_noise,2,556
7,4,359,vertical,no_noise,1,146
7,4,360,horizontal,noise,1,693
7,4,361,horizontal,noise,2,783
7,4,362,vertical,noise,1,377
7,4,363,horizontal,noise,2,915
7,4,364,vertical,noise,1,465
7,4,365,horizontal,no_noise,2,616
7,4,366,vertical,noise,2,399
7,4,367,vertical,no_noise,2,432
7,4,368,vertical,noise,1,385
7,4,369,vertical,no_noise,2,400
7,4,370,horizontal,no_noise,2,964
7,4,371,vertical,no_noise,2,12
7,4,372,horizontal,no_noise,1,670
7,4,373,horizontal,no_noise,1,742
7,4,374,vertical,noise,2,467
7,4,375,vertical,no_noise,2,328
7,4,376,horizontal,no_noise,1,986
7,4,377,vertical,no_noise,2,20
7,4,378,horizontal,noise,1,769
7,4,379,horizontal,no_noise,2,600
7,4,380,vertical,noise,2,255
7,4,381,horizontal,noise,2,875
7,4,382,vertical,noise,1,69
7,4,383,horizontal,no_noise,2,1004
7,4,384,vertical,no_noise,2,492
7,4,385,vertical,noise,1,25
7,4,386,vertical,noise,1,405
7,4,387,vertical,no_noise,1,318
7,4,388,vertical,no_noise,1,54
7,4,389,vertical,no_noise,1,186
7,4,390,vertical,no_noise,1,94
7,4,391,vertical,noise,1,73
7,4,392,horizontal,no_noise,1,682
7,4,393,horizontal,noise,2,631
7,4,394,vertical,noise,1,449
7,4,395,horizontal,no_noise,1,714
7,4,396,horizontal,no_noise,2,668
7,4,397,vertical,no_noise,1,274
7,4,398,horizontal,noise,1,537
7,4,399,vertical,noise,1,425
7,4,400,vertical,noise,2,307
