prot_id,prot_subset,trial_id,no_targets,trajectory_id,noise_present,line_orientation
6,5,401,2,708,no_noise,horizontal
6,5,402,2,860,no_noise,horizontal
6,5,403,1,278,no_noise,vertical
6,5,404,1,729,noise,horizontal
6,5,405,2,631,noise,horizontal
6,5,406,1,654,no_noise,horizontal
6,5,407,2,596,no_noise,horizontal
6,5,408,1,350,no_noise,vertical
6,5,409,2,75,noise,vertical
6,5,410,1,33,noise,vertical
6,5,411,1,901,noise,horizontal
6,5,412,1,801,noise,horizontal
6,5,413,1,565,noise,horizontal
6,5,414,2,504,no_noise,vertical
6,5,415,2,195,noise,vertical
6,5,416,2,859,noise,horizontal
6,5,417,1,754,no_noise,horizontal
6,5,418,1,197,noise,vertical
6,5,419,2,948,no_noise,horizontal
6,5,420,1,898,no_noise,horizontal
6,5,421,1,673,noise,horizontal
6,5,422,1,966,no_noise,horizontal
6,5,423,2,736,no_noise,horizontal
6,5,424,1,570,no_noise,horizontal
6,5,425,2,868,no_noise,horizontal
6,5,426,2,100,no_noise,vertical
6,5,427,2,207,noise,vertical
6,5,428,1,757,noise,horizontal
6,5,429,1,490,no_noise,vertical
6,5,430,1,874,no_noise,horizontal
6,5,431,1,789,noise,horizontal
6,5,432,2,639,noise,horizontal
6,5,433,2,928,no_noise,horizontal
6,5,434,2,600,no_noise,horizontal
6,5,435,1,453,noise,vertical
6,5,436,2,740,no_noise,horizontal
6,5,437,2,775,noise,horizontal
6,5,438,2,380,no_noise,vertical
6,5,439,2,500,no_noise,vertical
6,5,440,1,865,noise,horizontal
6,5,441,1,414,no_noise,vertical
6,5,442,1,90,no_noise,vertical
6,5,443,2,568,no_noise,horizontal
6,5,444,1,25,noise,vertical
6,5,445,1,605,noise,horizontal
6,5,446,1,429,noise,vertical
6,5,447,2,951,noise,horizontal
6,5,448,2,800,no_noise,horizontal
6,5,449,1,774,no_noise,horizontal
6,5,450,2,240,no_noise,vertical
6,5,451,1,674,no_noise,horizontal
6,5,452,2,720,no_noise,horizontal
6,5,453,2,1000,no_noise,horizontal
6,5,454,1,577,noise,horizontal
6,5,455,1,1005,noise,horizontal
6,5,456,2,420,no_noise,vertical
6,5,457,1,897,noise,horizontal
6,5,458,2,427,noise,vertical
6,5,459,1,933,noise,horizontal
6,5,460,1,889,noise,horizontal
6,5,461,1,78,no_noise,vertical
6,5,462,2,188,no_noise,vertical
6,5,463,1,493,noise,vertical
6,5,464,2,331,noise,vertical
6,5,465,1,850,no_noise,horizontal
6,5,466,1,398,no_noise,vertical
6,5,467,1,961,noise,horizontal
6,5,468,2,559,noise,horizontal
6,5,469,1,534,no_noise,horizontal
6,5,470,1,57,noise,vertical
6,5,471,2,755,noise,horizontal
6,5,472,2,879,noise,horizontal
6,5,473,2,963,noise,horizontal
6,5,474,2,539,noise,horizontal
6,5,475,2,439,noise,vertical
6,5,476,1,513,noise,horizontal
6,5,477,1,149,noise,vertical
6,5,478,1,417,noise,vertical
6,5,479,1,794,no_noise,horizontal
6,5,480,2,404,no_noise,vertical
6,5,481,2,635,noise,horizontal
6,5,482,1,310,no_noise,vertical
6,5,483,1,294,no_noise,vertical
6,5,484,1,917,noise,horizontal
6,5,485,1,809,noise,horizontal
6,5,486,1,842,no_noise,horizontal
6,5,487,1,725,noise,horizontal
6,5,488,1,174,no_noise,vertical
6,5,489,2,91,noise,vertical
6,5,490,2,520,no_noise,horizontal
6,5,491,1,194,no_noise,vertical
6,5,492,1,845,noise,horizontal
6,5,493,2,939,noise,horizontal
6,5,494,2,535,noise,horizontal
6,5,495,1,669,noise,horizontal
6,5,496,1,834,no_noise,horizontal
6,5,497,1,226,no_noise,vertical
6,5,498,2,43,noise,vertical
6,5,499,1,830,no_noise,horizontal
6,5,500,2,935,noise,horizontal
