prot_id,prot_subset,trial_id,line_orientation,noise_present,no_targets,trajectory_id
7,9,801,vertical,noise,1,221
7,9,802,horizontal,no_noise,1,946
7,9,803,horizontal,no_noise,2,888
7,9,804,horizontal,noise,1,557
7,9,805,horizontal,noise,2,879
7,9,806,vertical,no_noise,1,74
7,9,807,horizontal,noise,1,853
7,9,808,horizontal,noise,2,963
7,9,809,horizontal,noise,2,775
7,9,810,vertical,noise,2,471
7,9,811,vertical,no_noise,2,44
7,9,812,horizontal,noise,1,785
7,9,813,horizontal,no_noise,2,576
7,9,814,vertical,no_noise,1,502
7,9,815,vertical,no_noise,1,478
7,9,816,vertical,noise,2,391
7,9,817,vertical,no_noise,2,64
7,9,818,horizontal,noise,2,739
7,9,819,horizontal,no_noise,1,666
7,9,820,vertical,no_noise,2,96
7,9,821,horizontal,noise,2,987
7,9,822,vertical,noise,1,149
7,9,823,horizontal,noise,2,687
7,9,824,horizontal,no_noise,1,590
7,9,825,vertical,no_noise,2,84
7,9,826,horizontal,no_noise,1,998
7,9,827,vertical,noise,1,305
7,9,828,horizontal,no_noise,1,982
7,9,829,horizontal,noise,2,803
7,9,830,vertical,noise,2,95
7,9,831,horizontal,no_noise,2,940
7,9,832,horizontal,no_noise,2,768
7,9,833,horizontal,noise,2,651
7,9,834,horizontal,noise,2,883
7,9,835,horizontal,noise,1,877
7,9,836,vertical,no_noise,1,446
7,9,837,vertical,noise,2,127
7,9,838,horizontal,noise,2,635
7,9,839,horizontal,noise,2,703
7,9,840,vertical,no_noise,2,364
7,9,841,vertical,no_noise,2,396
7,9,842,horizontal,no_noise,2,640
7,9,843,vertical,no_noise,1,130
7,9,844,horizontal,noise,2,851
7,9,845,horizontal,no_noise,1,758
7,9,846,vertical,noise,2,291
7,9,847,vertical,noise,1,93
7,9,848,vertical,noise,1,453
7,9,849,horizontal,noise,2,763
7,9,850,vertical,no_noise,2,260
7,9,851,horizontal,noise,2,579
7,9,852,horizontal,no_noise,2,824
7,9,853,horizontal,no_noise,1,702
7,9,854,horizontal,no_noise,2,844
7,9,855,horizontal,no_noise,1,886
7,9,856,horizontal,no_noise,1,858
7,9,857,horizontal,noise,2,843
7,9,858,vertical,noise,1,429
7,9,859,horizontal,no_noise,2,604
7,9,860,vertical,no_noise,1,298
7,9,861,horizontal,noise,2,799
7,9,862,horizontal,noise,1,925
7,9,863,vertical,no_noise,1,402
7,9,864,vertical,no_noise,2,416
7,9,865,horizontal,no_noise,1,606
7,9,866,horizontal,no_noise,2,676
7,9,867,horizontal,noise,2,567
7,9,868,horizontal,no_noise,2,736
7,9,869,horizontal,noise,1,797
7,9,870,horizontal,no_noise,1,530
7,9,871,horizontal,no_noise,1,646
7,9,872,horizontal,no_noise,1,746
7,9,873,vertical,noise,1,365
7,9,874,horizontal,no_noise,2,896
7,9,875,vertical,no_noise,1,190
7,9,876,horizontal,noise,1,661
7,9,877,vertical,no_noise,2,196
7,9,878,vertical,noise,2,359
7,9,879,horizontal,noise,1,993
7,9,880,vertical,no_noise,2,240
7,9,881,vertical,no_noise,1,390
7,9,882,vertical,no_noise,1,238
7,9,883,horizontal,noise,1,541
7,9,884,horizontal,no_noise,2,700
7,9,885,horizontal,no_noise,1,882
7,9,886,vertical,noise,1,233
7,9,887,horizontal,noise,2,643
7,9,888,horizontal,no_noise,1,694
7,9,889,vertical,noise,1,317
7,9,890,horizontal,noise,1,1001
7,9,891,horizontal,no_noise,2,784
7,9,892,horizontal,no_noise,2,528
7,9,893,vertical,no_noise,2,496
7,9,894,vertical,noise,2,239
7,9,895,vertical,no_noise,2,388
7,9,896,vertical,no_noise,1,110
7,9,897,vertical,noise,2,423
7,9,898,horizontal,noise,2,903
7,9,899,vertical,no_noise,2,332
7,9,900,horizontal,no_noise,2,936
