prot_id,prot_subset,trial_id,noise_present,trajectory_id,line_orientation,no_targets
4,8,701,no_noise,320,vertical,2
4,8,702,no_noise,118,vertical,1
4,8,703,no_noise,938,horizontal,1
4,8,704,noise,903,horizontal,2
4,8,705,noise,929,horizontal,1
4,8,706,noise,589,horizontal,1
4,8,707,no_noise,874,horizontal,1
4,8,708,no_noise,744,horizontal,2
4,8,709,noise,313,vertical,1
4,8,710,noise,287,vertical,2
4,8,711,noise,539,horizontal,2
4,8,712,no_noise,460,vertical,2
4,8,713,noise,345,vertical,1
4,8,714,noise,443,vertical,2
4,8,715,noise,177,vertical,1
4,8,716,no_noise,878,horizontal,1
4,8,717,noise,841,horizontal,1
4,8,718,no_noise,132,vertical,2
4,8,719,noise,11,vertical,2
4,8,720,no_noise,400,vertical,2
4,8,721,no_noise,60,vertical,2
4,8,722,noise,845,horizontal,1
4,8,723,noise,995,horizontal,2
4,8,724,noise,467,vertical,2
4,8,725,noise,369,vertical,1
4,8,726,no_noise,820,horizontal,2
4,8,727,noise,587,horizontal,2
4,8,728,noise,415,vertical,2
4,8,729,noise,831,horizontal,2
4,8,730,noise,293,vertical,1
4,8,731,noise,457,vertical,1
4,8,732,no_noise,528,horizontal,2
4,8,733,noise,519,horizontal,2
4,8,734,noise,189,vertical,1
4,8,735,noise,501,vertical,1
4,8,736,noise,175,vertical,2
4,8,737,noise,43,vertical,2
4,8,738,no_noise,430,vertical,1
4,8,739,noise,579,horizontal,2
4,8,740,noise,231,vertical,2
4,8,741,noise,85,vertical,1
4,8,742,no_noise,802,horizontal,1
4,8,743,no_noise,538,horizontal,1
4,8,744,noise,259,vertical,2
4,8,745,noise,277,vertical,1
4,8,746,noise,179,vertical,2
4,8,747,noise,639,horizontal,2
4,8,748,no_noise,140,vertical,2
4,8,749,noise,39,vertical,2
4,8,750,noise,675,horizontal,2
4,8,751,no_noise,724,horizontal,2
4,8,752,no_noise,76,vertical,2
4,8,753,noise,619,horizontal,2
4,8,754,noise,531,horizontal,2
4,8,755,no_noise,604,horizontal,2
4,8,756,noise,347,vertical,2
4,8,757,noise,511,horizontal,2
4,8,758,noise,15,vertical,2
4,8,759,noise,125,vertical,1
4,8,760,no_noise,380,vertical,2
4,8,761,no_noise,298,vertical,1
4,8,762,noise,327,vertical,2
4,8,763,no_noise,126,vertical,1
4,8,764,noise,989,horizontal,1
4,8,765,no_noise,624,horizontal,2
4,8,766,noise,729,horizontal,1
4,8,767,noise,899,horizontal,2
4,8,768,no_noise,1004,horizontal,2
4,8,769,noise,753,horizontal,1
4,8,770,noise,751,horizontal,2
4,8,771,no_noise,762,horizontal,1
4,8,772,noise,915,horizontal,2
4,8,773,no_noise,618,horizontal,1
4,8,774,noise,247,vertical,2
4,8,775,no_noise,866,horizontal,1
4,8,776,noise,565,horizontal,1
4,8,777,no_noise,902,horizontal,1
4,8,778,noise,977,horizontal,1
4,8,779,no_noise,858,horizontal,1
4,8,780,noise,655,horizontal,2
4,8,781,noise,623,horizontal,2
4,8,782,noise,477,vertical,1
4,8,783,no_noise,630,horizontal,1
4,8,784,no_noise,332,vertical,2
4,8,785,no_noise,442,vertical,1
4,8,786,no_noise,884,horizontal,2
4,8,787,no_noise,134,vertical,1
4,8,788,no_noise,72,vertical,2
4,8,789,no_noise,186,vertical,1
4,8,790,noise,633,horizontal,1
4,8,791,noise,451,vertical,2
4,8,792,no_noise,196,vertical,2
4,8,793,noise,465,vertical,1
4,8,794,noise,735,horizontal,2
4,8,795,noise,757,horizontal,1
4,8,796,no_noise,88,vertical,2
4,8,797,noise,731,horizontal,2
4,8,798,no_noise,174,vertical,1
4,8,799,no_noise,800,horizontal,2
4,8,800,no_noise,382,vertical,1
