prot_id,prot_subset,trial_id,noise_present,line_orientation,no_targets,trajectory_id
1,10,901,no_noise,vertical,2,372
1,10,902,no_noise,vertical,1,218
1,10,903,no_noise,vertical,2,144
1,10,904,noise,horizontal,2,791
1,10,905,noise,horizontal,1,753
1,10,906,no_noise,horizontal,2,872
1,10,907,no_noise,horizontal,2,816
1,10,908,noise,horizontal,2,815
1,10,909,noise,horizontal,1,785
1,10,910,noise,vertical,2,31
1,10,911,noise,horizontal,1,585
1,10,912,no_noise,horizontal,2,992
1,10,913,no_noise,horizontal,1,750
1,10,914,no_noise,vertical,2,364
1,10,915,noise,vertical,1,261
1,10,916,no_noise,horizontal,2,724
1,10,917,no_noise,vertical,2,464
1,10,918,noise,vertical,1,357
1,10,919,no_noise,horizontal,2,584
1,10,920,no_noise,vertical,1,130
1,10,921,noise,vertical,1,389
1,10,922,no_noise,horizontal,2,624
1,10,923,no_noise,vertical,1,358
1,10,924,noise,vertical,2,367
1,10,925,noise,vertical,2,51
1,10,926,noise,vertical,1,5
1,10,927,noise,horizontal,1,857
1,10,928,no_noise,vertical,1,318
1,10,929,noise,vertical,2,219
1,10,930,no_noise,vertical,2,160
1,10,931,no_noise,horizontal,1,538
1,10,932,no_noise,vertical,2,36
1,10,933,noise,horizontal,2,523
1,10,934,no_noise,horizontal,1,642
1,10,935,no_noise,vertical,2,316
1,10,936,no_noise,vertical,1,486
1,10,937,no_noise,vertical,1,18
1,10,938,noise,horizontal,1,761
1,10,939,noise,horizontal,1,725
1,10,940,noise,vertical,1,437
1,10,941,noise,horizontal,1,689
1,10,942,noise,horizontal,2,883
1,10,943,noise,horizontal,2,579
1,10,944,no_noise,horizontal,2,880
1,10,945,noise,vertical,1,113
1,10,946,no_noise,vertical,1,74
1,10,947,no_noise,vertical,2,500
1,10,948,noise,vertical,2,7
1,10,949,no_noise,vertical,2,196
1,10,950,no_noise,horizontal,1,902
1,10,951,no_noise,vertical,2,212
1,10,952,no_noise,vertical,1,202
1,10,953,no_noise,horizontal,2,876
1,10,954,noise,vertical,2,371
1,10,955,no_noise,vertical,2,16
1,10,956,no_noise,horizontal,1,842
1,10,957,noise,horizontal,2,603
1,10,958,noise,vertical,1,253
1,10,959,no_noise,horizontal,1,514
1,10,960,no_noise,horizontal,1,942
1,10,961,no_noise,vertical,1,106
1,10,962,no_noise,horizontal,2,788
1,10,963,no_noise,horizontal,2,856
1,10,964,no_noise,horizontal,2,636
1,10,965,noise,horizontal,2,751
1,10,966,no_noise,horizontal,1,938
1,10,967,noise,horizontal,1,921
1,10,968,no_noise,vertical,1,322
1,10,969,noise,vertical,1,273
1,10,970,noise,horizontal,2,843
1,10,971,no_noise,vertical,1,258
1,10,972,no_noise,vertical,1,370
1,10,973,noise,vertical,2,47
1,10,974,noise,vertical,2,151
1,10,975,no_noise,vertical,1,122
1,10,976,no_noise,vertical,1,70
1,10,977,no_noise,vertical,1,154
1,10,978,noise,horizontal,1,621
1,10,979,noise,vertical,1,101
1,10,980,noise,vertical,2,355
1,10,981,noise,vertical,2,387
1,10,982,noise,horizontal,1,745
1,10,983,no_noise,vertical,1,438
1,10,984,noise,horizontal,2,555
1,10,985,noise,horizontal,1,537
1,10,986,noise,horizontal,2,907
1,10,987,noise,vertical,1,153
1,10,988,noise,vertical,1,105
1,10,989,noise,vertical,1,317
1,10,990,no_noise,vertical,2,292
1,10,991,noise,vertical,2,11
1,10,992,no_noise,horizontal,1,742
1,10,993,noise,vertical,1,365
1,10,994,noise,vertical,1,337
1,10,995,noise,horizontal,1,949
1,10,996,noise,vertical,2,423
1,10,997,no_noise,vertical,2,64
1,10,998,no_noise,horizontal,1,882
1,10,999,noise,horizontal,1,845
1,10,1000,no_noise,horizontal,2,728
