prot_id,prot_subset,trial_id,line_orientation,no_targets,noise_present,trajectory_id
5,6,501,vertical,1,noise,489
5,6,502,horizontal,1,no_noise,698
5,6,503,vertical,1,no_noise,82
5,6,504,horizontal,2,noise,771
5,6,505,vertical,1,no_noise,318
5,6,506,vertical,2,noise,371
5,6,507,vertical,2,no_noise,152
5,6,508,horizontal,2,noise,767
5,6,509,vertical,1,noise,381
5,6,510,horizontal,1,noise,861
5,6,511,vertical,1,noise,477
5,6,512,horizontal,1,noise,973
5,6,513,vertical,1,no_noise,22
5,6,514,horizontal,1,noise,833
5,6,515,horizontal,1,noise,593
5,6,516,horizontal,2,no_noise,796
5,6,517,horizontal,2,no_noise,600
5,6,518,horizontal,2,no_noise,984
5,6,519,vertical,1,noise,465
5,6,520,vertical,2,noise,323
5,6,521,vertical,1,noise,69
5,6,522,horizontal,2,noise,895
5,6,523,vertical,1,no_noise,434
5,6,524,horizontal,1,no_noise,610
5,6,525,horizontal,1,noise,601
5,6,526,vertical,2,no_noise,264
5,6,527,vertical,2,noise,271
5,6,528,vertical,2,no_noise,500
5,6,529,horizontal,2,no_noise,912
5,6,530,horizontal,1,no_noise,910
5,6,531,vertical,1,no_noise,38
5,6,532,vertical,2,no_noise,460
5,6,533,vertical,2,no_noise,180
5,6,534,vertical,2,noise,35
5,6,535,vertical,1,noise,393
5,6,536,horizontal,1,noise,617
5,6,537,horizontal,1,no_noise,870
5,6,538,horizontal,2,noise,679
5,6,539,horizontal,2,no_noise,720
5,6,540,horizontal,1,noise,801
5,6,541,vertical,2,no_noise,84
5,6,542,horizontal,1,noise,893
5,6,543,horizontal,2,no_noise,808
5,6,544,vertical,1,no_noise,66
5,6,545,horizontal,2,no_noise,548
5,6,546,horizontal,1,no_noise,762
5,6,547,horizontal,1,no_noise,866
5,6,548,vertical,1,no_noise,158
5,6,549,vertical,1,no_noise,446
5,6,550,vertical,1,no_noise,422
5,6,551,vertical,2,noise,275
5,6,552,horizontal,2,noise,847
5,6,553,horizontal,1,no_noise,590
5,6,554,vertical,1,noise,33
5,6,555,vertical,1,no_noise,214
5,6,556,horizontal,2,no_noise,540
5,6,557,horizontal,1,noise,625
5,6,558,horizontal,2,no_noise,784
5,6,559,vertical,2,noise,499
5,6,560,vertical,2,no_noise,472
5,6,561,horizontal,2,no_noise,812
5,6,562,vertical,1,noise,453
5,6,563,horizontal,2,noise,835
5,6,564,vertical,1,no_noise,418
5,6,565,vertical,2,no_noise,100
5,6,566,horizontal,1,noise,525
5,6,567,vertical,2,no_noise,412
5,6,568,horizontal,1,no_noise,930
5,6,569,horizontal,2,no_noise,580
5,6,570,horizontal,1,no_noise,726
5,6,571,vertical,1,noise,245
5,6,572,horizontal,2,noise,755
5,6,573,vertical,2,no_noise,96
5,6,574,vertical,1,no_noise,182
5,6,575,vertical,2,noise,215
5,6,576,vertical,1,no_noise,122
5,6,577,horizontal,1,noise,965
5,6,578,vertical,1,no_noise,474
5,6,579,horizontal,1,no_noise,750
5,6,580,horizontal,1,no_noise,894
5,6,581,vertical,1,noise,269
5,6,582,vertical,1,no_noise,34
5,6,583,horizontal,2,no_noise,844
5,6,584,vertical,2,no_noise,404
5,6,585,vertical,2,noise,487
5,6,586,horizontal,2,noise,963
5,6,587,vertical,1,noise,449
5,6,588,horizontal,1,no_noise,934
5,6,589,horizontal,1,noise,913
5,6,590,vertical,2,no_noise,400
5,6,591,vertical,2,noise,439
5,6,592,vertical,2,no_noise,28
5,6,593,horizontal,1,noise,873
5,6,594,vertical,2,no_noise,124
5,6,595,horizontal,2,noise,875
5,6,596,horizontal,2,noise,955
5,6,597,horizontal,2,no_noise,756
5,6,598,vertical,2,no_noise,284
5,6,599,vertical,1,no_noise,62
5,6,600,vertical,2,no_noise,12
