prot_id,prot_subset,trial_id,line_orientation,no_targets,trajectory_id,noise_present
8,2,101,vertical,2,323,noise
8,2,102,vertical,2,99,noise
8,2,103,horizontal,1,989,noise
8,2,104,vertical,1,330,no_noise
8,2,105,horizontal,1,758,no_noise
8,2,106,horizontal,1,542,no_noise
8,2,107,horizontal,2,536,no_noise
8,2,108,horizontal,2,576,no_noise
8,2,109,horizontal,2,812,no_noise
8,2,110,vertical,1,445,noise
8,2,111,vertical,1,186,no_noise
8,2,112,vertical,2,379,noise
8,2,113,vertical,2,391,noise
8,2,114,vertical,2,252,no_noise
8,2,115,vertical,1,497,noise
8,2,116,horizontal,2,643,noise
8,2,117,vertical,1,189,noise
8,2,118,horizontal,2,955,noise
8,2,119,horizontal,2,739,noise
8,2,120,horizontal,1,777,noise
8,2,121,vertical,1,481,noise
8,2,122,vertical,1,230,no_noise
8,2,123,vertical,1,190,no_noise
8,2,124,horizontal,1,573,noise
8,2,125,vertical,1,174,no_noise
8,2,126,horizontal,1,794,no_noise
8,2,127,horizontal,2,867,noise
8,2,128,vertical,1,457,noise
8,2,129,horizontal,2,848,no_noise
8,2,130,horizontal,1,877,noise
8,2,131,vertical,2,104,no_noise
8,2,132,horizontal,1,558,no_noise
8,2,133,horizontal,1,685,noise
8,2,134,horizontal,1,577,noise
8,2,135,vertical,2,143,noise
8,2,136,horizontal,1,570,no_noise
8,2,137,horizontal,1,826,no_noise
8,2,138,horizontal,1,665,noise
8,2,139,vertical,1,254,no_noise
8,2,140,horizontal,2,619,noise
8,2,141,vertical,1,94,no_noise
8,2,142,vertical,2,471,noise
8,2,143,horizontal,2,911,noise
8,2,144,horizontal,1,689,noise
8,2,145,horizontal,1,661,noise
8,2,146,vertical,1,362,no_noise
8,2,147,horizontal,1,1002,no_noise
8,2,148,horizontal,2,716,no_noise
8,2,149,horizontal,2,899,noise
8,2,150,horizontal,2,840,no_noise
8,2,151,vertical,1,329,noise
8,2,152,vertical,1,482,no_noise
8,2,153,horizontal,2,535,noise
8,2,154,vertical,1,317,noise
8,2,155,horizontal,1,841,noise
8,2,156,horizontal,1,998,no_noise
8,2,157,horizontal,1,638,no_noise
8,2,158,vertical,2,12,no_noise
8,2,159,horizontal,1,821,noise
8,2,160,horizontal,1,654,no_noise
8,2,161,vertical,1,169,noise
8,2,162,horizontal,1,658,no_noise
8,2,163,horizontal,2,843,noise
8,2,164,horizontal,1,817,noise
8,2,165,vertical,2,291,noise
8,2,166,horizontal,2,743,noise
8,2,167,horizontal,2,1000,no_noise
8,2,168,horizontal,1,581,noise
8,2,169,horizontal,1,670,no_noise
8,2,170,horizontal,2,699,noise
8,2,171,vertical,2,263,noise
8,2,172,horizontal,2,976,no_noise
8,2,173,horizontal,2,892,no_noise
8,2,174,vertical,2,44,no_noise
8,2,175,vertical,1,498,no_noise
8,2,176,horizontal,1,926,no_noise
8,2,177,vertical,1,370,no_noise
8,2,178,vertical,2,200,no_noise
8,2,179,vertical,2,284,no_noise
8,2,180,horizontal,2,644,no_noise
8,2,181,vertical,1,410,no_noise
8,2,182,horizontal,1,705,noise
8,2,183,horizontal,1,922,no_noise
8,2,184,vertical,2,247,noise
8,2,185,vertical,1,262,no_noise
8,2,186,horizontal,2,679,noise
8,2,187,vertical,1,333,noise
8,2,188,vertical,1,438,no_noise
8,2,189,horizontal,1,830,no_noise
8,2,190,vertical,1,133,noise
8,2,191,vertical,1,26,no_noise
8,2,192,vertical,1,109,noise
8,2,193,horizontal,1,514,no_noise
8,2,194,vertical,1,177,noise
8,2,195,horizontal,2,760,no_noise
8,2,196,horizontal,2,712,no_noise
8,2,197,horizontal,2,952,no_noise
8,2,198,horizontal,1,865,noise
8,2,199,vertical,2,60,no_noise
8,2,200,horizontal,2,903,noise
