prot_id,prot_subset,trial_id,line_orientation,noise_present,no_targets,trajectory_id
7,1,1,vertical,noise,2,463
7,1,2,horizontal,no_noise,1,622
7,1,3,horizontal,noise,1,597
7,1,4,horizontal,no_noise,1,726
7,1,5,horizontal,noise,2,559
7,1,6,vertical,noise,2,271
7,1,7,horizontal,no_noise,2,516
7,1,8,horizontal,noise,2,947
7,1,9,vertical,noise,2,123
7,1,10,vertical,no_noise,2,160
7,1,11,vertical,noise,1,85
7,1,12,horizontal,no_noise,2,992
7,1,13,vertical,no_noise,2,352
7,1,14,horizontal,noise,1,689
7,1,15,horizontal,noise,1,957
7,1,16,horizontal,noise,1,617
7,1,17,vertical,noise,1,249
7,1,18,horizontal,no_noise,1,994
7,1,19,vertical,noise,2,55
7,1,20,horizontal,noise,2,735
7,1,21,horizontal,no_noise,1,718
7,1,22,horizontal,no_noise,1,782
7,1,23,horizontal,no_noise,1,826
7,1,24,vertical,no_noise,2,296
7,1,25,horizontal,no_noise,1,510
7,1,26,horizontal,noise,1,941
7,1,27,horizontal,no_noise,1,934
7,1,28,horizontal,noise,1,745
7,1,29,horizontal,no_noise,1,862
7,1,30,horizontal,no_noise,2,956
7,1,31,vertical,noise,1,461
7,1,32,vertical,no_noise,2,236
7,1,33,vertical,no_noise,1,134
7,1,34,vertical,noise,2,87
7,1,35,horizontal,noise,1,989
7,1,36,horizontal,no_noise,2,712
7,1,37,vertical,noise,2,459
7,1,38,vertical,noise,1,333
7,1,39,horizontal,no_noise,2,928
7,1,40,horizontal,noise,2,859
7,1,41,vertical,no_noise,1,306
7,1,42,vertical,no_noise,1,282
7,1,43,horizontal,noise,2,539
7,1,44,vertical,noise,1,433
7,1,45,horizontal,no_noise,2,892
7,1,46,horizontal,noise,1,913
7,1,47,horizontal,no_noise,1,754
7,1,48,horizontal,no_noise,1,690
7,1,49,vertical,no_noise,2,228
7,1,50,horizontal,no_noise,2,812
7,1,51,horizontal,noise,2,531
7,1,52,vertical,no_noise,2,176
7,1,53,horizontal,no_noise,2,544
7,1,54,vertical,no_noise,1,66
7,1,55,vertical,no_noise,2,488
7,1,56,horizontal,noise,1,517
7,1,57,vertical,no_noise,2,316
7,1,58,horizontal,noise,2,827
7,1,59,vertical,no_noise,1,474
7,1,60,horizontal,no_noise,2,1008
7,1,61,horizontal,no_noise,1,902
7,1,62,vertical,noise,1,373
7,1,63,horizontal,no_noise,1,686
7,1,64,vertical,no_noise,2,192
7,1,65,horizontal,no_noise,1,918
7,1,66,horizontal,noise,1,725
7,1,67,vertical,noise,1,241
7,1,68,vertical,no_noise,1,258
7,1,69,horizontal,noise,1,905
7,1,70,vertical,noise,1,237
7,1,71,vertical,noise,2,495
7,1,72,vertical,noise,2,499
7,1,73,vertical,noise,2,407
7,1,74,vertical,no_noise,1,314
7,1,75,horizontal,noise,2,971
7,1,76,horizontal,noise,1,577
7,1,77,horizontal,no_noise,2,860
7,1,78,horizontal,noise,1,553
7,1,79,horizontal,noise,1,625
7,1,80,vertical,no_noise,1,210
7,1,81,vertical,noise,1,137
7,1,82,horizontal,no_noise,2,512
7,1,83,horizontal,noise,1,881
7,1,84,horizontal,noise,2,863
7,1,85,vertical,no_noise,1,38
7,1,86,vertical,no_noise,1,34
7,1,87,horizontal,no_noise,2,868
7,1,88,horizontal,noise,1,665
7,1,89,horizontal,noise,2,991
7,1,90,horizontal,no_noise,2,804
7,1,91,horizontal,noise,1,697
7,1,92,horizontal,no_noise,1,978
7,1,93,horizontal,noise,2,535
7,1,94,horizontal,noise,1,829
7,1,95,horizontal,noise,1,701
7,1,96,horizontal,no_noise,2,704
7,1,97,horizontal,no_noise,2,988
7,1,98,horizontal,noise,1,909
7,1,99,vertical,noise,1,417
7,1,100,horizontal,no_noise,2,552
