prot_id,prot_subset,trial_id,line_orientation,no_targets,trajectory_id,noise_present
8,5,401,horizontal,1,949,noise
8,5,402,vertical,1,74,no_noise
8,5,403,vertical,2,107,noise
8,5,404,horizontal,2,555,noise
8,5,405,horizontal,1,977,noise
8,5,406,horizontal,2,983,noise
8,5,407,vertical,2,316,no_noise
8,5,408,vertical,2,287,noise
8,5,409,horizontal,2,771,noise
8,5,410,vertical,2,72,no_noise
8,5,411,vertical,2,395,noise
8,5,412,horizontal,1,961,noise
8,5,413,vertical,2,492,no_noise
8,5,414,vertical,2,384,no_noise
8,5,415,horizontal,2,943,noise
8,5,416,horizontal,1,601,noise
8,5,417,horizontal,2,924,no_noise
8,5,418,vertical,2,167,noise
8,5,419,vertical,2,248,no_noise
8,5,420,horizontal,1,521,noise
8,5,421,vertical,1,17,noise
8,5,422,horizontal,2,720,no_noise
8,5,423,horizontal,2,572,no_noise
8,5,424,vertical,2,327,noise
8,5,425,vertical,1,298,no_noise
8,5,426,horizontal,1,602,no_noise
8,5,427,vertical,1,182,no_noise
8,5,428,vertical,1,18,no_noise
8,5,429,vertical,1,37,noise
8,5,430,horizontal,1,530,no_noise
8,5,431,horizontal,2,740,no_noise
8,5,432,vertical,2,276,no_noise
8,5,433,horizontal,1,789,noise
8,5,434,vertical,2,139,noise
8,5,435,vertical,1,121,noise
8,5,436,horizontal,1,549,noise
8,5,437,vertical,2,495,noise
8,5,438,vertical,1,114,no_noise
8,5,439,vertical,1,302,no_noise
8,5,440,vertical,2,328,no_noise
8,5,441,horizontal,1,606,no_noise
8,5,442,vertical,1,194,no_noise
8,5,443,vertical,1,25,noise
8,5,444,horizontal,2,839,noise
8,5,445,vertical,2,152,no_noise
8,5,446,vertical,2,63,noise
8,5,447,horizontal,1,617,noise
8,5,448,horizontal,1,753,noise
8,5,449,vertical,2,487,noise
8,5,450,vertical,1,450,no_noise
8,5,451,horizontal,2,527,noise
8,5,452,vertical,2,319,noise
8,5,453,vertical,2,308,no_noise
8,5,454,horizontal,2,540,no_noise
8,5,455,vertical,1,386,no_noise
8,5,456,horizontal,2,836,no_noise
8,5,457,horizontal,1,801,noise
8,5,458,vertical,1,377,noise
8,5,459,horizontal,2,560,no_noise
8,5,460,vertical,2,264,no_noise
8,5,461,vertical,2,24,no_noise
8,5,462,vertical,1,282,no_noise
8,5,463,vertical,2,43,noise
8,5,464,horizontal,2,940,no_noise
8,5,465,horizontal,1,510,no_noise
8,5,466,horizontal,2,648,no_noise
8,5,467,horizontal,1,886,no_noise
8,5,468,vertical,2,168,no_noise
8,5,469,vertical,2,251,noise
8,5,470,vertical,1,173,noise
8,5,471,horizontal,2,979,noise
8,5,472,vertical,2,392,no_noise
8,5,473,horizontal,2,528,no_noise
8,5,474,horizontal,2,972,no_noise
8,5,475,vertical,2,255,noise
8,5,476,vertical,2,283,noise
8,5,477,horizontal,1,681,noise
8,5,478,vertical,1,253,noise
8,5,479,horizontal,2,675,noise
8,5,480,vertical,2,483,noise
8,5,481,vertical,1,89,noise
8,5,482,horizontal,2,515,noise
8,5,483,horizontal,2,604,no_noise
8,5,484,vertical,2,151,noise
8,5,485,vertical,2,355,noise
8,5,486,vertical,2,19,noise
8,5,487,vertical,2,279,noise
8,5,488,horizontal,1,825,noise
8,5,489,horizontal,2,868,no_noise
8,5,490,horizontal,1,626,no_noise
8,5,491,horizontal,2,683,noise
8,5,492,vertical,1,453,noise
8,5,493,vertical,2,204,no_noise
8,5,494,vertical,1,342,no_noise
8,5,495,vertical,1,210,no_noise
8,5,496,vertical,2,423,noise
8,5,497,horizontal,2,767,noise
8,5,498,horizontal,2,835,noise
8,5,499,horizontal,2,828,no_noise
8,5,500,vertical,2,347,noise
