prot_id,prot_subset,trial_id,line_orientation,noise_present,no_targets,trajectory_id
7,3,201,horizontal,no_noise,2,612
7,3,202,horizontal,no_noise,2,800
7,3,203,vertical,noise,2,43
7,3,204,vertical,noise,1,437
7,3,205,vertical,no_noise,1,322
7,3,206,horizontal,noise,2,755
7,3,207,horizontal,noise,2,771
7,3,208,horizontal,no_noise,1,914
7,3,209,horizontal,no_noise,2,644
7,3,210,horizontal,noise,2,599
7,3,211,horizontal,no_noise,2,932
7,3,212,vertical,no_noise,2,308
7,3,213,vertical,no_noise,1,150
7,3,214,vertical,noise,2,451
7,3,215,horizontal,noise,1,945
7,3,216,horizontal,no_noise,1,550
7,3,217,vertical,noise,2,235
7,3,218,vertical,no_noise,2,424
7,3,219,horizontal,no_noise,1,630
7,3,220,horizontal,no_noise,1,710
7,3,221,horizontal,no_noise,2,968
7,3,222,vertical,noise,2,207
7,3,223,vertical,no_noise,2,504
7,3,224,vertical,no_noise,1,350
7,3,225,horizontal,no_noise,2,960
7,3,226,horizontal,no_noise,2,596
7,3,227,vertical,no_noise,2,468
7,3,228,vertical,no_noise,2,116
7,3,229,vertical,no_noise,1,118
7,3,230,vertical,no_noise,1,6
7,3,231,vertical,no_noise,2,72
7,3,232,vertical,no_noise,2,480
7,3,233,vertical,no_noise,2,440
7,3,234,horizontal,noise,2,911
7,3,235,vertical,noise,2,387
7,3,236,horizontal,noise,1,641
7,3,237,vertical,noise,2,115
7,3,238,vertical,noise,1,421
7,3,239,horizontal,noise,1,601
7,3,240,horizontal,noise,1,889
7,3,241,vertical,noise,2,431
7,3,242,vertical,no_noise,2,220
7,3,243,vertical,no_noise,1,174
7,3,244,horizontal,no_noise,1,574
7,3,245,vertical,no_noise,1,182
7,3,246,horizontal,noise,1,729
7,3,247,vertical,noise,2,167
7,3,248,vertical,no_noise,2,412
7,3,249,vertical,no_noise,2,288
7,3,250,horizontal,no_noise,2,840
7,3,251,horizontal,no_noise,2,836
7,3,252,horizontal,no_noise,2,536
7,3,253,vertical,noise,1,125
7,3,254,horizontal,no_noise,1,954
7,3,255,horizontal,noise,1,997
7,3,256,vertical,no_noise,1,342
7,3,257,horizontal,no_noise,2,728
7,3,258,vertical,no_noise,2,272
7,3,259,vertical,no_noise,2,448
7,3,260,vertical,no_noise,1,194
7,3,261,vertical,noise,2,139
7,3,262,vertical,noise,2,83
7,3,263,horizontal,noise,1,633
7,3,264,vertical,noise,2,143
7,3,265,vertical,no_noise,2,252
7,3,266,vertical,noise,2,79
7,3,267,vertical,no_noise,2,32
7,3,268,horizontal,noise,2,699
7,3,269,horizontal,noise,1,525
7,3,270,vertical,no_noise,2,292
7,3,271,horizontal,noise,1,921
7,3,272,vertical,no_noise,2,104
7,3,273,vertical,no_noise,1,270
7,3,274,horizontal,no_noise,1,734
7,3,275,horizontal,noise,2,811
7,3,276,horizontal,no_noise,2,920
7,3,277,horizontal,noise,1,685
7,3,278,vertical,noise,1,281
7,3,279,vertical,no_noise,2,340
7,3,280,horizontal,noise,2,807
7,3,281,horizontal,noise,1,545
7,3,282,horizontal,noise,2,935
7,3,283,vertical,noise,2,395
7,3,284,horizontal,noise,1,773
7,3,285,vertical,no_noise,2,168
7,3,286,vertical,noise,2,443
7,3,287,vertical,noise,2,319
7,3,288,horizontal,no_noise,1,910
7,3,289,horizontal,noise,1,953
7,3,290,horizontal,noise,1,789
7,3,291,vertical,noise,2,371
7,3,292,vertical,no_noise,1,334
7,3,293,horizontal,noise,2,955
7,3,294,horizontal,no_noise,1,598
7,3,295,horizontal,noise,2,995
7,3,296,horizontal,noise,2,563
7,3,297,vertical,noise,2,503
7,3,298,horizontal,noise,1,721
7,3,299,horizontal,noise,1,713
7,3,300,horizontal,noise,2,887
