prot_id,prot_subset,trial_id,no_targets,trajectory_id,noise_present,line_orientation
6,6,501,1,58,no_noise,vertical
6,6,502,2,748,no_noise,horizontal
6,6,503,2,583,noise,horizontal
6,6,504,1,597,noise,horizontal
6,6,505,2,996,no_noise,horizontal
6,6,506,1,622,no_noise,horizontal
6,6,507,2,424,no_noise,vertical
6,6,508,1,550,no_noise,horizontal
6,6,509,2,464,no_noise,vertical
6,6,510,1,70,no_noise,vertical
6,6,511,1,681,noise,horizontal
6,6,512,1,290,no_noise,vertical
6,6,513,2,487,noise,vertical
6,6,514,2,979,noise,horizontal
6,6,515,2,99,noise,vertical
6,6,516,2,312,no_noise,vertical
6,6,517,2,795,noise,horizontal
6,6,518,1,442,no_noise,vertical
6,6,519,1,685,noise,horizontal
6,6,520,1,53,noise,vertical
6,6,521,2,724,no_noise,horizontal
6,6,522,1,397,noise,vertical
6,6,523,1,533,noise,horizontal
6,6,524,2,411,noise,vertical
6,6,525,2,532,no_noise,horizontal
6,6,526,2,163,noise,vertical
6,6,527,1,465,noise,vertical
6,6,528,2,272,no_noise,vertical
6,6,529,2,499,noise,vertical
6,6,530,1,909,noise,horizontal
6,6,531,1,626,no_noise,horizontal
6,6,532,2,811,noise,horizontal
6,6,533,2,628,no_noise,horizontal
6,6,534,1,317,noise,vertical
6,6,535,1,41,noise,vertical
6,6,536,2,847,noise,horizontal
6,6,537,2,252,no_noise,vertical
6,6,538,1,117,noise,vertical
6,6,539,1,54,no_noise,vertical
6,6,540,2,64,no_noise,vertical
6,6,541,2,28,no_noise,vertical
6,6,542,1,637,noise,horizontal
6,6,543,2,743,noise,horizontal
6,6,544,1,46,no_noise,vertical
6,6,545,1,642,no_noise,horizontal
6,6,546,1,633,noise,horizontal
6,6,547,2,804,no_noise,horizontal
6,6,548,2,699,noise,horizontal
6,6,549,2,620,no_noise,horizontal
6,6,550,2,191,noise,vertical
6,6,551,1,173,noise,vertical
6,6,552,2,616,no_noise,horizontal
6,6,553,1,625,noise,horizontal
6,6,554,1,849,noise,horizontal
6,6,555,1,213,noise,vertical
6,6,556,2,863,noise,horizontal
6,6,557,2,336,no_noise,vertical
6,6,558,1,582,no_noise,horizontal
6,6,559,1,509,noise,horizontal
6,6,560,1,913,noise,horizontal
6,6,561,2,291,noise,vertical
6,6,562,2,416,no_noise,vertical
6,6,563,2,480,no_noise,vertical
6,6,564,1,546,no_noise,horizontal
6,6,565,1,333,noise,vertical
6,6,566,2,340,no_noise,vertical
6,6,567,1,994,no_noise,horizontal
6,6,568,1,837,noise,horizontal
6,6,569,1,601,noise,horizontal
6,6,570,2,132,no_noise,vertical
6,6,571,1,706,no_noise,horizontal
6,6,572,2,384,no_noise,vertical
6,6,573,2,912,no_noise,horizontal
6,6,574,1,418,no_noise,vertical
6,6,575,2,968,no_noise,horizontal
6,6,576,1,870,no_noise,horizontal
6,6,577,2,671,noise,horizontal
6,6,578,2,763,noise,horizontal
6,6,579,2,732,no_noise,horizontal
6,6,580,1,753,noise,horizontal
6,6,581,2,604,no_noise,horizontal
6,6,582,2,71,noise,vertical
6,6,583,1,426,no_noise,vertical
6,6,584,2,676,no_noise,horizontal
6,6,585,1,262,no_noise,vertical
6,6,586,1,721,noise,horizontal
6,6,587,2,679,noise,horizontal
6,6,588,2,691,noise,horizontal
6,6,589,1,113,noise,vertical
6,6,590,1,498,no_noise,vertical
6,6,591,1,101,noise,vertical
6,6,592,1,265,noise,vertical
6,6,593,1,6,no_noise,vertical
6,6,594,1,457,noise,vertical
6,6,595,1,921,noise,horizontal
6,6,596,1,346,no_noise,vertical
6,6,597,2,531,noise,horizontal
6,6,598,2,636,no_noise,horizontal
6,6,599,1,449,noise,vertical
6,6,600,1,514,no_noise,horizontal
