prot_id,prot_subset,trial_id,line_orientation,no_targets,trajectory_id,noise_present
8,1,1,horizontal,2,824,no_noise
8,1,2,vertical,1,365,noise
8,1,3,vertical,2,404,no_noise
8,1,4,horizontal,2,888,no_noise
8,1,5,horizontal,1,622,no_noise
8,1,6,horizontal,2,956,no_noise
8,1,7,vertical,2,268,no_noise
8,1,8,vertical,2,408,no_noise
8,1,9,vertical,2,68,no_noise
8,1,10,vertical,2,235,noise
8,1,11,vertical,1,418,no_noise
8,1,12,vertical,2,300,no_noise
8,1,13,horizontal,1,609,noise
8,1,14,horizontal,1,782,no_noise
8,1,15,horizontal,2,980,no_noise
8,1,16,horizontal,1,629,noise
8,1,17,horizontal,2,748,no_noise
8,1,18,vertical,1,150,no_noise
8,1,19,horizontal,1,905,noise
8,1,20,horizontal,2,599,noise
8,1,21,vertical,1,486,no_noise
8,1,22,vertical,2,51,noise
8,1,23,vertical,1,393,noise
8,1,24,horizontal,2,568,no_noise
8,1,25,horizontal,2,987,noise
8,1,26,vertical,2,459,noise
8,1,27,vertical,2,87,noise
8,1,28,vertical,2,479,noise
8,1,29,horizontal,1,893,noise
8,1,30,vertical,2,20,no_noise
8,1,31,vertical,2,187,noise
8,1,32,horizontal,2,567,noise
8,1,33,horizontal,2,547,noise
8,1,34,horizontal,2,792,no_noise
8,1,35,vertical,2,315,noise
8,1,36,vertical,1,206,no_noise
8,1,37,vertical,1,433,noise
8,1,38,horizontal,2,620,no_noise
8,1,39,horizontal,2,516,no_noise
8,1,40,vertical,1,229,noise
8,1,41,vertical,1,250,no_noise
8,1,42,horizontal,2,715,noise
8,1,43,horizontal,1,733,noise
8,1,44,vertical,1,421,noise
8,1,45,vertical,2,220,no_noise
8,1,46,horizontal,1,762,no_noise
8,1,47,vertical,1,138,no_noise
8,1,48,horizontal,1,765,noise
8,1,49,horizontal,2,991,noise
8,1,50,vertical,1,322,no_noise
8,1,51,horizontal,2,959,noise
8,1,52,vertical,1,118,no_noise
8,1,53,vertical,1,113,noise
8,1,54,vertical,1,478,no_noise
8,1,55,vertical,1,162,no_noise
8,1,56,horizontal,2,636,no_noise
8,1,57,horizontal,2,871,noise
8,1,58,horizontal,2,736,no_noise
8,1,59,vertical,2,59,noise
8,1,60,horizontal,2,616,no_noise
8,1,61,vertical,1,281,noise
8,1,62,vertical,1,54,no_noise
8,1,63,horizontal,1,969,noise
8,1,64,vertical,2,136,no_noise
8,1,65,horizontal,2,652,no_noise
8,1,66,horizontal,1,930,no_noise
8,1,67,vertical,1,373,noise
8,1,68,vertical,2,424,no_noise
8,1,69,horizontal,1,962,no_noise
8,1,70,horizontal,2,592,no_noise
8,1,71,vertical,2,296,no_noise
8,1,72,vertical,2,163,noise
8,1,73,vertical,2,224,no_noise
8,1,74,horizontal,2,755,noise
8,1,75,vertical,1,53,noise
8,1,76,vertical,1,213,noise
8,1,77,vertical,2,443,noise
8,1,78,vertical,2,432,no_noise
8,1,79,horizontal,2,920,no_noise
8,1,80,horizontal,2,900,no_noise
8,1,81,vertical,2,256,no_noise
8,1,82,vertical,1,97,noise
8,1,83,horizontal,2,600,no_noise
8,1,84,horizontal,1,942,no_noise
8,1,85,horizontal,2,948,no_noise
8,1,86,vertical,2,140,no_noise
8,1,87,horizontal,2,595,noise
8,1,88,vertical,2,368,no_noise
8,1,89,vertical,1,149,noise
8,1,90,horizontal,1,778,no_noise
8,1,91,horizontal,2,904,no_noise
8,1,92,horizontal,2,996,no_noise
8,1,93,horizontal,1,894,no_noise
8,1,94,vertical,1,13,noise
8,1,95,horizontal,1,881,noise
8,1,96,horizontal,1,993,noise
8,1,97,vertical,1,6,no_noise
8,1,98,horizontal,2,964,no_noise
8,1,99,vertical,1,161,noise
8,1,100,vertical,1,345,noise
