prot_id,prot_subset,trial_id,no_targets,line_orientation,trajectory_id,noise_present
3,4,301,2,vertical,311,noise
3,4,302,2,horizontal,543,noise
3,4,303,2,horizontal,536,no_noise
3,4,304,1,horizontal,737,noise
3,4,305,1,horizontal,774,no_noise
3,4,306,1,horizontal,638,no_noise
3,4,307,1,horizontal,754,no_noise
3,4,308,2,horizontal,651,noise
3,4,309,1,vertical,494,no_noise
3,4,310,2,vertical,263,noise
3,4,311,2,horizontal,539,noise
3,4,312,1,horizontal,889,noise
3,4,313,1,horizontal,878,no_noise
3,4,314,1,vertical,286,no_noise
3,4,315,2,vertical,396,no_noise
3,4,316,2,horizontal,636,no_noise
3,4,317,1,horizontal,965,noise
3,4,318,2,horizontal,779,noise
3,4,319,2,vertical,495,noise
3,4,320,1,vertical,233,noise
3,4,321,2,vertical,35,noise
3,4,322,1,horizontal,714,no_noise
3,4,323,2,horizontal,639,noise
3,4,324,1,horizontal,525,noise
3,4,325,2,vertical,28,no_noise
3,4,326,1,horizontal,746,no_noise
3,4,327,1,vertical,229,noise
3,4,328,1,horizontal,745,noise
3,4,329,1,vertical,329,noise
3,4,330,2,horizontal,611,noise
3,4,331,1,horizontal,697,noise
3,4,332,2,vertical,23,noise
3,4,333,1,vertical,37,noise
3,4,334,1,vertical,462,no_noise
3,4,335,2,horizontal,688,no_noise
3,4,336,2,horizontal,675,noise
3,4,337,2,horizontal,895,noise
3,4,338,1,horizontal,941,noise
3,4,339,2,horizontal,656,no_noise
3,4,340,1,vertical,346,no_noise
3,4,341,2,vertical,127,noise
3,4,342,2,vertical,76,no_noise
3,4,343,2,horizontal,600,no_noise
3,4,344,2,vertical,107,noise
3,4,345,2,vertical,428,no_noise
3,4,346,2,horizontal,883,noise
3,4,347,1,vertical,489,noise
3,4,348,1,vertical,478,no_noise
3,4,349,1,horizontal,766,no_noise
3,4,350,2,horizontal,527,noise
3,4,351,1,horizontal,954,no_noise
3,4,352,2,vertical,15,noise
3,4,353,1,horizontal,569,noise
3,4,354,2,horizontal,772,no_noise
3,4,355,1,horizontal,969,noise
3,4,356,1,vertical,33,noise
3,4,357,1,horizontal,838,no_noise
3,4,358,1,horizontal,821,noise
3,4,359,1,vertical,34,no_noise
3,4,360,2,vertical,440,no_noise
3,4,361,1,vertical,138,no_noise
3,4,362,2,horizontal,827,noise
3,4,363,2,horizontal,808,no_noise
3,4,364,2,vertical,31,noise
3,4,365,1,vertical,466,no_noise
3,4,366,1,horizontal,561,noise
3,4,367,2,vertical,36,no_noise
3,4,368,2,vertical,320,no_noise
3,4,369,2,vertical,88,no_noise
3,4,370,2,horizontal,1008,no_noise
3,4,371,2,horizontal,623,noise
3,4,372,1,horizontal,958,no_noise
3,4,373,1,horizontal,614,no_noise
3,4,374,2,horizontal,664,no_noise
3,4,375,1,vertical,426,no_noise
3,4,376,1,vertical,166,no_noise
3,4,377,1,vertical,22,no_noise
3,4,378,2,horizontal,968,no_noise
3,4,379,2,horizontal,863,noise
3,4,380,2,horizontal,764,no_noise
3,4,381,2,horizontal,523,noise
3,4,382,1,vertical,241,noise
3,4,383,2,vertical,292,no_noise
3,4,384,2,vertical,483,noise
3,4,385,1,horizontal,818,no_noise
3,4,386,1,vertical,157,noise
3,4,387,2,horizontal,564,no_noise
3,4,388,2,horizontal,988,no_noise
3,4,389,1,horizontal,622,no_noise
3,4,390,2,horizontal,632,no_noise
3,4,391,1,vertical,334,no_noise
3,4,392,2,horizontal,708,no_noise
3,4,393,2,vertical,51,noise
3,4,394,2,horizontal,819,noise
3,4,395,2,vertical,391,noise
3,4,396,1,horizontal,882,no_noise
3,4,397,2,vertical,187,noise
3,4,398,2,vertical,291,noise
3,4,399,1,horizontal,649,noise
3,4,400,1,vertical,101,noise
