prot_id,prot_subset,trial_id,no_targets,trajectory_id,noise_present,line_orientation
6,9,801,1,657,noise,horizontal
6,9,802,2,287,noise,vertical
6,9,803,1,269,noise,vertical
6,9,804,2,103,noise,vertical
6,9,805,1,94,no_noise,vertical
6,9,806,2,224,no_noise,vertical
6,9,807,1,298,no_noise,vertical
6,9,808,1,649,noise,horizontal
6,9,809,2,407,noise,vertical
6,9,810,2,116,no_noise,vertical
6,9,811,2,540,no_noise,horizontal
6,9,812,2,263,noise,vertical
6,9,813,2,332,no_noise,vertical
6,9,814,1,561,noise,horizontal
6,9,815,1,389,noise,vertical
6,9,816,1,954,no_noise,horizontal
6,9,817,1,230,no_noise,vertical
6,9,818,1,29,noise,vertical
6,9,819,2,227,noise,vertical
6,9,820,1,446,no_noise,vertical
6,9,821,1,377,noise,vertical
6,9,822,2,643,noise,horizontal
6,9,823,1,82,no_noise,vertical
6,9,824,1,37,noise,vertical
6,9,825,1,237,noise,vertical
6,9,826,1,406,no_noise,vertical
6,9,827,2,7,noise,vertical
6,9,828,2,555,noise,horizontal
6,9,829,2,292,no_noise,vertical
6,9,830,1,977,noise,horizontal
6,9,831,2,607,noise,horizontal
6,9,832,1,630,no_noise,horizontal
6,9,833,1,885,noise,horizontal
6,9,834,2,63,noise,vertical
6,9,835,2,131,noise,vertical
6,9,836,1,701,noise,horizontal
6,9,837,1,717,noise,horizontal
6,9,838,2,923,noise,horizontal
6,9,839,2,572,no_noise,horizontal
6,9,840,1,9,noise,vertical
6,9,841,2,956,no_noise,horizontal
6,9,842,2,200,no_noise,vertical
6,9,843,2,944,no_noise,horizontal
6,9,844,1,110,no_noise,vertical
6,9,845,1,746,no_noise,horizontal
6,9,846,1,221,noise,vertical
6,9,847,2,548,no_noise,horizontal
6,9,848,1,882,no_noise,horizontal
6,9,849,1,738,no_noise,horizontal
6,9,850,2,575,noise,horizontal
6,9,851,1,833,noise,horizontal
6,9,852,2,776,no_noise,horizontal
6,9,853,1,102,no_noise,vertical
6,9,854,2,683,noise,horizontal
6,9,855,1,926,no_noise,horizontal
6,9,856,2,15,noise,vertical
6,9,857,2,975,noise,horizontal
6,9,858,1,762,no_noise,horizontal
6,9,859,2,395,noise,vertical
6,9,860,1,890,no_noise,horizontal
6,9,861,2,19,noise,vertical
6,9,862,1,249,noise,vertical
6,9,863,1,662,no_noise,horizontal
6,9,864,2,983,noise,horizontal
6,9,865,2,304,no_noise,vertical
6,9,866,1,761,noise,horizontal
6,9,867,1,1006,no_noise,horizontal
6,9,868,2,496,no_noise,vertical
6,9,869,1,922,no_noise,horizontal
6,9,870,1,353,noise,vertical
6,9,871,2,544,no_noise,horizontal
6,9,872,1,549,noise,horizontal
6,9,873,1,169,noise,vertical
6,9,874,1,17,noise,vertical
6,9,875,2,147,noise,vertical
6,9,876,2,703,noise,horizontal
6,9,877,2,16,no_noise,vertical
6,9,878,2,412,no_noise,vertical
6,9,879,1,957,noise,horizontal
6,9,880,2,80,no_noise,vertical
6,9,881,2,203,noise,vertical
6,9,882,1,354,no_noise,vertical
6,9,883,2,463,noise,vertical
6,9,884,2,828,no_noise,horizontal
6,9,885,2,511,noise,horizontal
6,9,886,2,35,noise,vertical
6,9,887,1,841,noise,horizontal
6,9,888,1,109,noise,vertical
6,9,889,1,854,no_noise,horizontal
6,9,890,1,373,noise,vertical
6,9,891,2,343,noise,vertical
6,9,892,1,574,no_noise,horizontal
6,9,893,1,138,no_noise,vertical
6,9,894,2,751,noise,horizontal
6,9,895,1,629,noise,horizontal
6,9,896,1,329,noise,vertical
6,9,897,2,183,noise,vertical
6,9,898,2,180,no_noise,vertical
6,9,899,1,93,noise,vertical
6,9,900,1,942,no_noise,horizontal
