prot_id,prot_subset,trial_id,line_orientation,no_targets,trajectory_id,noise_present
8,6,501,horizontal,2,855,noise
8,6,502,horizontal,2,511,noise
8,6,503,vertical,2,475,noise
8,6,504,vertical,1,81,noise
8,6,505,vertical,2,191,noise
8,6,506,horizontal,1,769,noise
8,6,507,horizontal,2,544,no_noise
8,6,508,vertical,2,427,noise
8,6,509,horizontal,2,663,noise
8,6,510,horizontal,1,574,no_noise
8,6,511,vertical,2,188,no_noise
8,6,512,horizontal,2,704,no_noise
8,6,513,horizontal,1,621,noise
8,6,514,horizontal,1,906,no_noise
8,6,515,horizontal,1,730,no_noise
8,6,516,horizontal,1,729,noise
8,6,517,horizontal,2,611,noise
8,6,518,vertical,1,490,no_noise
8,6,519,vertical,1,22,no_noise
8,6,520,horizontal,1,805,noise
8,6,521,horizontal,1,842,no_noise
8,6,522,vertical,2,292,no_noise
8,6,523,vertical,2,504,no_noise
8,6,524,vertical,2,159,noise
8,6,525,horizontal,2,876,no_noise
8,6,526,vertical,2,219,noise
8,6,527,vertical,1,98,no_noise
8,6,528,horizontal,2,744,no_noise
8,6,529,vertical,2,84,no_noise
8,6,530,vertical,1,437,noise
8,6,531,vertical,2,108,no_noise
8,6,532,vertical,1,266,no_noise
8,6,533,horizontal,1,649,noise
8,6,534,vertical,2,216,no_noise
8,6,535,vertical,2,111,noise
8,6,536,vertical,2,388,no_noise
8,6,537,horizontal,2,692,no_noise
8,6,538,horizontal,1,897,noise
8,6,539,horizontal,2,971,noise
8,6,540,vertical,1,270,no_noise
8,6,541,vertical,1,394,no_noise
8,6,542,vertical,2,387,noise
8,6,543,horizontal,1,929,noise
8,6,544,horizontal,1,697,noise
8,6,545,vertical,2,207,noise
8,6,546,vertical,2,119,noise
8,6,547,horizontal,1,677,noise
8,6,548,vertical,2,304,no_noise
8,6,549,horizontal,1,814,no_noise
8,6,550,horizontal,2,960,no_noise
8,6,551,vertical,2,416,no_noise
8,6,552,horizontal,2,623,noise
8,6,553,horizontal,1,913,noise
8,6,554,vertical,1,349,noise
8,6,555,vertical,1,69,noise
8,6,556,horizontal,1,837,noise
8,6,557,horizontal,2,963,noise
8,6,558,horizontal,1,994,no_noise
8,6,559,vertical,1,398,no_noise
8,6,560,horizontal,2,807,noise
8,6,561,vertical,1,9,noise
8,6,562,horizontal,1,981,noise
8,6,563,vertical,2,184,no_noise
8,6,564,horizontal,1,741,noise
8,6,565,horizontal,1,657,noise
8,6,566,horizontal,1,634,no_noise
8,6,567,vertical,1,414,no_noise
8,6,568,horizontal,1,757,noise
8,6,569,horizontal,2,727,noise
8,6,570,horizontal,2,951,noise
8,6,571,vertical,2,375,noise
8,6,572,horizontal,1,518,no_noise
8,6,573,horizontal,2,735,noise
8,6,574,vertical,2,364,no_noise
8,6,575,horizontal,1,714,no_noise
8,6,576,horizontal,2,791,noise
8,6,577,horizontal,2,532,no_noise
8,6,578,horizontal,2,819,noise
8,6,579,horizontal,1,925,noise
8,6,580,vertical,1,378,no_noise
8,6,581,vertical,2,36,no_noise
8,6,582,horizontal,2,820,no_noise
8,6,583,vertical,2,367,noise
8,6,584,vertical,2,436,no_noise
8,6,585,horizontal,1,858,no_noise
8,6,586,vertical,2,244,no_noise
8,6,587,horizontal,2,844,no_noise
8,6,588,vertical,2,71,noise
8,6,589,vertical,1,294,no_noise
8,6,590,vertical,2,120,no_noise
8,6,591,vertical,1,462,no_noise
8,6,592,horizontal,1,738,no_noise
8,6,593,horizontal,2,975,noise
8,6,594,vertical,1,61,noise
8,6,595,vertical,2,80,no_noise
8,6,596,vertical,1,218,no_noise
8,6,597,vertical,1,397,noise
8,6,598,vertical,1,313,noise
8,6,599,horizontal,1,597,noise
8,6,600,vertical,2,48,no_noise
