prot_id,prot_subset,trial_id,noise_present,trajectory_id,line_orientation,no_targets
4,3,201,no_noise,778,horizontal,1
4,3,202,no_noise,324,vertical,2
4,3,203,noise,551,horizontal,2
4,3,204,noise,63,vertical,2
4,3,205,no_noise,694,horizontal,1
4,3,206,no_noise,966,horizontal,1
4,3,207,noise,403,vertical,2
4,3,208,no_noise,148,vertical,2
4,3,209,no_noise,226,vertical,1
4,3,210,noise,299,vertical,2
4,3,211,no_noise,644,horizontal,2
4,3,212,noise,909,horizontal,1
4,3,213,noise,943,horizontal,2
4,3,214,no_noise,716,horizontal,2
4,3,215,no_noise,594,horizontal,1
4,3,216,noise,959,horizontal,2
4,3,217,no_noise,910,horizontal,1
4,3,218,noise,741,horizontal,1
4,3,219,noise,797,horizontal,1
4,3,220,no_noise,300,vertical,2
4,3,221,noise,335,vertical,2
4,3,222,no_noise,782,horizontal,1
4,3,223,no_noise,144,vertical,2
4,3,224,noise,315,vertical,2
4,3,225,noise,549,horizontal,1
4,3,226,noise,777,horizontal,1
4,3,227,noise,199,vertical,2
4,3,228,no_noise,900,horizontal,2
4,3,229,no_noise,740,horizontal,2
4,3,230,no_noise,6,vertical,1
4,3,231,no_noise,720,horizontal,2
4,3,232,noise,743,horizontal,2
4,3,233,no_noise,700,horizontal,2
4,3,234,no_noise,490,vertical,1
4,3,235,no_noise,962,horizontal,1
4,3,236,no_noise,252,vertical,2
4,3,237,no_noise,830,horizontal,1
4,3,238,no_noise,856,horizontal,2
4,3,239,noise,869,horizontal,1
4,3,240,noise,709,horizontal,1
4,3,241,no_noise,514,horizontal,1
4,3,242,no_noise,698,horizontal,1
4,3,243,noise,871,horizontal,2
4,3,244,noise,875,horizontal,2
4,3,245,no_noise,870,horizontal,1
4,3,246,no_noise,412,vertical,2
4,3,247,no_noise,394,vertical,1
4,3,248,no_noise,832,horizontal,2
4,3,249,noise,715,horizontal,2
4,3,250,noise,127,vertical,2
4,3,251,no_noise,664,horizontal,2
4,3,252,no_noise,38,vertical,1
4,3,253,no_noise,274,vertical,1
4,3,254,no_noise,1002,horizontal,1
4,3,255,no_noise,718,horizontal,1
4,3,256,noise,133,vertical,1
4,3,257,no_noise,896,horizontal,2
4,3,258,no_noise,588,horizontal,2
4,3,259,noise,563,horizontal,2
4,3,260,no_noise,550,horizontal,1
4,3,261,no_noise,880,horizontal,2
4,3,262,no_noise,24,vertical,2
4,3,263,noise,807,horizontal,2
4,3,264,noise,5,vertical,1
4,3,265,no_noise,552,horizontal,2
4,3,266,no_noise,496,vertical,2
4,3,267,noise,705,horizontal,1
4,3,268,noise,325,vertical,1
4,3,269,no_noise,766,horizontal,1
4,3,270,no_noise,936,horizontal,2
4,3,271,noise,659,horizontal,2
4,3,272,noise,739,horizontal,2
4,3,273,noise,289,vertical,1
4,3,274,noise,223,vertical,2
4,3,275,noise,73,vertical,1
4,3,276,no_noise,218,vertical,1
4,3,277,no_noise,178,vertical,1
4,3,278,no_noise,560,horizontal,2
4,3,279,no_noise,164,vertical,2
4,3,280,no_noise,772,horizontal,2
4,3,281,noise,733,horizontal,1
4,3,282,no_noise,876,horizontal,2
4,3,283,noise,357,vertical,1
4,3,284,noise,745,horizontal,1
4,3,285,no_noise,172,vertical,2
4,3,286,no_noise,52,vertical,2
4,3,287,noise,537,horizontal,1
4,3,288,noise,143,vertical,2
4,3,289,no_noise,452,vertical,2
4,3,290,noise,245,vertical,1
4,3,291,no_noise,578,horizontal,1
4,3,292,no_noise,146,vertical,1
4,3,293,no_noise,228,vertical,2
4,3,294,no_noise,260,vertical,2
4,3,295,noise,967,horizontal,2
4,3,296,noise,253,vertical,1
4,3,297,noise,319,vertical,2
4,3,298,no_noise,798,horizontal,1
4,3,299,noise,47,vertical,2
4,3,300,noise,31,vertical,2
