prot_id,prot_subset,trial_id,noise_present,line_orientation,no_targets,trajectory_id
1,2,101,noise,horizontal,2,671
1,2,102,no_noise,horizontal,1,898
1,2,103,noise,horizontal,2,855
1,2,104,noise,vertical,1,89
1,2,105,noise,vertical,1,169
1,2,106,no_noise,horizontal,2,656
1,2,107,noise,vertical,2,55
1,2,108,no_noise,vertical,1,78
1,2,109,no_noise,vertical,1,182
1,2,110,no_noise,vertical,1,366
1,2,111,no_noise,vertical,2,240
1,2,112,no_noise,horizontal,1,618
1,2,113,no_noise,vertical,1,334
1,2,114,no_noise,horizontal,1,734
1,2,115,noise,vertical,2,131
1,2,116,no_noise,vertical,2,216
1,2,117,no_noise,horizontal,1,694
1,2,118,noise,horizontal,1,793
1,2,119,no_noise,horizontal,1,822
1,2,120,no_noise,vertical,1,314
1,2,121,no_noise,horizontal,2,752
1,2,122,no_noise,horizontal,1,886
1,2,123,noise,vertical,2,247
1,2,124,no_noise,horizontal,1,870
1,2,125,no_noise,horizontal,1,906
1,2,126,no_noise,horizontal,2,800
1,2,127,noise,vertical,1,117
1,2,128,noise,horizontal,2,627
1,2,129,no_noise,horizontal,2,912
1,2,130,noise,vertical,2,155
1,2,131,no_noise,horizontal,1,674
1,2,132,no_noise,horizontal,1,622
1,2,133,noise,horizontal,2,775
1,2,134,no_noise,vertical,2,164
1,2,135,noise,vertical,2,395
1,2,136,noise,vertical,2,159
1,2,137,noise,horizontal,2,995
1,2,138,noise,vertical,1,9
1,2,139,no_noise,vertical,1,330
1,2,140,no_noise,horizontal,2,792
1,2,141,no_noise,vertical,2,284
1,2,142,no_noise,horizontal,2,808
1,2,143,noise,horizontal,1,797
1,2,144,noise,horizontal,2,575
1,2,145,noise,horizontal,2,851
1,2,146,no_noise,vertical,1,242
1,2,147,no_noise,horizontal,2,772
1,2,148,noise,vertical,2,343
1,2,149,noise,horizontal,2,991
1,2,150,no_noise,horizontal,1,830
1,2,151,noise,vertical,1,141
1,2,152,noise,vertical,2,459
1,2,153,no_noise,horizontal,1,746
1,2,154,no_noise,horizontal,2,568
1,2,155,noise,horizontal,1,597
1,2,156,noise,vertical,2,87
1,2,157,no_noise,horizontal,2,704
1,2,158,no_noise,horizontal,2,860
1,2,159,no_noise,vertical,2,200
1,2,160,noise,horizontal,1,777
1,2,161,no_noise,horizontal,2,688
1,2,162,no_noise,horizontal,2,920
1,2,163,no_noise,horizontal,1,946
1,2,164,no_noise,vertical,2,504
1,2,165,noise,horizontal,1,869
1,2,166,no_noise,vertical,2,348
1,2,167,noise,horizontal,1,889
1,2,168,noise,vertical,2,463
1,2,169,no_noise,vertical,2,24
1,2,170,noise,vertical,2,199
1,2,171,no_noise,vertical,2,168
1,2,172,no_noise,vertical,2,56
1,2,173,no_noise,horizontal,1,542
1,2,174,noise,vertical,1,181
1,2,175,no_noise,horizontal,1,562
1,2,176,no_noise,vertical,2,88
1,2,177,noise,horizontal,2,531
1,2,178,noise,horizontal,1,641
1,2,179,no_noise,vertical,2,396
1,2,180,no_noise,vertical,1,306
1,2,181,noise,horizontal,1,605
1,2,182,no_noise,horizontal,1,714
1,2,183,noise,horizontal,1,881
1,2,184,no_noise,horizontal,1,854
1,2,185,no_noise,vertical,1,434
1,2,186,no_noise,horizontal,1,718
1,2,187,noise,horizontal,1,769
1,2,188,no_noise,horizontal,2,720
1,2,189,no_noise,vertical,2,432
1,2,190,no_noise,horizontal,2,680
1,2,191,no_noise,vertical,1,254
1,2,192,no_noise,horizontal,2,812
1,2,193,noise,vertical,1,433
1,2,194,no_noise,vertical,1,402
1,2,195,no_noise,horizontal,2,948
1,2,196,noise,vertical,1,385
1,2,197,noise,horizontal,1,553
1,2,198,no_noise,vertical,2,44
1,2,199,no_noise,horizontal,1,530
1,2,200,noise,vertical,1,477
