prot_id,prot_subset,trial_id,noise_present,line_orientation,no_targets,trajectory_id
1,3,201,no_noise,vertical,2,204
1,3,202,noise,vertical,1,129
1,3,203,noise,vertical,1,269
1,3,204,no_noise,horizontal,2,980
1,3,205,no_noise,vertical,1,190
1,3,206,noise,horizontal,1,581
1,3,207,no_noise,vertical,2,256
1,3,208,no_noise,vertical,1,462
1,3,209,no_noise,vertical,2,156
1,3,210,no_noise,vertical,1,58
1,3,211,no_noise,horizontal,1,546
1,3,212,noise,vertical,2,239
1,3,213,noise,vertical,1,293
1,3,214,noise,vertical,1,189
1,3,215,noise,horizontal,1,773
1,3,216,noise,vertical,1,417
1,3,217,noise,horizontal,2,635
1,3,218,no_noise,horizontal,1,810
1,3,219,noise,horizontal,1,973
1,3,220,noise,horizontal,2,799
1,3,221,noise,vertical,1,209
1,3,222,noise,horizontal,2,787
1,3,223,no_noise,horizontal,2,924
1,3,224,no_noise,horizontal,2,572
1,3,225,no_noise,horizontal,1,874
1,3,226,no_noise,horizontal,2,928
1,3,227,noise,horizontal,2,735
1,3,228,no_noise,vertical,1,350
1,3,229,noise,horizontal,2,875
1,3,230,no_noise,vertical,2,472
1,3,231,noise,horizontal,1,517
1,3,232,noise,vertical,1,61
1,3,233,noise,vertical,1,461
1,3,234,noise,horizontal,1,625
1,3,235,noise,vertical,1,361
1,3,236,noise,vertical,2,283
1,3,237,no_noise,vertical,1,274
1,3,238,no_noise,horizontal,1,654
1,3,239,noise,vertical,2,351
1,3,240,noise,vertical,1,133
1,3,241,no_noise,vertical,1,222
1,3,242,no_noise,horizontal,1,626
1,3,243,no_noise,horizontal,1,706
1,3,244,noise,vertical,1,341
1,3,245,no_noise,horizontal,2,1000
1,3,246,noise,horizontal,2,547
1,3,247,no_noise,horizontal,2,996
1,3,248,no_noise,horizontal,1,878
1,3,249,noise,horizontal,1,561
1,3,250,no_noise,horizontal,2,732
1,3,251,no_noise,vertical,1,394
1,3,252,no_noise,vertical,1,502
1,3,253,no_noise,vertical,1,226
1,3,254,no_noise,horizontal,1,918
1,3,255,noise,horizontal,1,665
1,3,256,noise,vertical,1,425
1,3,257,noise,horizontal,1,849
1,3,258,no_noise,horizontal,2,668
1,3,259,noise,vertical,2,167
1,3,260,noise,horizontal,2,863
1,3,261,noise,horizontal,1,681
1,3,262,no_noise,horizontal,1,586
1,3,263,noise,horizontal,1,933
1,3,264,no_noise,horizontal,2,896
1,3,265,noise,vertical,1,229
1,3,266,noise,vertical,1,393
1,3,267,noise,vertical,1,121
1,3,268,no_noise,horizontal,1,786
1,3,269,no_noise,horizontal,1,930
1,3,270,noise,vertical,2,59
1,3,271,noise,horizontal,2,967
1,3,272,no_noise,horizontal,2,828
1,3,273,noise,horizontal,1,565
1,3,274,no_noise,horizontal,1,666
1,3,275,no_noise,horizontal,1,690
1,3,276,noise,vertical,2,419
1,3,277,no_noise,vertical,1,138
1,3,278,no_noise,horizontal,1,910
1,3,279,no_noise,horizontal,2,696
1,3,280,noise,vertical,2,451
1,3,281,no_noise,vertical,2,108
1,3,282,noise,horizontal,2,731
1,3,283,noise,horizontal,2,779
1,3,284,no_noise,vertical,1,214
1,3,285,noise,vertical,1,353
1,3,286,noise,vertical,1,405
1,3,287,no_noise,vertical,1,262
1,3,288,noise,horizontal,2,835
1,3,289,no_noise,vertical,1,390
1,3,290,noise,horizontal,2,1003
1,3,291,no_noise,vertical,2,28
1,3,292,no_noise,vertical,1,470
1,3,293,no_noise,vertical,1,134
1,3,294,no_noise,horizontal,2,904
1,3,295,noise,horizontal,2,711
1,3,296,noise,horizontal,2,963
1,3,297,noise,vertical,1,381
1,3,298,no_noise,vertical,1,174
1,3,299,noise,vertical,1,449
1,3,300,no_noise,vertical,1,238
