prot_id,prot_subset,trial_id,noise_present,trajectory_id,line_orientation,no_targets
4,6,501,noise,637,horizontal,1
4,6,502,no_noise,390,vertical,1
4,6,503,no_noise,50,vertical,1
4,6,504,no_noise,104,vertical,2
4,6,505,noise,101,vertical,1
4,6,506,noise,865,horizontal,1
4,6,507,no_noise,756,horizontal,2
4,6,508,noise,699,horizontal,2
4,6,509,no_noise,138,vertical,1
4,6,510,noise,441,vertical,1
4,6,511,noise,219,vertical,2
4,6,512,no_noise,438,vertical,1
4,6,513,noise,569,horizontal,1
4,6,514,noise,251,vertical,2
4,6,515,no_noise,326,vertical,1
4,6,516,noise,935,horizontal,2
4,6,517,no_noise,730,horizontal,1
4,6,518,no_noise,960,horizontal,2
4,6,519,no_noise,584,horizontal,2
4,6,520,noise,595,horizontal,2
4,6,521,no_noise,920,horizontal,2
4,6,522,noise,283,vertical,2
4,6,523,no_noise,776,horizontal,2
4,6,524,noise,937,horizontal,1
4,6,525,noise,65,vertical,1
4,6,526,no_noise,586,horizontal,1
4,6,527,noise,775,horizontal,2
4,6,528,no_noise,256,vertical,2
4,6,529,noise,469,vertical,1
4,6,530,no_noise,600,horizontal,2
4,6,531,noise,503,vertical,2
4,6,532,noise,367,vertical,2
4,6,533,noise,165,vertical,1
4,6,534,no_noise,398,vertical,1
4,6,535,noise,663,horizontal,2
4,6,536,no_noise,854,horizontal,1
4,6,537,no_noise,62,vertical,1
4,6,538,no_noise,726,horizontal,1
4,6,539,noise,371,vertical,2
4,6,540,noise,67,vertical,2
4,6,541,no_noise,406,vertical,1
4,6,542,no_noise,656,horizontal,2
4,6,543,no_noise,450,vertical,1
4,6,544,no_noise,580,horizontal,2
4,6,545,no_noise,868,horizontal,2
4,6,546,no_noise,302,vertical,1
4,6,547,noise,939,horizontal,2
4,6,548,no_noise,100,vertical,2
4,6,549,noise,687,horizontal,2
4,6,550,noise,795,horizontal,2
4,6,551,no_noise,480,vertical,2
4,6,552,noise,677,horizontal,1
4,6,553,noise,889,horizontal,1
4,6,554,noise,87,vertical,2
4,6,555,no_noise,44,vertical,2
4,6,556,no_noise,96,vertical,2
4,6,557,no_noise,524,horizontal,2
4,6,558,noise,885,horizontal,1
4,6,559,noise,649,horizontal,1
4,6,560,no_noise,308,vertical,2
4,6,561,noise,999,horizontal,2
4,6,562,noise,773,horizontal,1
4,6,563,no_noise,810,horizontal,1
4,6,564,noise,483,vertical,2
4,6,565,no_noise,346,vertical,1
4,6,566,no_noise,732,horizontal,2
4,6,567,no_noise,956,horizontal,2
4,6,568,no_noise,676,horizontal,2
4,6,569,noise,971,horizontal,2
4,6,570,no_noise,484,vertical,2
4,6,571,noise,727,horizontal,2
4,6,572,no_noise,612,horizontal,2
4,6,573,no_noise,48,vertical,2
4,6,574,no_noise,786,horizontal,1
4,6,575,no_noise,330,vertical,1
4,6,576,no_noise,650,horizontal,1
4,6,577,noise,529,horizontal,1
4,6,578,noise,961,horizontal,1
4,6,579,no_noise,190,vertical,1
4,6,580,noise,55,vertical,2
4,6,581,noise,13,vertical,1
4,6,582,no_noise,32,vertical,2
4,6,583,noise,453,vertical,1
4,6,584,no_noise,310,vertical,1
4,6,585,noise,683,horizontal,2
4,6,586,no_noise,790,horizontal,1
4,6,587,no_noise,222,vertical,1
4,6,588,no_noise,530,horizontal,1
4,6,589,noise,749,horizontal,1
4,6,590,no_noise,924,horizontal,2
4,6,591,noise,317,vertical,1
4,6,592,no_noise,788,horizontal,2
4,6,593,noise,413,vertical,1
4,6,594,noise,747,horizontal,2
4,6,595,no_noise,968,horizontal,2
4,6,596,no_noise,220,vertical,2
4,6,597,noise,61,vertical,1
4,6,598,no_noise,202,vertical,1
4,6,599,no_noise,944,horizontal,2
4,6,600,no_noise,158,vertical,1
