prot_id,prot_subset,trial_id,noise_present,line_orientation,no_targets,trajectory_id
1,1,1,no_noise,horizontal,1,610
1,1,2,noise,horizontal,2,611
1,1,3,no_noise,horizontal,2,776
1,1,4,noise,horizontal,1,717
1,1,5,noise,vertical,2,95
1,1,6,noise,horizontal,1,961
1,1,7,no_noise,vertical,2,352
1,1,8,noise,horizontal,1,657
1,1,9,noise,horizontal,1,997
1,1,10,noise,vertical,2,359
1,1,11,no_noise,horizontal,2,848
1,1,12,no_noise,vertical,1,30
1,1,13,noise,horizontal,2,527
1,1,14,no_noise,vertical,1,430
1,1,15,noise,horizontal,1,1001
1,1,16,no_noise,horizontal,1,774
1,1,17,noise,vertical,2,215
1,1,18,no_noise,horizontal,2,940
1,1,19,no_noise,horizontal,1,598
1,1,20,noise,horizontal,1,601
1,1,21,noise,horizontal,2,563
1,1,22,noise,horizontal,2,879
1,1,23,noise,vertical,1,377
1,1,24,no_noise,horizontal,2,852
1,1,25,noise,vertical,2,147
1,1,26,no_noise,horizontal,2,552
1,1,27,no_noise,vertical,1,494
1,1,28,noise,horizontal,1,629
1,1,29,noise,horizontal,2,783
1,1,30,noise,horizontal,1,913
1,1,31,noise,horizontal,1,945
1,1,32,no_noise,horizontal,1,850
1,1,33,noise,vertical,2,27
1,1,34,noise,horizontal,2,931
1,1,35,no_noise,horizontal,2,964
1,1,36,noise,vertical,1,313
1,1,37,noise,vertical,2,139
1,1,38,noise,horizontal,1,829
1,1,39,noise,horizontal,2,975
1,1,40,no_noise,vertical,2,228
1,1,41,no_noise,vertical,1,170
1,1,42,noise,vertical,1,221
1,1,43,no_noise,vertical,1,294
1,1,44,noise,horizontal,1,589
1,1,45,no_noise,vertical,2,76
1,1,46,no_noise,horizontal,2,596
1,1,47,noise,horizontal,2,583
1,1,48,noise,vertical,1,145
1,1,49,no_noise,horizontal,1,730
1,1,50,noise,horizontal,1,873
1,1,51,noise,horizontal,2,867
1,1,52,noise,vertical,1,157
1,1,53,no_noise,vertical,1,298
1,1,54,noise,vertical,1,281
1,1,55,noise,vertical,2,467
1,1,56,noise,vertical,1,45
1,1,57,noise,vertical,2,435
1,1,58,no_noise,vertical,1,94
1,1,59,no_noise,vertical,2,320
1,1,60,noise,vertical,2,227
1,1,61,no_noise,horizontal,2,536
1,1,62,no_noise,vertical,2,120
1,1,63,no_noise,horizontal,1,614
1,1,64,no_noise,horizontal,1,782
1,1,65,noise,horizontal,2,755
1,1,66,no_noise,vertical,2,460
1,1,67,no_noise,horizontal,1,606
1,1,68,no_noise,horizontal,1,862
1,1,69,noise,vertical,2,43
1,1,70,noise,vertical,2,163
1,1,71,no_noise,horizontal,2,760
1,1,72,noise,vertical,1,213
1,1,73,no_noise,vertical,1,378
1,1,74,no_noise,horizontal,1,826
1,1,75,no_noise,vertical,1,38
1,1,76,no_noise,horizontal,2,524
1,1,77,noise,vertical,1,17
1,1,78,noise,vertical,1,73
1,1,79,noise,horizontal,2,903
1,1,80,noise,horizontal,2,763
1,1,81,noise,vertical,1,413
1,1,82,no_noise,vertical,2,312
1,1,83,no_noise,vertical,1,282
1,1,84,noise,vertical,1,93
1,1,85,noise,horizontal,1,545
1,1,86,noise,vertical,2,295
1,1,87,no_noise,vertical,2,428
1,1,88,no_noise,horizontal,2,888
1,1,89,no_noise,vertical,1,290
1,1,90,no_noise,horizontal,2,916
1,1,91,noise,horizontal,2,679
1,1,92,noise,vertical,1,125
1,1,93,no_noise,vertical,1,114
1,1,94,no_noise,vertical,1,162
1,1,95,no_noise,vertical,2,68
1,1,96,noise,vertical,2,487
1,1,97,noise,vertical,1,481
1,1,98,no_noise,vertical,2,484
1,1,99,noise,horizontal,2,719
1,1,100,noise,vertical,2,71
