prot_id,prot_subset,trial_id,line_orientation,no_targets,noise_present,trajectory_id
5,4,301,horizontal,2,noise,959
5,4,302,horizontal,1,no_noise,954
5,4,303,horizontal,2,no_noise,832
5,4,304,horizontal,1,noise,901
5,4,305,horizontal,1,no_noise,814
5,4,306,horizontal,1,no_noise,554
5,4,307,vertical,2,no_noise,288
5,4,308,vertical,2,no_noise,188
5,4,309,vertical,1,noise,141
5,4,310,vertical,1,no_noise,370
5,4,311,vertical,1,noise,189
5,4,312,vertical,1,noise,233
5,4,313,horizontal,1,noise,713
5,4,314,horizontal,2,no_noise,724
5,4,315,vertical,2,noise,339
5,4,316,horizontal,2,no_noise,744
5,4,317,horizontal,2,no_noise,800
5,4,318,horizontal,1,no_noise,658
5,4,319,horizontal,2,noise,799
5,4,320,horizontal,2,noise,727
5,4,321,horizontal,2,noise,567
5,4,322,horizontal,1,noise,729
5,4,323,horizontal,2,noise,695
5,4,324,horizontal,1,noise,661
5,4,325,vertical,2,noise,427
5,4,326,vertical,1,noise,17
5,4,327,vertical,2,noise,383
5,4,328,vertical,2,noise,139
5,4,329,horizontal,2,noise,519
5,4,330,vertical,1,no_noise,74
5,4,331,horizontal,2,no_noise,920
5,4,332,horizontal,2,noise,943
5,4,333,horizontal,1,noise,561
5,4,334,vertical,1,no_noise,54
5,4,335,horizontal,1,noise,885
5,4,336,vertical,2,no_noise,464
5,4,337,vertical,2,noise,327
5,4,338,horizontal,2,noise,611
5,4,339,vertical,1,noise,493
5,4,340,horizontal,2,noise,987
5,4,341,horizontal,1,no_noise,834
5,4,342,horizontal,2,no_noise,864
5,4,343,vertical,2,noise,191
5,4,344,vertical,2,noise,39
5,4,345,horizontal,2,no_noise,684
5,4,346,vertical,2,no_noise,476
5,4,347,vertical,2,no_noise,176
5,4,348,vertical,2,no_noise,360
5,4,349,vertical,2,no_noise,340
5,4,350,horizontal,1,no_noise,914
5,4,351,vertical,1,no_noise,42
5,4,352,horizontal,2,noise,871
5,4,353,vertical,1,noise,193
5,4,354,vertical,1,no_noise,26
5,4,355,vertical,1,noise,61
5,4,356,vertical,1,noise,369
5,4,357,horizontal,2,no_noise,584
5,4,358,horizontal,2,no_noise,972
5,4,359,vertical,1,noise,297
5,4,360,horizontal,2,noise,783
5,4,361,horizontal,2,no_noise,532
5,4,362,vertical,2,noise,119
5,4,363,horizontal,2,noise,787
5,4,364,vertical,2,no_noise,164
5,4,365,vertical,2,no_noise,296
5,4,366,horizontal,1,no_noise,542
5,4,367,horizontal,2,no_noise,852
5,4,368,horizontal,1,no_noise,530
5,4,369,horizontal,2,no_noise,740
5,4,370,horizontal,1,no_noise,974
5,4,371,vertical,2,no_noise,60
5,4,372,vertical,1,noise,5
5,4,373,horizontal,1,no_noise,562
5,4,374,horizontal,1,noise,541
5,4,375,vertical,2,no_noise,48
5,4,376,vertical,1,noise,145
5,4,377,horizontal,1,no_noise,582
5,4,378,horizontal,2,noise,699
5,4,379,horizontal,2,noise,599
5,4,380,vertical,1,noise,253
5,4,381,horizontal,1,no_noise,730
5,4,382,vertical,1,noise,365
5,4,383,horizontal,2,no_noise,760
5,4,384,vertical,2,no_noise,20
5,4,385,vertical,1,no_noise,350
5,4,386,horizontal,1,no_noise,826
5,4,387,vertical,1,noise,401
5,4,388,vertical,2,noise,59
5,4,389,horizontal,1,noise,717
5,4,390,vertical,1,no_noise,230
5,4,391,horizontal,2,no_noise,1004
5,4,392,horizontal,1,no_noise,662
5,4,393,vertical,1,noise,361
5,4,394,vertical,2,no_noise,256
5,4,395,vertical,2,no_noise,76
5,4,396,horizontal,1,no_noise,626
5,4,397,vertical,2,no_noise,24
5,4,398,vertical,1,noise,501
5,4,399,horizontal,1,noise,529
5,4,400,horizontal,1,noise,909
