prot_id,prot_subset,trial_id,line_orientation,no_targets,noise_present,trajectory_id
5,7,601,horizontal,1,noise,849
5,7,602,vertical,2,noise,319
5,7,603,vertical,1,noise,121
5,7,604,horizontal,2,noise,543
5,7,605,vertical,1,no_noise,222
5,7,606,vertical,2,noise,355
5,7,607,vertical,1,noise,497
5,7,608,horizontal,1,no_noise,818
5,7,609,horizontal,2,noise,947
5,7,610,vertical,1,no_noise,270
5,7,611,horizontal,2,no_noise,572
5,7,612,vertical,2,no_noise,168
5,7,613,vertical,1,noise,313
5,7,614,horizontal,2,no_noise,936
5,7,615,horizontal,1,noise,533
5,7,616,vertical,2,noise,159
5,7,617,vertical,1,noise,413
5,7,618,vertical,2,noise,495
5,7,619,horizontal,2,noise,551
5,7,620,horizontal,1,no_noise,566
5,7,621,horizontal,2,noise,831
5,7,622,horizontal,1,noise,521
5,7,623,horizontal,2,no_noise,688
5,7,624,horizontal,2,no_noise,820
5,7,625,horizontal,1,noise,825
5,7,626,vertical,2,noise,483
5,7,627,horizontal,1,no_noise,798
5,7,628,horizontal,1,noise,981
5,7,629,horizontal,2,no_noise,916
5,7,630,horizontal,2,noise,647
5,7,631,horizontal,2,noise,1003
5,7,632,horizontal,1,no_noise,654
5,7,633,vertical,1,noise,225
5,7,634,vertical,2,noise,435
5,7,635,vertical,2,noise,27
5,7,636,horizontal,1,no_noise,510
5,7,637,vertical,2,noise,111
5,7,638,horizontal,1,no_noise,742
5,7,639,horizontal,1,no_noise,622
5,7,640,horizontal,2,noise,743
5,7,641,horizontal,2,no_noise,568
5,7,642,vertical,2,no_noise,44
5,7,643,horizontal,1,noise,605
5,7,644,vertical,1,noise,181
5,7,645,horizontal,2,no_noise,680
5,7,646,horizontal,1,noise,925
5,7,647,vertical,2,noise,147
5,7,648,horizontal,1,noise,837
5,7,649,horizontal,2,noise,703
5,7,650,vertical,1,noise,285
5,7,651,horizontal,2,noise,675
5,7,652,vertical,1,noise,109
5,7,653,vertical,2,noise,83
5,7,654,vertical,2,noise,287
5,7,655,vertical,2,noise,143
5,7,656,horizontal,1,no_noise,754
5,7,657,horizontal,1,no_noise,862
5,7,658,horizontal,2,no_noise,892
5,7,659,horizontal,2,no_noise,764
5,7,660,vertical,2,noise,459
5,7,661,vertical,1,no_noise,314
5,7,662,vertical,2,noise,207
5,7,663,horizontal,1,noise,777
5,7,664,horizontal,1,noise,725
5,7,665,vertical,2,noise,151
5,7,666,vertical,2,no_noise,220
5,7,667,vertical,2,no_noise,108
5,7,668,vertical,1,noise,257
5,7,669,horizontal,2,no_noise,524
5,7,670,vertical,2,noise,447
5,7,671,horizontal,2,no_noise,988
5,7,672,horizontal,2,noise,535
5,7,673,vertical,1,no_noise,142
5,7,674,vertical,2,no_noise,92
5,7,675,vertical,2,noise,307
5,7,676,horizontal,1,noise,585
5,7,677,vertical,1,no_noise,178
5,7,678,vertical,1,noise,345
5,7,679,horizontal,1,noise,513
5,7,680,horizontal,1,noise,1005
5,7,681,horizontal,1,no_noise,570
5,7,682,vertical,2,noise,227
5,7,683,horizontal,2,no_noise,700
5,7,684,vertical,1,no_noise,138
5,7,685,horizontal,2,noise,951
5,7,686,horizontal,2,noise,707
5,7,687,vertical,1,noise,301
5,7,688,horizontal,1,no_noise,718
5,7,689,horizontal,1,no_noise,646
5,7,690,horizontal,2,noise,979
5,7,691,vertical,1,no_noise,6
5,7,692,vertical,1,noise,169
5,7,693,horizontal,1,no_noise,574
5,7,694,vertical,2,no_noise,160
5,7,695,horizontal,2,noise,587
5,7,696,vertical,2,noise,203
5,7,697,vertical,1,no_noise,354
5,7,698,horizontal,2,noise,667
5,7,699,vertical,1,noise,377
5,7,700,vertical,1,no_noise,294
