prot_id,prot_subset,trial_id,line_orientation,no_targets,trajectory_id,noise_present
8,10,901,vertical,1,146,no_noise
8,10,902,vertical,1,5,noise
8,10,903,vertical,2,503,noise
8,10,904,vertical,1,41,noise
8,10,905,vertical,2,400,no_noise
8,10,906,horizontal,1,869,noise
8,10,907,vertical,1,274,no_noise
8,10,908,vertical,2,488,no_noise
8,10,909,horizontal,2,651,noise
8,10,910,vertical,1,305,noise
8,10,911,vertical,1,153,noise
8,10,912,horizontal,2,691,noise
8,10,913,vertical,2,476,no_noise
8,10,914,horizontal,2,947,noise
8,10,915,vertical,1,249,noise
8,10,916,vertical,2,455,noise
8,10,917,vertical,1,502,no_noise
8,10,918,vertical,2,79,noise
8,10,919,horizontal,2,768,no_noise
8,10,920,horizontal,2,671,noise
8,10,921,horizontal,1,945,noise
8,10,922,horizontal,2,811,noise
8,10,923,horizontal,1,857,noise
8,10,924,vertical,2,195,noise
8,10,925,horizontal,1,933,noise
8,10,926,vertical,1,301,noise
8,10,927,horizontal,1,710,no_noise
8,10,928,vertical,2,415,noise
8,10,929,horizontal,2,788,no_noise
8,10,930,horizontal,1,537,noise
8,10,931,vertical,1,406,no_noise
8,10,932,horizontal,1,774,no_noise
8,10,933,horizontal,1,982,no_noise
8,10,934,vertical,2,451,noise
8,10,935,horizontal,1,985,noise
8,10,936,vertical,1,334,no_noise
8,10,937,horizontal,2,579,noise
8,10,938,horizontal,1,934,no_noise
8,10,939,vertical,2,23,noise
8,10,940,horizontal,2,799,noise
8,10,941,vertical,2,312,no_noise
8,10,942,vertical,2,176,no_noise
8,10,943,horizontal,2,783,noise
8,10,944,horizontal,1,793,noise
8,10,945,horizontal,1,854,no_noise
8,10,946,vertical,2,372,no_noise
8,10,947,horizontal,2,680,no_noise
8,10,948,vertical,1,494,no_noise
8,10,949,horizontal,1,682,no_noise
8,10,950,vertical,2,271,noise
8,10,951,vertical,1,269,noise
8,10,952,vertical,1,485,noise
8,10,953,vertical,1,389,noise
8,10,954,vertical,1,290,no_noise
8,10,955,horizontal,2,796,no_noise
8,10,956,horizontal,2,875,noise
8,10,957,vertical,1,293,noise
8,10,958,horizontal,1,958,no_noise
8,10,959,vertical,1,358,no_noise
8,10,960,vertical,2,380,no_noise
8,10,961,vertical,2,352,no_noise
8,10,962,horizontal,1,813,noise
8,10,963,horizontal,2,612,no_noise
8,10,964,horizontal,2,564,no_noise
8,10,965,vertical,2,260,no_noise
8,10,966,horizontal,2,808,no_noise
8,10,967,vertical,2,351,noise
8,10,968,horizontal,1,750,no_noise
8,10,969,horizontal,1,686,no_noise
8,10,970,horizontal,1,909,noise
8,10,971,vertical,2,196,no_noise
8,10,972,vertical,1,405,noise
8,10,973,vertical,2,496,no_noise
8,10,974,vertical,1,90,no_noise
8,10,975,vertical,1,258,no_noise
8,10,976,vertical,1,474,no_noise
8,10,977,horizontal,1,918,no_noise
8,10,978,vertical,2,440,no_noise
8,10,979,vertical,1,49,noise
8,10,980,vertical,2,295,noise
8,10,981,vertical,1,10,no_noise
8,10,982,horizontal,1,669,noise
8,10,983,vertical,2,480,no_noise
8,10,984,vertical,1,369,noise
8,10,985,vertical,1,205,noise
8,10,986,horizontal,2,608,no_noise
8,10,987,vertical,1,145,noise
8,10,988,horizontal,1,614,no_noise
8,10,989,vertical,1,170,no_noise
8,10,990,vertical,2,52,no_noise
8,10,991,vertical,2,491,noise
8,10,992,horizontal,2,624,no_noise
8,10,993,vertical,1,142,no_noise
8,10,994,vertical,2,32,no_noise
8,10,995,vertical,2,211,noise
8,10,996,vertical,2,8,no_noise
8,10,997,vertical,1,102,no_noise
8,10,998,vertical,1,137,noise
8,10,999,vertical,2,100,no_noise
8,10,1000,vertical,1,289,noise
