prot_id,prot_subset,trial_id,line_orientation,trajectory_id,no_targets,noise_present
9,5,401,vertical,12,2,no_noise
9,5,402,horizontal,721,1,noise
9,5,403,horizontal,953,1,noise
9,5,404,horizontal,663,2,noise
9,5,405,horizontal,998,1,no_noise
9,5,406,vertical,13,1,noise
9,5,407,vertical,497,1,noise
9,5,408,horizontal,970,1,no_noise
9,5,409,vertical,293,1,noise
9,5,410,vertical,100,2,no_noise
9,5,411,vertical,109,1,noise
9,5,412,horizontal,905,1,noise
9,5,413,vertical,254,1,no_noise
9,5,414,vertical,313,1,noise
9,5,415,vertical,297,1,noise
9,5,416,horizontal,590,1,no_noise
9,5,417,horizontal,714,1,no_noise
9,5,418,vertical,279,2,noise
9,5,419,vertical,120,2,no_noise
9,5,420,horizontal,558,1,no_noise
9,5,421,horizontal,623,2,noise
9,5,422,vertical,175,2,noise
9,5,423,vertical,347,2,noise
9,5,424,horizontal,732,2,no_noise
9,5,425,horizontal,937,1,noise
9,5,426,horizontal,601,1,noise
9,5,427,vertical,315,2,noise
9,5,428,horizontal,930,1,no_noise
9,5,429,vertical,210,1,no_noise
9,5,430,horizontal,693,1,noise
9,5,431,horizontal,665,1,noise
9,5,432,vertical,192,2,no_noise
9,5,433,vertical,357,1,noise
9,5,434,horizontal,748,2,no_noise
9,5,435,horizontal,831,2,noise
9,5,436,vertical,489,1,noise
9,5,437,vertical,170,1,no_noise
9,5,438,vertical,38,1,no_noise
9,5,439,vertical,393,1,noise
9,5,440,horizontal,943,2,noise
9,5,441,horizontal,976,2,no_noise
9,5,442,vertical,412,2,no_noise
9,5,443,vertical,443,2,noise
9,5,444,horizontal,969,1,noise
9,5,445,vertical,138,1,no_noise
9,5,446,vertical,44,2,no_noise
9,5,447,horizontal,529,1,noise
9,5,448,vertical,329,1,noise
9,5,449,horizontal,749,1,noise
9,5,450,vertical,95,2,noise
9,5,451,vertical,361,1,noise
9,5,452,vertical,9,1,noise
9,5,453,vertical,149,1,noise
9,5,454,vertical,164,2,no_noise
9,5,455,vertical,474,1,no_noise
9,5,456,vertical,233,1,noise
9,5,457,vertical,116,2,no_noise
9,5,458,horizontal,553,1,noise
9,5,459,vertical,8,2,no_noise
9,5,460,vertical,29,1,noise
9,5,461,vertical,365,1,noise
9,5,462,horizontal,636,2,no_noise
9,5,463,horizontal,729,1,noise
9,5,464,vertical,21,1,noise
9,5,465,horizontal,600,2,no_noise
9,5,466,vertical,442,1,no_noise
9,5,467,horizontal,765,1,noise
9,5,468,vertical,216,2,no_noise
9,5,469,vertical,111,2,noise
9,5,470,vertical,289,1,noise
9,5,471,horizontal,564,2,no_noise
9,5,472,horizontal,888,2,no_noise
9,5,473,vertical,460,2,no_noise
9,5,474,horizontal,921,1,noise
9,5,475,vertical,421,1,noise
9,5,476,horizontal,788,2,no_noise
9,5,477,vertical,30,1,no_noise
9,5,478,horizontal,902,1,no_noise
9,5,479,horizontal,705,1,noise
9,5,480,horizontal,882,1,no_noise
9,5,481,vertical,10,1,no_noise
9,5,482,horizontal,700,2,no_noise
9,5,483,vertical,260,2,no_noise
9,5,484,vertical,330,1,no_noise
9,5,485,horizontal,589,1,noise
9,5,486,vertical,492,2,no_noise
9,5,487,vertical,204,2,no_noise
9,5,488,horizontal,982,1,no_noise
9,5,489,horizontal,764,2,no_noise
9,5,490,vertical,314,1,no_noise
9,5,491,vertical,332,2,no_noise
9,5,492,vertical,215,2,noise
9,5,493,horizontal,630,1,no_noise
9,5,494,horizontal,904,2,no_noise
9,5,495,vertical,308,2,no_noise
9,5,496,vertical,378,1,no_noise
9,5,497,vertical,425,1,noise
9,5,498,horizontal,509,1,noise
9,5,499,horizontal,671,2,noise
9,5,500,vertical,363,2,noise
