prot_id,prot_subset,trial_id,no_targets,trajectory_id,noise_present,line_orientation
6,1,1,1,953,noise,horizontal
6,1,2,2,379,noise,vertical
6,1,3,2,892,no_noise,horizontal
6,1,4,2,543,noise,horizontal
6,1,5,2,288,no_noise,vertical
6,1,6,2,612,no_noise,horizontal
6,1,7,1,557,noise,horizontal
6,1,8,2,128,no_noise,vertical
6,1,9,1,606,no_noise,horizontal
6,1,10,2,475,noise,vertical
6,1,11,1,325,noise,vertical
6,1,12,2,503,noise,vertical
6,1,13,2,392,no_noise,vertical
6,1,14,1,698,no_noise,horizontal
6,1,15,2,1008,no_noise,horizontal
6,1,16,2,976,no_noise,horizontal
6,1,17,1,257,noise,vertical
6,1,18,2,812,no_noise,horizontal
6,1,19,2,767,noise,horizontal
6,1,20,1,409,noise,vertical
6,1,21,1,494,no_noise,vertical
6,1,22,2,760,no_noise,horizontal
6,1,23,2,223,noise,vertical
6,1,24,2,108,no_noise,vertical
6,1,25,1,950,no_noise,horizontal
6,1,26,2,856,no_noise,horizontal
6,1,27,2,871,noise,horizontal
6,1,28,1,798,no_noise,horizontal
6,1,29,1,349,noise,vertical
6,1,30,1,877,noise,horizontal
6,1,31,2,920,no_noise,horizontal
6,1,32,1,737,noise,horizontal
6,1,33,2,563,noise,horizontal
6,1,34,2,855,noise,horizontal
6,1,35,2,111,noise,vertical
6,1,36,2,88,no_noise,vertical
6,1,37,2,936,no_noise,horizontal
6,1,38,1,146,no_noise,vertical
6,1,39,1,13,noise,vertical
6,1,40,2,187,noise,vertical
6,1,41,2,684,no_noise,horizontal
6,1,42,2,1003,noise,horizontal
6,1,43,2,747,noise,horizontal
6,1,44,1,646,no_noise,horizontal
6,1,45,1,745,noise,horizontal
6,1,46,2,123,noise,vertical
6,1,47,2,796,no_noise,horizontal
6,1,48,1,558,no_noise,horizontal
6,1,49,1,829,noise,horizontal
6,1,50,1,413,noise,vertical
6,1,51,2,916,no_noise,horizontal
6,1,52,1,105,noise,vertical
6,1,53,1,85,noise,vertical
6,1,54,1,434,no_noise,vertical
6,1,55,2,875,noise,horizontal
6,1,56,2,95,noise,vertical
6,1,57,2,371,noise,vertical
6,1,58,1,385,noise,vertical
6,1,59,2,444,no_noise,vertical
6,1,60,1,130,no_noise,vertical
6,1,61,1,677,noise,horizontal
6,1,62,2,952,no_noise,horizontal
6,1,63,1,969,noise,horizontal
6,1,64,2,940,no_noise,horizontal
6,1,65,1,10,no_noise,vertical
6,1,66,2,72,no_noise,vertical
6,1,67,1,990,no_noise,horizontal
6,1,68,2,819,noise,horizontal
6,1,69,2,663,noise,horizontal
6,1,70,1,553,noise,horizontal
6,1,71,1,261,noise,vertical
6,1,72,1,982,no_noise,horizontal
6,1,73,2,112,no_noise,vertical
6,1,74,2,644,no_noise,horizontal
6,1,75,2,255,noise,vertical
6,1,76,1,586,no_noise,horizontal
6,1,77,2,764,no_noise,horizontal
6,1,78,1,358,no_noise,vertical
6,1,79,2,311,noise,vertical
6,1,80,1,274,no_noise,vertical
6,1,81,2,695,noise,horizontal
6,1,82,2,400,no_noise,vertical
6,1,83,1,713,noise,horizontal
6,1,84,2,307,noise,vertical
6,1,85,2,707,noise,horizontal
6,1,86,2,324,no_noise,vertical
6,1,87,1,697,noise,horizontal
6,1,88,1,537,noise,horizontal
6,1,89,2,119,noise,vertical
6,1,90,2,48,no_noise,vertical
6,1,91,1,454,no_noise,vertical
6,1,92,2,383,noise,vertical
6,1,93,2,655,noise,horizontal
6,1,94,2,415,noise,vertical
6,1,95,1,613,noise,horizontal
6,1,96,2,403,noise,vertical
6,1,97,2,715,noise,horizontal
6,1,98,2,339,noise,vertical
6,1,99,1,401,noise,vertical
6,1,100,2,899,noise,horizontal
