prot_id,prot_subset,trial_id,line_orientation,no_targets,trajectory_id,noise_present
8,4,301,vertical,2,175,noise
8,4,302,vertical,2,464,no_noise
8,4,303,horizontal,2,803,noise
8,4,304,horizontal,1,874,no_noise
8,4,305,horizontal,2,912,no_noise
8,4,306,vertical,2,116,no_noise
8,4,307,vertical,2,303,noise
8,4,308,horizontal,1,694,no_noise
8,4,309,horizontal,2,931,noise
8,4,310,horizontal,2,872,no_noise
8,4,311,horizontal,1,541,noise
8,4,312,horizontal,2,936,no_noise
8,4,313,horizontal,1,749,noise
8,4,314,vertical,1,446,no_noise
8,4,315,vertical,1,261,noise
8,4,316,horizontal,2,992,no_noise
8,4,317,vertical,1,73,noise
8,4,318,horizontal,1,546,no_noise
8,4,319,vertical,2,448,no_noise
8,4,320,horizontal,2,944,no_noise
8,4,321,vertical,2,123,noise
8,4,322,horizontal,2,563,noise
8,4,323,vertical,2,439,noise
8,4,324,horizontal,2,551,noise
8,4,325,vertical,1,493,noise
8,4,326,vertical,1,314,no_noise
8,4,327,horizontal,2,776,no_noise
8,4,328,vertical,2,267,noise
8,4,329,horizontal,2,859,noise
8,4,330,horizontal,1,718,no_noise
8,4,331,vertical,2,348,no_noise
8,4,332,horizontal,2,916,no_noise
8,4,333,horizontal,2,583,noise
8,4,334,horizontal,2,596,no_noise
8,4,335,horizontal,2,664,no_noise
8,4,336,horizontal,1,834,no_noise
8,4,337,horizontal,1,625,noise
8,4,338,vertical,1,166,no_noise
8,4,339,vertical,1,390,no_noise
8,4,340,vertical,1,125,noise
8,4,341,horizontal,1,693,noise
8,4,342,vertical,2,456,no_noise
8,4,343,horizontal,2,556,no_noise
8,4,344,vertical,1,425,noise
8,4,345,horizontal,1,526,no_noise
8,4,346,vertical,2,164,no_noise
8,4,347,vertical,2,376,no_noise
8,4,348,horizontal,2,852,no_noise
8,4,349,horizontal,2,696,no_noise
8,4,350,horizontal,1,706,no_noise
8,4,351,horizontal,2,571,noise
8,4,352,vertical,2,419,noise
8,4,353,vertical,2,55,noise
8,4,354,vertical,1,165,noise
8,4,355,vertical,1,197,noise
8,4,356,horizontal,1,889,noise
8,4,357,horizontal,2,908,no_noise
8,4,358,horizontal,1,582,no_noise
8,4,359,horizontal,1,806,no_noise
8,4,360,vertical,1,366,no_noise
8,4,361,horizontal,1,790,no_noise
8,4,362,vertical,1,117,noise
8,4,363,vertical,1,14,no_noise
8,4,364,vertical,2,31,noise
8,4,365,horizontal,2,684,no_noise
8,4,366,horizontal,1,565,noise
8,4,367,horizontal,1,781,noise
8,4,368,horizontal,2,700,no_noise
8,4,369,horizontal,1,605,noise
8,4,370,vertical,1,221,noise
8,4,371,horizontal,1,709,noise
8,4,372,horizontal,1,822,no_noise
8,4,373,horizontal,1,773,noise
8,4,374,horizontal,2,640,no_noise
8,4,375,vertical,1,66,no_noise
8,4,376,vertical,2,228,no_noise
8,4,377,horizontal,1,802,no_noise
8,4,378,horizontal,2,548,no_noise
8,4,379,horizontal,2,559,noise
8,4,380,vertical,1,422,no_noise
8,4,381,vertical,2,460,no_noise
8,4,382,vertical,2,160,no_noise
8,4,383,vertical,2,15,noise
8,4,384,horizontal,1,737,noise
8,4,385,horizontal,2,627,noise
8,4,386,horizontal,1,829,noise
8,4,387,vertical,1,226,no_noise
8,4,388,vertical,2,115,noise
8,4,389,vertical,1,325,noise
8,4,390,horizontal,1,761,noise
8,4,391,horizontal,1,882,no_noise
8,4,392,vertical,2,28,no_noise
8,4,393,horizontal,1,938,no_noise
8,4,394,vertical,1,129,noise
8,4,395,horizontal,1,901,noise
8,4,396,vertical,2,75,noise
8,4,397,vertical,2,383,noise
8,4,398,horizontal,1,754,no_noise
8,4,399,vertical,1,65,noise
8,4,400,horizontal,2,723,noise
