prot_id,prot_subset,trial_id,no_targets,line_orientation,trajectory_id,noise_present
3,9,801,2,vertical,244,no_noise
3,9,802,1,vertical,390,no_noise
3,9,803,2,horizontal,635,noise
3,9,804,2,horizontal,1000,no_noise
3,9,805,2,horizontal,555,noise
3,9,806,1,vertical,93,noise
3,9,807,2,vertical,95,noise
3,9,808,2,vertical,148,no_noise
3,9,809,2,horizontal,867,noise
3,9,810,2,vertical,359,noise
3,9,811,2,vertical,423,noise
3,9,812,1,horizontal,633,noise
3,9,813,1,horizontal,602,no_noise
3,9,814,1,vertical,310,no_noise
3,9,815,1,horizontal,690,no_noise
3,9,816,2,vertical,452,no_noise
3,9,817,2,horizontal,780,no_noise
3,9,818,2,horizontal,908,no_noise
3,9,819,1,horizontal,574,no_noise
3,9,820,1,vertical,273,noise
3,9,821,2,vertical,420,no_noise
3,9,822,1,horizontal,734,no_noise
3,9,823,1,vertical,98,no_noise
3,9,824,1,horizontal,546,no_noise
3,9,825,1,horizontal,918,no_noise
3,9,826,2,vertical,476,no_noise
3,9,827,2,vertical,164,no_noise
3,9,828,2,vertical,243,noise
3,9,829,2,vertical,303,noise
3,9,830,1,vertical,418,no_noise
3,9,831,1,horizontal,573,noise
3,9,832,1,horizontal,634,no_noise
3,9,833,1,horizontal,753,noise
3,9,834,1,vertical,377,noise
3,9,835,1,vertical,258,no_noise
3,9,836,2,vertical,216,no_noise
3,9,837,2,vertical,155,noise
3,9,838,1,horizontal,930,no_noise
3,9,839,2,horizontal,535,noise
3,9,840,2,horizontal,980,no_noise
3,9,841,2,horizontal,868,no_noise
3,9,842,1,horizontal,682,no_noise
3,9,843,1,horizontal,585,noise
3,9,844,1,vertical,9,noise
3,9,845,2,vertical,267,noise
3,9,846,2,horizontal,580,no_noise
3,9,847,2,horizontal,783,noise
3,9,848,1,vertical,454,no_noise
3,9,849,1,vertical,305,noise
3,9,850,1,horizontal,945,noise
3,9,851,2,vertical,328,no_noise
3,9,852,2,horizontal,660,no_noise
3,9,853,1,vertical,482,no_noise
3,9,854,2,vertical,212,no_noise
3,9,855,1,vertical,266,no_noise
3,9,856,1,vertical,297,noise
3,9,857,1,horizontal,797,noise
3,9,858,1,horizontal,978,no_noise
3,9,859,2,horizontal,519,noise
3,9,860,2,vertical,47,noise
3,9,861,2,horizontal,511,noise
3,9,862,2,vertical,456,no_noise
3,9,863,2,horizontal,607,noise
3,9,864,1,horizontal,909,noise
3,9,865,1,vertical,234,no_noise
3,9,866,1,horizontal,729,noise
3,9,867,2,vertical,487,noise
3,9,868,1,vertical,13,noise
3,9,869,2,horizontal,699,noise
3,9,870,1,horizontal,805,noise
3,9,871,2,vertical,444,no_noise
3,9,872,1,vertical,202,no_noise
3,9,873,1,vertical,414,no_noise
3,9,874,2,vertical,48,no_noise
3,9,875,2,horizontal,728,no_noise
3,9,876,1,horizontal,613,noise
3,9,877,2,vertical,404,no_noise
3,9,878,2,vertical,203,noise
3,9,879,2,horizontal,984,no_noise
3,9,880,1,vertical,393,noise
3,9,881,1,horizontal,962,no_noise
3,9,882,1,vertical,434,no_noise
3,9,883,1,horizontal,514,no_noise
3,9,884,2,vertical,123,noise
3,9,885,1,horizontal,586,no_noise
3,9,886,1,vertical,314,no_noise
3,9,887,1,vertical,461,noise
3,9,888,2,vertical,140,no_noise
3,9,889,1,horizontal,570,no_noise
3,9,890,2,vertical,231,noise
3,9,891,2,horizontal,615,noise
3,9,892,1,horizontal,801,noise
3,9,893,1,vertical,205,noise
3,9,894,1,horizontal,726,no_noise
3,9,895,2,vertical,20,no_noise
3,9,896,1,vertical,401,noise
3,9,897,1,horizontal,998,no_noise
3,9,898,2,horizontal,711,noise
3,9,899,1,horizontal,850,no_noise
3,9,900,1,horizontal,630,no_noise
