prot_id,prot_subset,trial_id,line_orientation,trajectory_id,no_targets,noise_present
9,3,201,horizontal,699,2,noise
9,3,202,horizontal,667,2,noise
9,3,203,horizontal,885,1,noise
9,3,204,vertical,92,2,no_noise
9,3,205,horizontal,915,2,noise
9,3,206,horizontal,571,2,noise
9,3,207,vertical,486,1,no_noise
9,3,208,vertical,190,1,no_noise
9,3,209,horizontal,913,1,noise
9,3,210,horizontal,763,2,noise
9,3,211,vertical,455,2,noise
9,3,212,vertical,22,1,no_noise
9,3,213,vertical,333,1,noise
9,3,214,vertical,62,1,no_noise
9,3,215,horizontal,975,2,noise
9,3,216,horizontal,514,1,no_noise
9,3,217,horizontal,941,1,noise
9,3,218,vertical,218,1,no_noise
9,3,219,vertical,180,2,no_noise
9,3,220,horizontal,536,2,no_noise
9,3,221,horizontal,649,1,noise
9,3,222,horizontal,945,1,noise
9,3,223,vertical,424,2,no_noise
9,3,224,horizontal,850,1,no_noise
9,3,225,horizontal,767,2,noise
9,3,226,horizontal,684,2,no_noise
9,3,227,horizontal,637,1,noise
9,3,228,vertical,370,1,no_noise
9,3,229,vertical,418,1,no_noise
9,3,230,vertical,298,1,no_noise
9,3,231,vertical,93,1,noise
9,3,232,horizontal,561,1,noise
9,3,233,horizontal,909,1,noise
9,3,234,vertical,374,1,no_noise
9,3,235,vertical,360,2,no_noise
9,3,236,horizontal,626,1,no_noise
9,3,237,horizontal,962,1,no_noise
9,3,238,horizontal,817,1,noise
9,3,239,vertical,399,2,noise
9,3,240,vertical,96,2,no_noise
9,3,241,vertical,232,2,no_noise
9,3,242,horizontal,675,2,noise
9,3,243,vertical,37,1,noise
9,3,244,vertical,287,2,noise
9,3,245,vertical,146,1,no_noise
9,3,246,horizontal,901,1,noise
9,3,247,vertical,140,2,no_noise
9,3,248,horizontal,688,2,no_noise
9,3,249,horizontal,547,2,noise
9,3,250,vertical,439,2,noise
9,3,251,vertical,58,1,no_noise
9,3,252,horizontal,757,1,noise
9,3,253,vertical,305,1,noise
9,3,254,vertical,338,1,no_noise
9,3,255,horizontal,575,2,noise
9,3,256,horizontal,522,1,no_noise
9,3,257,horizontal,801,1,noise
9,3,258,vertical,7,2,noise
9,3,259,horizontal,544,2,no_noise
9,3,260,horizontal,710,1,no_noise
9,3,261,horizontal,517,1,noise
9,3,262,horizontal,820,2,no_noise
9,3,263,horizontal,652,2,no_noise
9,3,264,vertical,105,1,noise
9,3,265,horizontal,535,2,noise
9,3,266,vertical,227,2,noise
9,3,267,vertical,99,2,noise
9,3,268,vertical,385,1,noise
9,3,269,vertical,281,1,noise
9,3,270,vertical,284,2,no_noise
9,3,271,horizontal,917,1,noise
9,3,272,horizontal,922,1,no_noise
9,3,273,vertical,504,2,no_noise
9,3,274,vertical,69,1,noise
9,3,275,vertical,89,1,noise
9,3,276,horizontal,593,1,noise
9,3,277,vertical,87,2,noise
9,3,278,vertical,271,2,noise
9,3,279,vertical,306,1,no_noise
9,3,280,vertical,408,2,no_noise
9,3,281,vertical,200,2,no_noise
9,3,282,horizontal,743,2,noise
9,3,283,horizontal,887,2,noise
9,3,284,vertical,302,1,no_noise
9,3,285,vertical,450,1,no_noise
9,3,286,vertical,496,2,no_noise
9,3,287,horizontal,584,2,no_noise
9,3,288,vertical,55,2,noise
9,3,289,horizontal,808,2,no_noise
9,3,290,vertical,126,1,no_noise
9,3,291,vertical,49,1,noise
9,3,292,horizontal,604,2,no_noise
9,3,293,vertical,359,2,noise
9,3,294,horizontal,824,2,no_noise
9,3,295,vertical,71,2,noise
9,3,296,vertical,447,2,noise
9,3,297,vertical,239,2,noise
9,3,298,vertical,448,2,no_noise
9,3,299,vertical,291,2,noise
9,3,300,vertical,101,1,noise
