prot_id,prot_subset,trial_id,no_targets,line_orientation,trajectory_id,noise_present
2,1,1,2,horizontal,880,no_noise
2,1,2,2,horizontal,552,no_noise
2,1,3,2,vertical,52,no_noise
2,1,4,2,horizontal,791,noise
2,1,5,1,horizontal,674,no_noise
2,1,6,2,horizontal,924,no_noise
2,1,7,2,vertical,39,noise
2,1,8,2,horizontal,575,noise
2,1,9,2,vertical,419,noise
2,1,10,1,horizontal,901,noise
2,1,11,2,vertical,156,no_noise
2,1,12,1,horizontal,537,noise
2,1,13,2,vertical,331,noise
2,1,14,1,vertical,445,noise
2,1,15,1,horizontal,853,noise
2,1,16,2,vertical,423,noise
2,1,17,1,vertical,190,no_noise
2,1,18,1,horizontal,958,no_noise
2,1,19,1,horizontal,789,noise
2,1,20,1,horizontal,982,no_noise
2,1,21,2,horizontal,844,no_noise
2,1,22,2,horizontal,647,noise
2,1,23,1,horizontal,545,noise
2,1,24,1,vertical,33,noise
2,1,25,1,horizontal,701,noise
2,1,26,2,horizontal,536,no_noise
2,1,27,1,horizontal,689,noise
2,1,28,2,vertical,244,no_noise
2,1,29,1,vertical,13,noise
2,1,30,1,vertical,297,noise
2,1,31,1,vertical,314,no_noise
2,1,32,1,horizontal,734,no_noise
2,1,33,1,horizontal,758,no_noise
2,1,34,2,horizontal,756,no_noise
2,1,35,1,vertical,474,no_noise
2,1,36,2,horizontal,544,no_noise
2,1,37,1,horizontal,790,no_noise
2,1,38,1,vertical,162,no_noise
2,1,39,1,horizontal,629,noise
2,1,40,1,horizontal,710,no_noise
2,1,41,2,horizontal,636,no_noise
2,1,42,2,vertical,371,noise
2,1,43,2,horizontal,816,no_noise
2,1,44,2,vertical,227,noise
2,1,45,2,horizontal,895,noise
2,1,46,2,horizontal,687,noise
2,1,47,1,vertical,233,noise
2,1,48,2,vertical,76,no_noise
2,1,49,2,vertical,243,noise
2,1,50,2,horizontal,972,no_noise
2,1,51,2,vertical,436,no_noise
2,1,52,1,vertical,325,noise
2,1,53,2,vertical,155,noise
2,1,54,1,vertical,30,no_noise
2,1,55,1,vertical,50,no_noise
2,1,56,2,horizontal,543,noise
2,1,57,1,horizontal,965,noise
2,1,58,2,horizontal,711,noise
2,1,59,1,horizontal,925,noise
2,1,60,1,vertical,341,noise
2,1,61,2,vertical,260,no_noise
2,1,62,2,vertical,43,noise
2,1,63,2,horizontal,996,no_noise
2,1,64,1,vertical,49,noise
2,1,65,2,vertical,307,noise
2,1,66,2,vertical,336,no_noise
2,1,67,2,vertical,100,no_noise
2,1,68,1,horizontal,694,no_noise
2,1,69,2,vertical,471,noise
2,1,70,2,horizontal,836,no_noise
2,1,71,2,vertical,87,noise
2,1,72,1,horizontal,865,noise
2,1,73,1,vertical,405,noise
2,1,74,1,horizontal,657,noise
2,1,75,1,horizontal,970,no_noise
2,1,76,1,vertical,386,no_noise
2,1,77,1,horizontal,886,no_noise
2,1,78,2,horizontal,927,noise
2,1,79,2,vertical,163,noise
2,1,80,1,horizontal,686,no_noise
2,1,81,1,vertical,293,noise
2,1,82,2,horizontal,856,no_noise
2,1,83,2,horizontal,939,noise
2,1,84,2,horizontal,592,no_noise
2,1,85,1,horizontal,653,noise
2,1,86,2,horizontal,839,noise
2,1,87,1,vertical,206,no_noise
2,1,88,2,vertical,352,no_noise
2,1,89,1,horizontal,557,noise
2,1,90,1,vertical,434,no_noise
2,1,91,1,horizontal,938,no_noise
2,1,92,2,vertical,148,no_noise
2,1,93,1,vertical,10,no_noise
2,1,94,2,horizontal,772,no_noise
2,1,95,2,vertical,184,no_noise
2,1,96,2,horizontal,720,no_noise
2,1,97,1,vertical,93,noise
2,1,98,1,vertical,466,no_noise
2,1,99,2,vertical,99,noise
2,1,100,1,horizontal,822,no_noise
