prot_id,prot_subset,trial_id,no_targets,trajectory_id,noise_present,line_orientation
6,3,201,2,348,no_noise,vertical
6,3,202,2,92,no_noise,vertical
6,3,203,2,472,no_noise,vertical
6,3,204,1,382,no_noise,vertical
6,3,205,2,300,no_noise,vertical
6,3,206,1,393,noise,vertical
6,3,207,2,915,noise,horizontal
6,3,208,1,609,noise,horizontal
6,3,209,1,638,no_noise,horizontal
6,3,210,2,632,no_noise,horizontal
6,3,211,1,946,no_noise,horizontal
6,3,212,2,924,no_noise,horizontal
6,3,213,1,273,noise,vertical
6,3,214,1,98,no_noise,vertical
6,3,215,2,87,noise,vertical
6,3,216,2,179,noise,vertical
6,3,217,2,680,no_noise,horizontal
6,3,218,2,107,noise,vertical
6,3,219,2,247,noise,vertical
6,3,220,1,337,noise,vertical
6,3,221,1,769,noise,horizontal
6,3,222,1,177,noise,vertical
6,3,223,2,512,no_noise,horizontal
6,3,224,1,190,no_noise,vertical
6,3,225,2,840,no_noise,horizontal
6,3,226,2,372,no_noise,vertical
6,3,227,2,647,noise,horizontal
6,3,228,2,816,no_noise,horizontal
6,3,229,2,151,noise,vertical
6,3,230,1,614,no_noise,horizontal
6,3,231,2,36,no_noise,vertical
6,3,232,2,536,no_noise,horizontal
6,3,233,1,61,noise,vertical
6,3,234,1,326,no_noise,vertical
6,3,235,2,376,no_noise,vertical
6,3,236,1,905,noise,horizontal
6,3,237,1,421,noise,vertical
6,3,238,1,198,no_noise,vertical
6,3,239,1,846,no_noise,horizontal
6,3,240,1,126,no_noise,vertical
6,3,241,2,139,noise,vertical
6,3,242,1,702,no_noise,horizontal
6,3,243,1,518,no_noise,horizontal
6,3,244,1,618,no_noise,horizontal
6,3,245,1,250,no_noise,vertical
6,3,246,2,852,no_noise,horizontal
6,3,247,1,202,no_noise,vertical
6,3,248,2,216,no_noise,vertical
6,3,249,2,391,noise,vertical
6,3,250,1,206,no_noise,vertical
6,3,251,1,970,no_noise,horizontal
6,3,252,1,129,noise,vertical
6,3,253,2,567,noise,horizontal
6,3,254,2,260,no_noise,vertical
6,3,255,2,159,noise,vertical
6,3,256,2,160,no_noise,vertical
6,3,257,1,309,noise,vertical
6,3,258,1,86,no_noise,vertical
6,3,259,1,473,noise,vertical
6,3,260,2,244,no_noise,vertical
6,3,261,1,165,noise,vertical
6,3,262,2,619,noise,horizontal
6,3,263,1,777,noise,horizontal
6,3,264,1,302,no_noise,vertical
6,3,265,2,904,no_noise,horizontal
6,3,266,2,256,no_noise,vertical
6,3,267,2,204,no_noise,vertical
6,3,268,2,752,no_noise,horizontal
6,3,269,2,212,no_noise,vertical
6,3,270,1,218,no_noise,vertical
6,3,271,1,581,noise,horizontal
6,3,272,2,40,no_noise,vertical
6,3,273,2,515,noise,horizontal
6,3,274,1,782,no_noise,horizontal
6,3,275,2,271,noise,vertical
6,3,276,2,820,no_noise,horizontal
6,3,277,2,919,noise,horizontal
6,3,278,2,264,no_noise,vertical
6,3,279,2,964,no_noise,horizontal
6,3,280,1,374,no_noise,vertical
6,3,281,2,467,noise,vertical
6,3,282,2,176,no_noise,vertical
6,3,283,2,771,noise,horizontal
6,3,284,2,279,noise,vertical
6,3,285,2,196,no_noise,vertical
6,3,286,2,843,noise,horizontal
6,3,287,1,369,noise,vertical
6,3,288,1,306,no_noise,vertical
6,3,289,2,396,no_noise,vertical
6,3,290,1,313,noise,vertical
6,3,291,1,241,noise,vertical
6,3,292,2,303,noise,vertical
6,3,293,1,621,noise,horizontal
6,3,294,1,997,noise,horizontal
6,3,295,1,114,no_noise,vertical
6,3,296,2,984,no_noise,horizontal
6,3,297,2,992,no_noise,horizontal
6,3,298,1,818,no_noise,horizontal
6,3,299,1,209,noise,vertical
6,3,300,2,587,noise,horizontal
