prot_id,prot_subset,trial_id,line_orientation,trajectory_id,no_targets,noise_present
9,7,601,horizontal,999,2,noise
9,7,602,horizontal,883,2,noise
9,7,603,horizontal,609,1,noise
9,7,604,vertical,345,1,noise
9,7,605,horizontal,682,1,no_noise
9,7,606,horizontal,772,2,no_noise
9,7,607,horizontal,549,1,noise
9,7,608,vertical,475,2,noise
9,7,609,horizontal,622,1,no_noise
9,7,610,vertical,6,1,no_noise
9,7,611,vertical,362,1,no_noise
9,7,612,vertical,245,1,noise
9,7,613,horizontal,806,1,no_noise
9,7,614,horizontal,942,1,no_noise
9,7,615,vertical,477,1,noise
9,7,616,horizontal,900,2,no_noise
9,7,617,horizontal,725,1,noise
9,7,618,vertical,139,2,noise
9,7,619,vertical,376,2,no_noise
9,7,620,vertical,430,1,no_noise
9,7,621,horizontal,809,1,noise
9,7,622,horizontal,896,2,no_noise
9,7,623,horizontal,849,1,noise
9,7,624,vertical,173,1,noise
9,7,625,vertical,380,2,no_noise
9,7,626,horizontal,843,2,noise
9,7,627,horizontal,832,2,no_noise
9,7,628,horizontal,612,2,no_noise
9,7,629,horizontal,873,1,noise
9,7,630,vertical,230,1,no_noise
9,7,631,horizontal,774,1,no_noise
9,7,632,horizontal,610,1,no_noise
9,7,633,horizontal,712,2,no_noise
9,7,634,horizontal,841,1,noise
9,7,635,horizontal,897,1,noise
9,7,636,horizontal,527,2,noise
9,7,637,vertical,5,1,noise
9,7,638,vertical,383,2,noise
9,7,639,horizontal,620,2,no_noise
9,7,640,horizontal,556,2,no_noise
9,7,641,horizontal,797,1,noise
9,7,642,horizontal,818,1,no_noise
9,7,643,vertical,57,1,noise
9,7,644,vertical,301,1,noise
9,7,645,horizontal,780,2,no_noise
9,7,646,horizontal,861,1,noise
9,7,647,horizontal,871,2,noise
9,7,648,vertical,147,2,noise
9,7,649,vertical,118,1,no_noise
9,7,650,horizontal,865,1,noise
9,7,651,horizontal,828,2,no_noise
9,7,652,vertical,353,1,noise
9,7,653,vertical,351,2,noise
9,7,654,horizontal,993,1,noise
9,7,655,horizontal,515,2,noise
9,7,656,vertical,152,2,no_noise
9,7,657,vertical,47,2,noise
9,7,658,horizontal,848,2,no_noise
9,7,659,vertical,453,1,noise
9,7,660,vertical,416,2,no_noise
9,7,661,vertical,482,1,no_noise
9,7,662,vertical,77,1,noise
9,7,663,vertical,171,2,noise
9,7,664,horizontal,812,2,no_noise
9,7,665,horizontal,563,2,noise
9,7,666,horizontal,912,2,no_noise
9,7,667,horizontal,528,2,no_noise
9,7,668,vertical,464,2,no_noise
9,7,669,horizontal,949,1,noise
9,7,670,horizontal,591,2,noise
9,7,671,horizontal,718,1,no_noise
9,7,672,horizontal,691,2,noise
9,7,673,horizontal,814,1,no_noise
9,7,674,vertical,56,2,no_noise
9,7,675,horizontal,524,2,no_noise
9,7,676,vertical,311,2,noise
9,7,677,vertical,169,1,noise
9,7,678,horizontal,893,1,noise
9,7,679,vertical,166,1,no_noise
9,7,680,vertical,248,2,no_noise
9,7,681,vertical,286,1,no_noise
9,7,682,horizontal,910,1,no_noise
9,7,683,horizontal,552,2,no_noise
9,7,684,vertical,185,1,noise
9,7,685,horizontal,565,1,noise
9,7,686,vertical,462,1,no_noise
9,7,687,vertical,209,1,noise
9,7,688,vertical,304,2,no_noise
9,7,689,horizontal,651,2,noise
9,7,690,vertical,407,2,noise
9,7,691,vertical,316,2,no_noise
9,7,692,horizontal,658,1,no_noise
9,7,693,horizontal,792,2,no_noise
9,7,694,horizontal,513,1,noise
9,7,695,horizontal,773,1,noise
9,7,696,horizontal,572,2,no_noise
9,7,697,vertical,390,1,no_noise
9,7,698,vertical,440,2,no_noise
9,7,699,horizontal,894,1,no_noise
9,7,700,horizontal,908,2,no_noise
