prot_id,prot_subset,trial_id,noise_present,line_orientation,no_targets,trajectory_id
1,4,301,no_noise,vertical,1,426
1,4,302,no_noise,horizontal,2,516
1,4,303,no_noise,horizontal,1,914
1,4,304,no_noise,vertical,2,84
1,4,305,noise,horizontal,2,979
1,4,306,no_noise,horizontal,2,556
1,4,307,noise,vertical,2,479
1,4,308,noise,horizontal,2,923
1,4,309,noise,vertical,2,347
1,4,310,noise,vertical,2,327
1,4,311,noise,vertical,2,483
1,4,312,no_noise,horizontal,2,884
1,4,313,no_noise,vertical,1,454
1,4,314,noise,vertical,2,115
1,4,315,noise,vertical,1,321
1,4,316,no_noise,horizontal,2,756
1,4,317,noise,vertical,2,291
1,4,318,noise,horizontal,1,593
1,4,319,no_noise,vertical,2,296
1,4,320,no_noise,vertical,1,230
1,4,321,noise,vertical,1,301
1,4,322,noise,horizontal,1,613
1,4,323,noise,horizontal,1,645
1,4,324,no_noise,horizontal,2,864
1,4,325,noise,vertical,1,241
1,4,326,noise,horizontal,2,715
1,4,327,noise,horizontal,2,935
1,4,328,noise,vertical,1,37
1,4,329,noise,horizontal,1,853
1,4,330,no_noise,vertical,2,400
1,4,331,noise,horizontal,2,955
1,4,332,noise,horizontal,1,937
1,4,333,no_noise,vertical,2,80
1,4,334,no_noise,vertical,1,98
1,4,335,no_noise,vertical,1,34
1,4,336,no_noise,horizontal,1,738
1,4,337,noise,vertical,2,179
1,4,338,no_noise,horizontal,2,936
1,4,339,noise,horizontal,2,699
1,4,340,noise,vertical,2,119
1,4,341,no_noise,horizontal,2,712
1,4,342,no_noise,horizontal,2,616
1,4,343,noise,vertical,1,469
1,4,344,no_noise,vertical,1,362
1,4,345,no_noise,horizontal,1,922
1,4,346,no_noise,vertical,2,100
1,4,347,no_noise,horizontal,1,798
1,4,348,noise,vertical,1,401
1,4,349,no_noise,vertical,2,408
1,4,350,no_noise,vertical,2,152
1,4,351,noise,horizontal,2,859
1,4,352,noise,horizontal,1,989
1,4,353,noise,horizontal,1,729
1,4,354,no_noise,vertical,1,342
1,4,355,noise,horizontal,2,887
1,4,356,no_noise,vertical,1,110
1,4,357,noise,vertical,2,15
1,4,358,noise,horizontal,1,633
1,4,359,no_noise,vertical,2,368
1,4,360,noise,horizontal,1,821
1,4,361,noise,vertical,2,407
1,4,362,noise,vertical,1,465
1,4,363,noise,horizontal,2,727
1,4,364,noise,vertical,2,35
1,4,365,noise,horizontal,1,669
1,4,366,noise,horizontal,2,675
1,4,367,no_noise,vertical,2,20
1,4,368,no_noise,vertical,2,424
1,4,369,no_noise,horizontal,2,900
1,4,370,noise,vertical,1,421
1,4,371,no_noise,vertical,2,468
1,4,372,no_noise,vertical,2,416
1,4,373,noise,horizontal,1,721
1,4,374,no_noise,horizontal,2,532
1,4,375,noise,vertical,1,441
1,4,376,noise,horizontal,2,747
1,4,377,no_noise,horizontal,1,570
1,4,378,no_noise,vertical,2,208
1,4,379,no_noise,horizontal,2,672
1,4,380,no_noise,horizontal,1,986
1,4,381,no_noise,horizontal,1,638
1,4,382,no_noise,vertical,2,388
1,4,383,no_noise,vertical,1,126
1,4,384,noise,vertical,2,403
1,4,385,no_noise,horizontal,2,648
1,4,386,noise,vertical,2,319
1,4,387,noise,vertical,2,263
1,4,388,no_noise,vertical,1,498
1,4,389,no_noise,horizontal,2,796
1,4,390,no_noise,vertical,2,52
1,4,391,noise,vertical,2,335
1,4,392,no_noise,vertical,2,104
1,4,393,no_noise,vertical,2,112
1,4,394,noise,vertical,1,305
1,4,395,no_noise,vertical,1,14
1,4,396,noise,horizontal,2,827
1,4,397,no_noise,horizontal,2,868
1,4,398,no_noise,horizontal,1,1002
1,4,399,no_noise,vertical,1,406
1,4,400,noise,horizontal,1,677
