prot_id,prot_subset,trial_id,noise_present,trajectory_id,line_orientation,no_targets
4,1,1,no_noise,994,horizontal,1
4,1,2,no_noise,106,vertical,1
4,1,3,no_noise,696,horizontal,2
4,1,4,noise,819,horizontal,2
4,1,5,noise,825,horizontal,1
4,1,6,no_noise,688,horizontal,2
4,1,7,noise,805,horizontal,1
4,1,8,noise,671,horizontal,2
4,1,9,noise,769,horizontal,1
4,1,10,noise,331,vertical,2
4,1,11,no_noise,392,vertical,2
4,1,12,no_noise,980,horizontal,2
4,1,13,no_noise,448,vertical,2
4,1,14,no_noise,214,vertical,1
4,1,15,no_noise,674,horizontal,1
4,1,16,noise,405,vertical,1
4,1,17,no_noise,964,horizontal,2
4,1,18,no_noise,678,horizontal,1
4,1,19,noise,681,horizontal,1
4,1,20,no_noise,686,horizontal,1
4,1,21,no_noise,166,vertical,1
4,1,22,no_noise,946,horizontal,1
4,1,23,no_noise,642,horizontal,1
4,1,24,no_noise,826,horizontal,1
4,1,25,noise,617,horizontal,1
4,1,26,no_noise,374,vertical,1
4,1,27,no_noise,476,vertical,2
4,1,28,no_noise,768,horizontal,2
4,1,29,no_noise,510,horizontal,1
4,1,30,no_noise,988,horizontal,2
4,1,31,noise,473,vertical,1
4,1,32,noise,987,horizontal,2
4,1,33,noise,851,horizontal,2
4,1,34,no_noise,418,vertical,1
4,1,35,no_noise,912,horizontal,2
4,1,36,noise,481,vertical,1
4,1,37,no_noise,746,horizontal,1
4,1,38,no_noise,996,horizontal,2
4,1,39,noise,703,horizontal,2
4,1,40,noise,893,horizontal,1
4,1,41,no_noise,338,vertical,1
4,1,42,no_noise,136,vertical,2
4,1,43,no_noise,1000,horizontal,2
4,1,44,no_noise,30,vertical,1
4,1,45,no_noise,954,horizontal,1
4,1,46,no_noise,112,vertical,2
4,1,47,no_noise,684,horizontal,2
4,1,48,noise,129,vertical,1
4,1,49,noise,341,vertical,1
4,1,50,no_noise,14,vertical,1
4,1,51,noise,439,vertical,2
4,1,52,no_noise,986,horizontal,1
4,1,53,noise,257,vertical,1
4,1,54,no_noise,318,vertical,1
4,1,55,noise,69,vertical,1
4,1,56,no_noise,918,horizontal,1
4,1,57,noise,717,horizontal,1
4,1,58,noise,337,vertical,1
4,1,59,noise,599,horizontal,2
4,1,60,no_noise,234,vertical,1
4,1,61,no_noise,860,horizontal,2
4,1,62,noise,881,horizontal,1
4,1,63,no_noise,668,horizontal,2
4,1,64,noise,203,vertical,2
4,1,65,noise,969,horizontal,1
4,1,66,no_noise,292,vertical,2
4,1,67,no_noise,692,horizontal,2
4,1,68,noise,25,vertical,1
4,1,69,no_noise,188,vertical,2
4,1,70,no_noise,420,vertical,2
4,1,71,noise,985,horizontal,1
4,1,72,no_noise,368,vertical,2
4,1,73,noise,427,vertical,2
4,1,74,no_noise,40,vertical,2
4,1,75,noise,303,vertical,2
4,1,76,no_noise,554,horizontal,1
4,1,77,noise,359,vertical,2
4,1,78,noise,103,vertical,2
4,1,79,noise,525,horizontal,1
4,1,80,noise,813,horizontal,1
4,1,81,noise,823,horizontal,2
4,1,82,no_noise,8,vertical,2
4,1,83,no_noise,972,horizontal,2
4,1,84,no_noise,22,vertical,1
4,1,85,no_noise,170,vertical,1
4,1,86,noise,295,vertical,2
4,1,87,no_noise,378,vertical,1
4,1,88,noise,225,vertical,1
4,1,89,noise,607,horizontal,2
4,1,90,no_noise,462,vertical,1
4,1,91,no_noise,626,horizontal,1
4,1,92,no_noise,842,horizontal,1
4,1,93,noise,575,horizontal,2
4,1,94,no_noise,230,vertical,1
4,1,95,no_noise,984,horizontal,2
4,1,96,no_noise,204,vertical,2
4,1,97,no_noise,90,vertical,1
4,1,98,no_noise,602,horizontal,1
4,1,99,noise,513,horizontal,1
4,1,100,no_noise,620,horizontal,2
