prot_id,prot_subset,trial_id,no_targets,noise_present,trajectory_id
3,8,701,4,noise,80
3,8,702,1,noise,41
3,8,703,4,no_noise,210
3,8,704,4,noise,663
3,8,705,1,no_noise,16
3,8,706,4,noise,800
3,8,707,1,no_noise,872
3,8,708,4,noise,262
3,8,709,1,no_noise,273
3,8,710,1,noise,906
3,8,711,1,no_noise,479
3,8,712,4,no_noise,151
3,8,713,1,noise,30
3,8,714,4,noise,958
3,8,715,1,noise,813
3,8,716,4,noise,195
3,8,717,4,noise,455
3,8,718,1,noise,339
3,8,719,4,noise,947
3,8,720,4,no_noise,909
3,8,721,1,noise,515
3,8,722,1,no_noise,582
3,8,723,4,no_noise,509
3,8,724,4,noise,560
3,8,725,4,no_noise,866
3,8,726,1,noise,799
3,8,727,1,no_noise,14
3,8,728,4,no_noise,772
3,8,729,4,no_noise,584
3,8,730,4,no_noise,204
3,8,731,4,no_noise,149
3,8,732,4,no_noise,919
3,8,733,1,no_noise,102
3,8,734,4,no_noise,561
3,8,735,4,noise,153
3,8,736,4,no_noise,301
3,8,737,1,noise,852
3,8,738,1,no_noise,312
3,8,739,1,noise,131
3,8,740,4,no_noise,310
3,8,741,4,no_noise,629
3,8,742,1,no_noise,622
3,8,743,4,noise,63
3,8,744,1,no_noise,265
3,8,745,4,no_noise,347
3,8,746,4,noise,220
3,8,747,1,noise,725
3,8,748,4,no_noise,925
3,8,749,1,noise,511
3,8,750,1,noise,259
3,8,751,4,noise,483
3,8,752,1,no_noise,150
3,8,753,4,no_noise,181
3,8,754,4,no_noise,596
3,8,755,4,no_noise,225
3,8,756,1,no_noise,419
3,8,757,1,no_noise,459
3,8,758,1,no_noise,1
3,8,759,4,noise,713
3,8,760,1,noise,542
3,8,761,1,noise,43
3,8,762,1,noise,986
3,8,763,4,noise,160
3,8,764,4,noise,525
3,8,765,1,no_noise,429
3,8,766,4,noise,809
3,8,767,1,noise,959
3,8,768,1,noise,974
3,8,769,4,no_noise,351
3,8,770,4,no_noise,889
3,8,771,1,no_noise,675
3,8,772,1,no_noise,721
3,8,773,1,no_noise,944
3,8,774,1,no_noise,369
3,8,775,1,noise,432
3,8,776,4,no_noise,338
3,8,777,4,no_noise,206
3,8,778,1,no_noise,837
3,8,779,1,noise,839
3,8,780,4,noise,445
3,8,781,1,noise,704
3,8,782,4,no_noise,390
3,8,783,4,noise,668
3,8,784,1,no_noise,294
3,8,785,4,no_noise,843
3,8,786,4,noise,873
3,8,787,1,no_noise,987
3,8,788,4,noise,285
3,8,789,1,noise,391
3,8,790,4,noise,18
3,8,791,4,noise,276
3,8,792,4,no_noise,534
3,8,793,1,noise,433
3,8,794,1,noise,673
3,8,795,1,no_noise,677
3,8,796,4,no_noise,572
3,8,797,1,no_noise,907
3,8,798,1,no_noise,885
3,8,799,4,no_noise,810
3,8,800,1,noise,362
