prot_id,prot_subset,trial_id,no_targets,noise_present,trajectory_id
3,5,401,1,noise,64
3,5,402,1,noise,427
3,5,403,1,noise,965
3,5,404,1,no_noise,583
3,5,405,1,no_noise,695
3,5,406,4,noise,746
3,5,407,4,no_noise,274
3,5,408,4,noise,716
3,5,409,4,no_noise,620
3,5,410,1,noise,642
3,5,411,4,no_noise,588
3,5,412,1,noise,346
3,5,413,4,noise,71
3,5,414,4,no_noise,29
3,5,415,1,noise,887
3,5,416,1,no_noise,597
3,5,417,4,no_noise,557
3,5,418,4,no_noise,500
3,5,419,4,noise,191
3,5,420,4,no_noise,870
3,5,421,1,no_noise,741
3,5,422,4,no_noise,193
3,5,423,4,noise,664
3,5,424,4,no_noise,991
3,5,425,1,noise,877
3,5,426,1,no_noise,607
3,5,427,4,noise,723
3,5,428,1,no_noise,562
3,5,429,1,noise,812
3,5,430,1,no_noise,96
3,5,431,1,no_noise,203
3,5,432,1,no_noise,744
3,5,433,1,noise,486
3,5,434,1,no_noise,691
3,5,435,1,noise,776
3,5,436,1,no_noise,627
3,5,437,4,no_noise,682
3,5,438,4,noise,590
3,5,439,4,noise,449
3,5,440,1,noise,727
3,5,441,1,noise,851
3,5,442,4,noise,376
3,5,443,4,no_noise,496
3,5,444,1,no_noise,757
3,5,445,1,no_noise,410
3,5,446,1,noise,86
3,5,447,4,noise,556
3,5,448,1,no_noise,21
3,5,449,4,no_noise,593
3,5,450,4,noise,425
3,5,451,1,no_noise,936
3,5,452,4,noise,626
3,5,453,4,no_noise,775
3,5,454,1,no_noise,236
3,5,455,1,noise,661
3,5,456,4,no_noise,898
3,5,457,4,no_noise,833
3,5,458,4,noise,565
3,5,459,1,no_noise,990
3,5,460,4,no_noise,416
3,5,461,4,no_noise,883
3,5,462,4,no_noise,423
3,5,463,1,no_noise,574
3,5,464,4,no_noise,978
3,5,465,1,no_noise,994
3,5,466,1,noise,184
3,5,467,4,no_noise,489
3,5,468,1,no_noise,327
3,5,469,4,noise,836
3,5,470,1,no_noise,996
3,5,471,4,no_noise,546
3,5,472,4,noise,547
3,5,473,4,noise,526
3,5,474,4,noise,53
3,5,475,4,no_noise,742
3,5,476,4,noise,818
3,5,477,1,no_noise,948
3,5,478,1,noise,527
3,5,479,4,no_noise,435
3,5,480,1,noise,505
3,5,481,1,no_noise,145
3,5,482,4,no_noise,413
3,5,483,1,no_noise,781
3,5,484,1,no_noise,400
3,5,485,1,noise,623
3,5,486,4,no_noise,306
3,5,487,4,noise,290
3,5,488,1,noise,903
3,5,489,1,noise,796
3,5,490,1,noise,196
3,5,491,4,noise,830
3,5,492,1,noise,943
3,5,493,4,noise,712
3,5,494,4,noise,665
3,5,495,1,noise,798
3,5,496,1,noise,170
3,5,497,1,noise,87
3,5,498,4,no_noise,854
3,5,499,1,noise,190
3,5,500,1,noise,674
