prot_id,trial_id,no_targets,noise,trajectory_id,cage_indicated
3,1,1,no_noise,134,3
3,2,2,no_noise,118,4
3,3,1,noise,5,2
3,4,1,noise,87,1
3,5,4,noise,14,4
3,6,1,noise,106,1
3,7,2,noise,125,4
3,8,4,no_noise,108,2
3,9,1,noise,166,3
3,10,1,no_noise,121,3
3,11,4,no_noise,4,3
3,12,1,no_noise,171,2
3,13,2,noise,100,3
3,14,4,no_noise,112,2
3,15,4,noise,34,1
3,16,4,noise,71,3
3,17,1,no_noise,129,1
3,18,4,noise,102,2
3,19,4,no_noise,139,2
3,20,4,no_noise,94,3
3,21,4,no_noise,133,2
3,22,1,no_noise,77,1
3,23,2,noise,9,4
3,24,1,noise,11,1
3,25,2,noise,26,1
3,26,4,no_noise,80,4
3,27,1,no_noise,54,1
3,28,4,no_noise,114,3
3,29,4,no_noise,85,4
3,30,2,no_noise,168,1
3,31,2,no_noise,3,3
3,32,1,no_noise,8,2
3,33,2,noise,64,2
3,34,2,no_noise,35,2
3,35,2,no_noise,13,4
3,36,4,no_noise,61,3
3,37,2,no_noise,150,1
3,38,4,noise,159,2
3,39,4,noise,89,3
3,40,2,no_noise,42,1
3,41,2,no_noise,55,2
3,42,1,noise,162,3
3,43,2,no_noise,96,3
3,44,4,no_noise,31,1
3,45,1,no_noise,120,4
3,46,2,no_noise,180,2
3,47,2,no_noise,68,3
3,48,1,noise,41,2
3,49,2,noise,144,3
3,50,4,noise,21,1
3,51,1,noise,161,2
3,52,2,noise,76,4
3,53,2,no_noise,83,1
3,54,1,no_noise,39,1
3,55,2,no_noise,147,1
3,56,2,noise,22,3
3,57,4,no_noise,173,4
3,58,1,no_noise,99,1
3,59,2,noise,117,1
3,60,1,no_noise,44,3
3,61,2,no_noise,155,1
3,62,4,noise,32,3
3,63,2,noise,158,4
3,64,2,noise,170,2
3,65,4,noise,104,1
3,66,2,noise,19,2
3,67,1,noise,79,4
3,68,1,no_noise,98,4
3,69,4,no_noise,95,3
3,70,2,no_noise,107,4
3,71,2,noise,153,4
3,72,1,noise,29,4
3,73,4,noise,33,3
3,74,2,noise,127,3
3,75,1,noise,132,1
3,76,4,noise,65,3
3,77,4,no_noise,128,1
3,78,4,no_noise,167,4
3,79,4,noise,48,4
3,80,4,noise,109,2
3,81,2,noise,137,1
3,82,1,no_noise,169,2
3,83,4,no_noise,131,1
3,84,1,noise,124,3
3,85,2,noise,90,4
3,86,4,no_noise,66,1
3,87,4,no_noise,69,4
3,88,1,noise,20,2
3,89,1,noise,10,2
3,90,2,noise,7,4
3,91,1,no_noise,130,2
3,92,1,no_noise,92,4
3,93,1,no_noise,28,3
3,94,2,noise,18,4
3,95,2,no_noise,142,2
3,96,2,noise,105,2
3,97,1,no_noise,163,1
3,98,2,no_noise,36,1
3,99,1,noise,51,3
3,100,1,noise,40,2
3,101,2,noise,91,2
3,102,2,no_noise,6,2
3,103,1,noise,2,3
3,104,2,noise,78,1
3,105,2,noise,57,4
3,106,1,no_noise,47,1
3,107,4,no_noise,97,3
3,108,2,noise,45,1
3,109,1,no_noise,81,3
3,110,4,noise,27,2
3,111,4,noise,67,4
3,112,2,no_noise,70,1
3,113,4,noise,56,4
3,114,4,noise,103,3
3,115,4,no_noise,46,1
3,116,4,noise,101,3
3,117,2,no_noise,157,2
3,118,1,noise,1,3
3,119,1,no_noise,165,4
3,120,2,noise,23,1
3,121,2,no_noise,82,4
3,122,4,no_noise,113,2
3,123,1,no_noise,110,3
3,124,2,no_noise,58,2
3,125,2,no_noise,122,4
3,126,4,no_noise,60,2
3,127,1,noise,135,1
3,128,1,noise,136,4
3,129,1,noise,15,4
3,130,4,noise,164,1
3,131,2,noise,93,4
3,132,2,no_noise,86,2
3,133,4,noise,43,2
3,134,1,no_noise,143,3
3,135,4,noise,160,2
3,136,1,no_noise,175,1
3,137,1,no_noise,25,3
3,138,1,no_noise,111,4
3,139,2,no_noise,115,4
3,140,2,no_noise,152,4
3,141,1,noise,177,4
3,142,2,no_noise,37,1
3,143,4,noise,88,3
3,144,4,noise,38,2
3,145,4,noise,75,2
3,146,1,noise,72,1
3,147,4,noise,59,4
3,148,2,noise,30,1
3,149,1,noise,156,4
3,150,2,no_noise,17,4
3,151,4,no_noise,50,4
3,152,1,noise,138,2
3,153,2,noise,149,2
3,154,1,noise,52,3
3,155,1,no_noise,73,3
3,156,4,noise,16,3
3,157,4,no_noise,49,3
3,158,4,no_noise,146,4
3,159,2,no_noise,12,1
3,160,2,noise,141,3
3,161,4,no_noise,84,1
3,162,4,noise,174,3
3,163,4,noise,126,3
3,164,1,noise,53,2
3,165,1,no_noise,179,2
3,166,4,no_noise,119,2
3,167,4,no_noise,178,1
3,168,2,noise,74,4
3,169,1,no_noise,62,2
3,170,1,no_noise,145,3
3,171,4,no_noise,172,4
3,172,4,no_noise,154,1
3,173,1,no_noise,123,1
3,174,1,noise,116,2
3,175,4,noise,151,4
3,176,4,noise,140,3
3,177,1,noise,176,2
3,178,2,no_noise,63,1
3,179,2,noise,24,3
3,180,1,noise,148,4
