prot_id,prot_subset,trial_id,no_targets,noise_present,trajectory_id
1,8,701,4,no_noise,235
1,8,702,4,noise,793
1,8,703,1,no_noise,438
1,8,704,4,noise,455
1,8,705,1,noise,472
1,8,706,1,no_noise,485
1,8,707,4,noise,7
1,8,708,4,no_noise,610
1,8,709,1,noise,13
1,8,710,1,no_noise,741
1,8,711,1,noise,393
1,8,712,4,no_noise,442
1,8,713,4,no_noise,387
1,8,714,1,no_noise,594
1,8,715,1,noise,723
1,8,716,1,no_noise,939
1,8,717,4,no_noise,247
1,8,718,1,no_noise,670
1,8,719,1,noise,34
1,8,720,1,noise,517
1,8,721,1,noise,342
1,8,722,1,noise,575
1,8,723,4,no_noise,665
1,8,724,4,noise,806
1,8,725,1,no_noise,739
1,8,726,1,no_noise,194
1,8,727,4,noise,149
1,8,728,1,noise,762
1,8,729,1,no_noise,688
1,8,730,1,no_noise,429
1,8,731,1,no_noise,260
1,8,732,4,no_noise,691
1,8,733,4,noise,840
1,8,734,4,noise,460
1,8,735,4,noise,945
1,8,736,1,no_noise,727
1,8,737,4,no_noise,876
1,8,738,1,noise,176
1,8,739,1,noise,574
1,8,740,1,noise,491
1,8,741,4,no_noise,925
1,8,742,4,no_noise,784
1,8,743,4,no_noise,427
1,8,744,4,no_noise,410
1,8,745,4,noise,466
1,8,746,4,noise,25
1,8,747,1,no_noise,500
1,8,748,1,no_noise,742
1,8,749,1,no_noise,964
1,8,750,4,no_noise,399
1,8,751,4,noise,1000
1,8,752,4,noise,935
1,8,753,4,noise,623
1,8,754,1,no_noise,490
1,8,755,1,noise,170
1,8,756,4,no_noise,873
1,8,757,1,no_noise,15
1,8,758,4,no_noise,859
1,8,759,1,no_noise,644
1,8,760,4,noise,984
1,8,761,1,noise,313
1,8,762,1,noise,794
1,8,763,4,noise,891
1,8,764,4,no_noise,206
1,8,765,4,noise,488
1,8,766,4,noise,509
1,8,767,1,noise,478
1,8,768,4,no_noise,725
1,8,769,4,no_noise,88
1,8,770,1,noise,826
1,8,771,1,no_noise,692
1,8,772,1,noise,557
1,8,773,4,no_noise,244
1,8,774,4,noise,218
1,8,775,4,no_noise,87
1,8,776,1,noise,301
1,8,777,4,noise,315
1,8,778,1,no_noise,970
1,8,779,1,no_noise,527
1,8,780,1,no_noise,915
1,8,781,1,no_noise,134
1,8,782,1,noise,747
1,8,783,1,noise,265
1,8,784,4,noise,250
1,8,785,4,noise,8
1,8,786,1,no_noise,336
1,8,787,4,no_noise,388
1,8,788,4,noise,109
1,8,789,1,no_noise,286
1,8,790,1,no_noise,409
1,8,791,4,noise,476
1,8,792,1,noise,518
1,8,793,4,noise,338
1,8,794,1,no_noise,615
1,8,795,1,no_noise,777
1,8,796,1,noise,749
1,8,797,4,no_noise,375
1,8,798,1,noise,257
1,8,799,1,noise,157
1,8,800,1,no_noise,357
