prot_id,prot_subset,trial_id,no_targets,noise_present,trajectory_id
2,6,501,4,noise,820
2,6,502,4,no_noise,330
2,6,503,4,no_noise,293
2,6,504,1,noise,187
2,6,505,4,noise,763
2,6,506,4,no_noise,842
2,6,507,4,noise,912
2,6,508,1,no_noise,683
2,6,509,1,no_noise,148
2,6,510,1,no_noise,625
2,6,511,4,noise,386
2,6,512,1,no_noise,46
2,6,513,1,no_noise,100
2,6,514,1,noise,97
2,6,515,1,noise,850
2,6,516,4,no_noise,995
2,6,517,1,noise,685
2,6,518,4,noise,134
2,6,519,4,no_noise,437
2,6,520,1,noise,215
2,6,521,1,noise,434
2,6,522,4,no_noise,557
2,6,523,4,no_noise,247
2,6,524,4,no_noise,322
2,6,525,4,no_noise,920
2,6,526,1,no_noise,716
2,6,527,1,noise,945
2,6,528,4,noise,572
2,6,529,1,no_noise,595
2,6,530,1,no_noise,279
2,6,531,4,no_noise,507
2,6,532,1,noise,922
2,6,533,1,noise,61
2,6,534,4,no_noise,596
2,6,535,4,no_noise,958
2,6,536,1,noise,252
2,6,537,4,noise,879
2,6,538,1,no_noise,870
2,6,539,1,noise,363
2,6,540,1,no_noise,161
2,6,541,4,no_noise,394
2,6,542,4,noise,724
2,6,543,1,no_noise,501
2,6,544,1,no_noise,58
2,6,545,4,noise,764
2,6,546,1,noise,367
2,6,547,4,noise,63
2,6,548,1,noise,402
2,6,549,4,no_noise,631
2,6,550,4,no_noise,446
2,6,551,1,no_noise,568
2,6,552,4,no_noise,853
2,6,553,4,no_noise,298
2,6,554,1,noise,924
2,6,555,4,noise,96
2,6,556,4,noise,674
2,6,557,4,noise,702
2,6,558,1,no_noise,553
2,6,559,4,no_noise,664
2,6,560,1,noise,874
2,6,561,1,no_noise,83
2,6,562,4,noise,40
2,6,563,1,noise,92
2,6,564,1,no_noise,959
2,6,565,1,no_noise,481
2,6,566,1,no_noise,829
2,6,567,1,no_noise,304
2,6,568,4,noise,984
2,6,569,1,noise,888
2,6,570,4,noise,795
2,6,571,4,noise,484
2,6,572,4,no_noise,342
2,6,573,4,noise,718
2,6,574,1,no_noise,941
2,6,575,4,no_noise,993
2,6,576,4,noise,869
2,6,577,4,noise,511
2,6,578,4,no_noise,713
2,6,579,4,no_noise,600
2,6,580,4,no_noise,44
2,6,581,4,no_noise,914
2,6,582,1,noise,326
2,6,583,4,no_noise,669
2,6,584,4,no_noise,915
2,6,585,4,noise,949
2,6,586,4,noise,186
2,6,587,1,noise,51
2,6,588,1,no_noise,9
2,6,589,1,no_noise,28
2,6,590,1,noise,868
2,6,591,1,no_noise,306
2,6,592,4,no_noise,976
2,6,593,1,no_noise,608
2,6,594,4,noise,218
2,6,595,1,noise,893
2,6,596,1,noise,538
2,6,597,1,noise,909
2,6,598,1,noise,313
2,6,599,4,no_noise,773
2,6,600,4,noise,453
