prot_id,prot_subset,trial_id,no_targets,noise_present,trajectory_id
8,1,1,4,no_noise,779
8,1,2,1,noise,708
8,1,3,1,no_noise,285
8,1,4,4,no_noise,382
8,1,5,1,no_noise,151
8,1,6,4,noise,761
8,1,7,4,noise,876
8,1,8,4,noise,990
8,1,9,4,noise,817
8,1,10,1,noise,648
8,1,11,4,no_noise,647
8,1,12,1,noise,241
8,1,13,1,no_noise,90
8,1,14,4,noise,971
8,1,15,4,noise,633
8,1,16,1,noise,504
8,1,17,4,noise,393
8,1,18,4,noise,744
8,1,19,4,no_noise,959
8,1,20,1,no_noise,782
8,1,21,4,no_noise,598
8,1,22,4,noise,556
8,1,23,4,no_noise,183
8,1,24,1,no_noise,560
8,1,25,4,no_noise,392
8,1,26,1,no_noise,597
8,1,27,4,noise,436
8,1,28,1,no_noise,137
8,1,29,1,no_noise,262
8,1,30,1,no_noise,356
8,1,31,4,noise,903
8,1,32,1,noise,290
8,1,33,4,noise,191
8,1,34,1,no_noise,455
8,1,35,4,no_noise,796
8,1,36,4,noise,68
8,1,37,4,no_noise,871
8,1,38,1,noise,162
8,1,39,1,noise,574
8,1,40,1,noise,897
8,1,41,1,noise,516
8,1,42,4,noise,202
8,1,43,4,noise,576
8,1,44,4,no_noise,445
8,1,45,4,noise,75
8,1,46,1,noise,296
8,1,47,1,noise,623
8,1,48,4,noise,41
8,1,49,1,noise,823
8,1,50,1,noise,435
8,1,51,1,no_noise,244
8,1,52,4,noise,499
8,1,53,1,no_noise,51
8,1,54,4,noise,791
8,1,55,1,noise,649
8,1,56,1,noise,395
8,1,57,4,noise,215
8,1,58,4,no_noise,838
8,1,59,4,no_noise,287
8,1,60,1,noise,232
8,1,61,1,noise,189
8,1,62,4,no_noise,899
8,1,63,4,no_noise,381
8,1,64,4,noise,913
8,1,65,4,no_noise,687
8,1,66,4,noise,95
8,1,67,4,no_noise,983
8,1,68,4,no_noise,450
8,1,69,1,noise,984
8,1,70,4,no_noise,632
8,1,71,4,no_noise,749
8,1,72,4,noise,591
8,1,73,4,noise,493
8,1,74,1,no_noise,364
8,1,75,4,no_noise,952
8,1,76,1,noise,965
8,1,77,1,no_noise,414
8,1,78,4,no_noise,40
8,1,79,1,noise,717
8,1,80,1,noise,52
8,1,81,4,noise,245
8,1,82,1,no_noise,626
8,1,83,1,no_noise,812
8,1,84,1,noise,953
8,1,85,1,no_noise,109
8,1,86,4,no_noise,884
8,1,87,1,noise,935
8,1,88,4,no_noise,610
8,1,89,1,noise,780
8,1,90,1,no_noise,880
8,1,91,1,no_noise,209
8,1,92,1,noise,497
8,1,93,1,noise,203
8,1,94,1,no_noise,949
8,1,95,4,noise,905
8,1,96,1,noise,466
8,1,97,1,no_noise,614
8,1,98,1,no_noise,835
8,1,99,4,no_noise,775
8,1,100,1,no_noise,196
