prot_id,trial_id,no_targets,noise,trajectory_id,cage_indicated
5,1,1,noise,53,4
5,2,1,noise,98,4
5,3,2,no_noise,153,1
5,4,4,no_noise,144,2
5,5,1,no_noise,101,4
5,6,1,no_noise,82,3
5,7,2,noise,71,4
5,8,1,noise,85,2
5,9,4,noise,149,2
5,10,2,noise,118,3
5,11,1,no_noise,127,3
5,12,4,noise,78,3
5,13,2,no_noise,62,1
5,14,1,noise,87,4
5,15,4,noise,22,2
5,16,4,no_noise,159,4
5,17,4,no_noise,4,1
5,18,4,no_noise,7,3
5,19,4,noise,148,4
5,20,4,no_noise,130,2
5,21,4,no_noise,26,2
5,22,2,no_noise,38,1
5,23,4,noise,8,1
5,24,1,no_noise,77,3
5,25,4,noise,103,3
5,26,1,noise,57,4
5,27,4,no_noise,31,3
5,28,4,noise,164,2
5,29,1,no_noise,65,1
5,30,2,noise,56,3
5,31,2,no_noise,147,3
5,32,1,no_noise,125,1
5,33,2,noise,89,2
5,34,2,noise,93,1
5,35,4,noise,17,1
5,36,2,no_noise,116,2
5,37,2,no_noise,115,1
5,38,2,no_noise,15,1
5,39,2,noise,94,4
5,40,2,no_noise,73,3
5,41,1,noise,3,1
5,42,1,no_noise,81,3
5,43,4,noise,111,2
5,44,1,noise,174,3
5,45,4,noise,36,3
5,46,4,no_noise,177,1
5,47,1,noise,170,3
5,48,2,noise,91,4
5,49,1,noise,51,2
5,50,1,no_noise,40,1
5,51,2,noise,169,4
5,52,4,no_noise,72,3
5,53,2,noise,160,4
5,54,1,no_noise,54,1
5,55,1,no_noise,11,1
5,56,2,noise,18,3
5,57,1,noise,2,4
5,58,2,noise,49,1
5,59,2,noise,99,2
5,60,2,noise,102,3
5,61,2,noise,128,3
5,62,1,no_noise,67,3
5,63,2,no_noise,9,4
5,64,2,no_noise,20,4
5,65,2,noise,146,3
5,66,1,no_noise,61,2
5,67,1,noise,152,3
5,68,4,noise,29,2
5,69,4,no_noise,114,1
5,70,4,no_noise,60,4
5,71,4,no_noise,105,2
5,72,4,no_noise,154,4
5,73,4,noise,34,4
5,74,4,no_noise,12,1
5,75,1,noise,55,2
5,76,2,no_noise,14,3
5,77,1,no_noise,66,3
5,78,2,no_noise,109,2
5,79,2,no_noise,142,1
5,80,4,no_noise,5,1
5,81,4,no_noise,124,3
5,82,4,noise,123,2
5,83,2,no_noise,37,1
5,84,2,noise,68,4
5,85,4,no_noise,83,2
5,86,2,no_noise,19,4
5,87,4,noise,41,2
5,88,1,noise,117,1
5,89,4,noise,180,2
5,90,1,noise,107,1
5,91,1,noise,155,4
5,92,1,noise,21,2
5,93,1,noise,6,3
5,94,4,no_noise,42,2
5,95,1,no_noise,138,1
5,96,4,no_noise,179,1
5,97,1,no_noise,157,3
5,98,1,noise,135,3
5,99,4,no_noise,96,3
5,100,4,no_noise,167,1
5,101,2,noise,173,2
5,102,2,noise,86,4
5,103,2,no_noise,113,3
5,104,1,noise,69,1
5,105,4,noise,13,3
5,106,4,noise,46,3
5,107,2,noise,84,3
5,108,4,no_noise,32,3
5,109,2,no_noise,59,1
5,110,4,no_noise,168,2
5,111,4,no_noise,136,4
5,112,1,noise,16,4
5,113,1,no_noise,129,2
5,114,1,noise,112,4
5,115,2,no_noise,121,4
5,116,1,no_noise,134,2
5,117,1,noise,79,3
5,118,4,no_noise,100,2
5,119,1,no_noise,151,2
5,120,2,noise,27,2
5,121,2,noise,95,4
5,122,4,no_noise,132,1
5,123,1,no_noise,1,1
5,124,1,no_noise,23,1
5,125,4,no_noise,64,4
5,126,2,no_noise,63,1
5,127,2,no_noise,97,2
5,128,2,noise,74,2
5,129,2,noise,90,2
5,130,1,no_noise,88,4
5,131,2,noise,58,4
5,132,2,no_noise,35,2
5,133,4,noise,139,4
5,134,4,noise,110,3
5,135,2,no_noise,120,3
5,136,2,no_noise,140,1
5,137,4,noise,28,1
5,138,4,no_noise,30,1
5,139,2,no_noise,52,1
5,140,2,no_noise,104,3
5,141,1,noise,33,2
5,142,1,no_noise,175,3
5,143,2,noise,156,1
5,144,1,noise,178,1
5,145,4,noise,39,1
5,146,1,no_noise,43,1
5,147,1,no_noise,50,3
5,148,1,noise,48,4
5,149,4,noise,161,4
5,150,1,noise,80,2
5,151,2,no_noise,171,3
5,152,1,no_noise,122,4
5,153,1,no_noise,126,2
5,154,1,noise,92,2
5,155,4,noise,143,4
5,156,4,noise,24,4
5,157,2,noise,172,4
5,158,4,noise,108,4
5,159,1,no_noise,106,2
5,160,4,noise,162,4
5,161,4,noise,45,4
5,162,2,noise,47,2
5,163,1,noise,133,4
5,164,2,no_noise,76,2
5,165,2,noise,176,1
5,166,2,noise,75,3
5,167,2,no_noise,165,2
5,168,1,noise,25,4
5,169,1,no_noise,141,1
5,170,2,noise,150,4
5,171,4,no_noise,166,4
5,172,4,no_noise,119,1
5,173,1,no_noise,131,2
5,174,1,no_noise,10,3
5,175,4,noise,158,3
5,176,2,no_noise,145,4
5,177,2,no_noise,137,2
5,178,4,noise,163,1
5,179,1,noise,44,2
5,180,4,noise,70,3
