prot_id,prot_subset,trial_id,noise_present,no_targets,trajectory_id
6,8,701,noise,1,958
6,8,702,no_noise,1,689
6,8,703,noise,4,44
6,8,704,noise,1,469
6,8,705,noise,1,665
6,8,706,noise,1,595
6,8,707,no_noise,4,526
6,8,708,noise,4,322
6,8,709,no_noise,1,552
6,8,710,no_noise,4,712
6,8,711,noise,1,350
6,8,712,noise,1,480
6,8,713,noise,4,970
6,8,714,noise,4,613
6,8,715,noise,1,678
6,8,716,no_noise,1,560
6,8,717,no_noise,1,691
6,8,718,no_noise,4,395
6,8,719,noise,1,307
6,8,720,noise,1,73
6,8,721,no_noise,1,62
6,8,722,no_noise,4,364
6,8,723,no_noise,4,447
6,8,724,no_noise,4,623
6,8,725,noise,4,56
6,8,726,no_noise,1,567
6,8,727,noise,1,379
6,8,728,noise,4,330
6,8,729,noise,1,827
6,8,730,noise,4,71
6,8,731,noise,4,506
6,8,732,noise,1,778
6,8,733,no_noise,1,876
6,8,734,no_noise,1,812
6,8,735,noise,1,177
6,8,736,noise,4,490
6,8,737,no_noise,4,692
6,8,738,noise,1,75
6,8,739,noise,1,31
6,8,740,no_noise,1,251
6,8,741,noise,1,673
6,8,742,no_noise,4,386
6,8,743,noise,4,750
6,8,744,no_noise,1,972
6,8,745,no_noise,4,178
6,8,746,noise,1,124
6,8,747,noise,1,866
6,8,748,noise,4,784
6,8,749,noise,1,405
6,8,750,noise,1,303
6,8,751,no_noise,4,295
6,8,752,no_noise,1,967
6,8,753,noise,4,588
6,8,754,noise,4,351
6,8,755,no_noise,1,783
6,8,756,no_noise,4,775
6,8,757,no_noise,4,792
6,8,758,noise,1,409
6,8,759,no_noise,4,632
6,8,760,no_noise,4,862
6,8,761,noise,4,436
6,8,762,no_noise,4,280
6,8,763,no_noise,4,353
6,8,764,noise,1,466
6,8,765,no_noise,4,243
6,8,766,noise,4,384
6,8,767,noise,4,112
6,8,768,no_noise,4,366
6,8,769,no_noise,1,154
6,8,770,noise,4,443
6,8,771,no_noise,4,772
6,8,772,no_noise,4,804
6,8,773,noise,4,133
6,8,774,noise,1,65
6,8,775,noise,4,448
6,8,776,noise,4,634
6,8,777,no_noise,1,815
6,8,778,no_noise,1,754
6,8,779,noise,1,916
6,8,780,no_noise,1,161
6,8,781,no_noise,1,711
6,8,782,no_noise,4,984
6,8,783,noise,1,676
6,8,784,no_noise,4,978
6,8,785,no_noise,1,721
6,8,786,no_noise,1,69
6,8,787,no_noise,1,952
6,8,788,noise,1,15
6,8,789,noise,4,757
6,8,790,noise,4,131
6,8,791,no_noise,1,277
6,8,792,noise,4,616
6,8,793,noise,4,861
6,8,794,noise,1,855
6,8,795,no_noise,4,141
6,8,796,no_noise,4,197
6,8,797,noise,1,470
6,8,798,noise,1,268
6,8,799,noise,1,13
6,8,800,noise,4,703
