prot_id,prot_subset,trial_id,noise_present,no_targets,trajectory_id
4,10,901,no_noise,4,583
4,10,902,noise,4,581
4,10,903,no_noise,1,352
4,10,904,noise,1,437
4,10,905,no_noise,1,274
4,10,906,no_noise,4,349
4,10,907,no_noise,4,864
4,10,908,no_noise,4,593
4,10,909,noise,1,270
4,10,910,noise,4,799
4,10,911,no_noise,4,381
4,10,912,no_noise,1,291
4,10,913,noise,4,545
4,10,914,no_noise,4,716
4,10,915,no_noise,4,923
4,10,916,no_noise,1,834
4,10,917,no_noise,1,485
4,10,918,no_noise,1,37
4,10,919,noise,1,86
4,10,920,noise,1,166
4,10,921,noise,4,286
4,10,922,noise,4,239
4,10,923,no_noise,1,526
4,10,924,no_noise,1,459
4,10,925,no_noise,4,979
4,10,926,noise,1,529
4,10,927,no_noise,4,925
4,10,928,no_noise,1,525
4,10,929,no_noise,1,233
4,10,930,no_noise,4,985
4,10,931,noise,4,884
4,10,932,noise,4,346
4,10,933,noise,4,355
4,10,934,noise,1,207
4,10,935,noise,4,301
4,10,936,noise,1,865
4,10,937,no_noise,1,913
4,10,938,noise,4,131
4,10,939,noise,4,620
4,10,940,no_noise,4,133
4,10,941,no_noise,1,850
4,10,942,noise,4,899
4,10,943,no_noise,1,701
4,10,944,noise,1,876
4,10,945,no_noise,4,854
4,10,946,no_noise,4,556
4,10,947,no_noise,1,889
4,10,948,no_noise,4,995
4,10,949,noise,1,643
4,10,950,noise,4,245
4,10,951,no_noise,4,401
4,10,952,no_noise,1,711
4,10,953,no_noise,1,223
4,10,954,noise,4,837
4,10,955,noise,4,332
4,10,956,noise,1,953
4,10,957,no_noise,1,138
4,10,958,noise,1,856
4,10,959,no_noise,4,476
4,10,960,noise,4,920
4,10,961,noise,1,75
4,10,962,no_noise,1,335
4,10,963,noise,4,898
4,10,964,no_noise,1,45
4,10,965,noise,1,645
4,10,966,no_noise,4,268
4,10,967,noise,4,613
4,10,968,no_noise,1,484
4,10,969,no_noise,1,960
4,10,970,noise,1,673
4,10,971,noise,1,504
4,10,972,no_noise,1,682
4,10,973,noise,1,253
4,10,974,noise,4,732
4,10,975,no_noise,1,149
4,10,976,noise,1,6
4,10,977,noise,4,305
4,10,978,no_noise,4,788
4,10,979,no_noise,1,814
4,10,980,no_noise,4,98
4,10,981,noise,1,652
4,10,982,no_noise,4,714
4,10,983,no_noise,4,28
4,10,984,noise,4,425
4,10,985,no_noise,4,871
4,10,986,no_noise,4,463
4,10,987,noise,1,96
4,10,988,noise,1,261
4,10,989,no_noise,4,746
4,10,990,no_noise,1,48
4,10,991,noise,1,269
4,10,992,noise,4,458
4,10,993,no_noise,1,487
4,10,994,noise,4,408
4,10,995,no_noise,1,392
4,10,996,no_noise,4,790
4,10,997,no_noise,4,553
4,10,998,no_noise,1,4
4,10,999,noise,4,607
4,10,1000,noise,1,765
