prot_id,prot_subset,trial_id,no_targets,noise_present,trajectory_id
9,6,501,1,no_noise,877
9,6,502,1,no_noise,668
9,6,503,4,noise,454
9,6,504,1,noise,191
9,6,505,1,no_noise,208
9,6,506,4,no_noise,860
9,6,507,1,no_noise,442
9,6,508,4,no_noise,334
9,6,509,4,noise,286
9,6,510,4,no_noise,866
9,6,511,1,no_noise,623
9,6,512,1,noise,715
9,6,513,4,noise,9
9,6,514,4,no_noise,663
9,6,515,1,noise,829
9,6,516,1,noise,645
9,6,517,4,noise,541
9,6,518,4,noise,758
9,6,519,1,noise,856
9,6,520,1,no_noise,915
9,6,521,1,noise,327
9,6,522,4,no_noise,855
9,6,523,4,noise,144
9,6,524,1,no_noise,162
9,6,525,4,no_noise,436
9,6,526,4,no_noise,609
9,6,527,4,no_noise,930
9,6,528,1,noise,526
9,6,529,1,noise,669
9,6,530,4,no_noise,956
9,6,531,4,noise,343
9,6,532,4,noise,464
9,6,533,4,no_noise,392
9,6,534,1,noise,763
9,6,535,4,noise,743
9,6,536,4,noise,142
9,6,537,4,no_noise,98
9,6,538,1,no_noise,638
9,6,539,1,no_noise,946
9,6,540,1,noise,805
9,6,541,4,no_noise,834
9,6,542,1,noise,942
9,6,543,1,no_noise,432
9,6,544,4,no_noise,962
9,6,545,4,no_noise,636
9,6,546,4,noise,750
9,6,547,1,no_noise,937
9,6,548,1,no_noise,872
9,6,549,4,no_noise,303
9,6,550,4,noise,94
9,6,551,1,noise,738
9,6,552,4,no_noise,789
9,6,553,1,no_noise,675
9,6,554,4,noise,593
9,6,555,4,no_noise,354
9,6,556,1,noise,375
9,6,557,1,no_noise,538
9,6,558,4,noise,651
9,6,559,1,noise,883
9,6,560,4,noise,742
9,6,561,4,noise,330
9,6,562,4,noise,952
9,6,563,1,no_noise,196
9,6,564,4,noise,79
9,6,565,1,noise,467
9,6,566,1,noise,730
9,6,567,1,no_noise,290
9,6,568,4,noise,845
9,6,569,4,noise,317
9,6,570,1,noise,331
9,6,571,1,no_noise,527
9,6,572,4,no_noise,776
9,6,573,4,no_noise,82
9,6,574,1,no_noise,631
9,6,575,1,no_noise,530
9,6,576,4,noise,661
9,6,577,1,no_noise,718
9,6,578,4,noise,370
9,6,579,4,noise,328
9,6,580,4,no_noise,502
9,6,581,4,noise,63
9,6,582,4,no_noise,49
9,6,583,1,no_noise,321
9,6,584,1,noise,823
9,6,585,1,no_noise,797
9,6,586,4,no_noise,298
9,6,587,1,no_noise,365
9,6,588,4,no_noise,827
9,6,589,1,noise,86
9,6,590,1,noise,785
9,6,591,4,no_noise,590
9,6,592,1,no_noise,621
9,6,593,1,noise,465
9,6,594,4,no_noise,45
9,6,595,4,no_noise,74
9,6,596,1,noise,483
9,6,597,4,noise,149
9,6,598,1,noise,489
9,6,599,1,noise,632
9,6,600,1,noise,865
