prot_id,prot_subset,trial_id,no_targets,noise_present,trajectory_id
8,3,201,4,noise,49
8,3,202,4,no_noise,686
8,3,203,1,no_noise,155
8,3,204,1,no_noise,870
8,3,205,4,noise,656
8,3,206,1,no_noise,456
8,3,207,4,noise,322
8,3,208,4,no_noise,722
8,3,209,1,no_noise,71
8,3,210,1,noise,751
8,3,211,1,noise,931
8,3,212,4,no_noise,20
8,3,213,4,no_noise,566
8,3,214,4,noise,53
8,3,215,4,noise,495
8,3,216,1,noise,460
8,3,217,1,noise,45
8,3,218,1,noise,834
8,3,219,4,noise,266
8,3,220,4,noise,477
8,3,221,1,no_noise,388
8,3,222,4,noise,805
8,3,223,4,noise,668
8,3,224,1,no_noise,579
8,3,225,1,no_noise,481
8,3,226,4,no_noise,766
8,3,227,4,noise,937
8,3,228,4,noise,19
8,3,229,1,no_noise,11
8,3,230,1,no_noise,8
8,3,231,4,no_noise,788
8,3,232,1,no_noise,487
8,3,233,1,noise,7
8,3,234,4,no_noise,893
8,3,235,4,no_noise,391
8,3,236,1,no_noise,406
8,3,237,1,noise,657
8,3,238,1,noise,463
8,3,239,1,no_noise,74
8,3,240,4,noise,801
8,3,241,4,noise,80
8,3,242,4,noise,282
8,3,243,4,no_noise,580
8,3,244,4,no_noise,484
8,3,245,1,noise,398
8,3,246,4,no_noise,167
8,3,247,1,no_noise,505
8,3,248,4,no_noise,815
8,3,249,4,no_noise,528
8,3,250,1,noise,794
8,3,251,4,no_noise,599
8,3,252,1,noise,688
8,3,253,4,no_noise,858
8,3,254,1,noise,412
8,3,255,4,noise,974
8,3,256,1,no_noise,877
8,3,257,1,noise,212
8,3,258,4,no_noise,161
8,3,259,4,no_noise,99
8,3,260,1,no_noise,42
8,3,261,1,no_noise,207
8,3,262,4,noise,606
8,3,263,4,noise,210
8,3,264,1,no_noise,821
8,3,265,1,noise,314
8,3,266,4,noise,936
8,3,267,4,noise,512
8,3,268,4,no_noise,378
8,3,269,1,noise,298
8,3,270,1,noise,837
8,3,271,4,no_noise,252
8,3,272,4,noise,148
8,3,273,1,noise,891
8,3,274,4,no_noise,403
8,3,275,4,no_noise,182
8,3,276,4,no_noise,281
8,3,277,1,no_noise,59
8,3,278,4,no_noise,453
8,3,279,1,noise,588
8,3,280,1,noise,350
8,3,281,1,noise,147
8,3,282,1,no_noise,873
8,3,283,1,no_noise,634
8,3,284,4,no_noise,239
8,3,285,1,no_noise,343
8,3,286,4,no_noise,942
8,3,287,1,noise,127
8,3,288,1,no_noise,334
8,3,289,1,no_noise,840
8,3,290,1,noise,746
8,3,291,1,no_noise,842
8,3,292,1,noise,925
8,3,293,1,noise,951
8,3,294,4,no_noise,21
8,3,295,1,noise,132
8,3,296,1,noise,855
8,3,297,4,no_noise,732
8,3,298,4,no_noise,809
8,3,299,4,noise,325
8,3,300,1,no_noise,616
