prot_id,prot_subset,trial_id,noise_present,no_targets,trajectory_id
5,1,1,noise,4,760
5,1,2,noise,4,45
5,1,3,no_noise,4,437
5,1,4,no_noise,4,556
5,1,5,no_noise,1,624
5,1,6,noise,4,136
5,1,7,noise,1,572
5,1,8,no_noise,4,555
5,1,9,no_noise,1,968
5,1,10,noise,1,483
5,1,11,noise,4,824
5,1,12,noise,4,738
5,1,13,no_noise,4,25
5,1,14,noise,1,308
5,1,15,no_noise,1,346
5,1,16,no_noise,4,539
5,1,17,noise,4,762
5,1,18,no_noise,1,509
5,1,19,no_noise,1,840
5,1,20,noise,1,607
5,1,21,noise,4,128
5,1,22,no_noise,1,55
5,1,23,no_noise,1,124
5,1,24,noise,1,26
5,1,25,no_noise,4,185
5,1,26,no_noise,4,439
5,1,27,noise,4,44
5,1,28,no_noise,1,681
5,1,29,noise,1,421
5,1,30,no_noise,1,636
5,1,31,noise,1,718
5,1,32,no_noise,1,595
5,1,33,noise,4,280
5,1,34,noise,1,702
5,1,35,no_noise,1,889
5,1,36,no_noise,4,189
5,1,37,noise,1,984
5,1,38,noise,4,594
5,1,39,no_noise,1,567
5,1,40,no_noise,1,186
5,1,41,noise,4,891
5,1,42,no_noise,1,723
5,1,43,noise,4,887
5,1,44,no_noise,4,87
5,1,45,noise,1,150
5,1,46,noise,4,245
5,1,47,no_noise,4,340
5,1,48,no_noise,4,271
5,1,49,noise,4,809
5,1,50,noise,1,798
5,1,51,no_noise,4,14
5,1,52,no_noise,4,489
5,1,53,noise,1,204
5,1,54,noise,1,912
5,1,55,no_noise,1,991
5,1,56,no_noise,4,21
5,1,57,no_noise,4,746
5,1,58,no_noise,4,932
5,1,59,noise,1,680
5,1,60,noise,1,104
5,1,61,no_noise,4,272
5,1,62,no_noise,1,355
5,1,63,noise,4,426
5,1,64,no_noise,1,445
5,1,65,noise,1,321
5,1,66,noise,4,253
5,1,67,no_noise,1,879
5,1,68,no_noise,1,50
5,1,69,noise,4,121
5,1,70,noise,1,617
5,1,71,noise,4,501
5,1,72,no_noise,1,867
5,1,73,noise,4,229
5,1,74,noise,1,609
5,1,75,noise,4,682
5,1,76,noise,1,134
5,1,77,noise,1,480
5,1,78,no_noise,4,771
5,1,79,no_noise,4,341
5,1,80,no_noise,4,305
5,1,81,noise,1,13
5,1,82,noise,1,688
5,1,83,noise,4,893
5,1,84,no_noise,4,395
5,1,85,noise,4,512
5,1,86,no_noise,1,385
5,1,87,no_noise,1,733
5,1,88,noise,1,881
5,1,89,noise,1,217
5,1,90,no_noise,4,432
5,1,91,no_noise,1,492
5,1,92,no_noise,1,254
5,1,93,no_noise,4,498
5,1,94,noise,4,896
5,1,95,noise,1,587
5,1,96,no_noise,4,690
5,1,97,no_noise,4,990
5,1,98,no_noise,4,525
5,1,99,no_noise,4,868
5,1,100,noise,4,600
