prot_id,prot_subset,trial_id,noise_present,no_targets,trajectory_id
6,3,201,no_noise,4,631
6,3,202,noise,4,522
6,3,203,no_noise,1,491
6,3,204,noise,1,683
6,3,205,no_noise,1,18
6,3,206,noise,4,215
6,3,207,noise,4,766
6,3,208,noise,4,736
6,3,209,noise,4,599
6,3,210,noise,4,167
6,3,211,noise,4,896
6,3,212,no_noise,4,644
6,3,213,no_noise,1,889
6,3,214,no_noise,4,600
6,3,215,noise,1,184
6,3,216,no_noise,1,833
6,3,217,no_noise,1,810
6,3,218,noise,4,519
6,3,219,no_noise,1,619
6,3,220,noise,1,874
6,3,221,noise,4,43
6,3,222,noise,4,47
6,3,223,no_noise,1,677
6,3,224,noise,4,563
6,3,225,no_noise,4,12
6,3,226,no_noise,4,973
6,3,227,no_noise,4,336
6,3,228,noise,1,884
6,3,229,noise,4,981
6,3,230,noise,4,926
6,3,231,no_noise,4,334
6,3,232,no_noise,4,777
6,3,233,no_noise,4,126
6,3,234,no_noise,4,285
6,3,235,noise,4,77
6,3,236,no_noise,1,238
6,3,237,noise,1,955
6,3,238,no_noise,4,200
6,3,239,noise,1,333
6,3,240,no_noise,4,905
6,3,241,noise,4,8
6,3,242,no_noise,4,3
6,3,243,noise,1,848
6,3,244,no_noise,4,963
6,3,245,noise,1,213
6,3,246,no_noise,1,274
6,3,247,no_noise,4,502
6,3,248,noise,1,109
6,3,249,noise,4,442
6,3,250,noise,1,258
6,3,251,no_noise,4,308
6,3,252,noise,4,74
6,3,253,no_noise,1,976
6,3,254,no_noise,1,660
6,3,255,noise,4,907
6,3,256,no_noise,4,271
6,3,257,noise,4,790
6,3,258,noise,1,433
6,3,259,noise,1,435
6,3,260,no_noise,1,625
6,3,261,noise,1,28
6,3,262,noise,4,338
6,3,263,no_noise,1,317
6,3,264,noise,4,826
6,3,265,no_noise,4,988
6,3,266,no_noise,1,26
6,3,267,noise,1,29
6,3,268,no_noise,4,550
6,3,269,no_noise,1,428
6,3,270,no_noise,4,60
6,3,271,no_noise,1,919
6,3,272,no_noise,1,961
6,3,273,no_noise,4,389
6,3,274,noise,4,248
6,3,275,no_noise,4,726
6,3,276,noise,1,648
6,3,277,noise,1,128
6,3,278,no_noise,1,287
6,3,279,noise,4,946
6,3,280,no_noise,4,566
6,3,281,no_noise,1,107
6,3,282,no_noise,4,554
6,3,283,no_noise,4,856
6,3,284,no_noise,1,841
6,3,285,noise,1,111
6,3,286,noise,1,902
6,3,287,noise,4,283
6,3,288,noise,1,850
6,3,289,no_noise,1,117
6,3,290,noise,4,363
6,3,291,no_noise,1,278
6,3,292,noise,4,765
6,3,293,no_noise,4,189
6,3,294,noise,4,668
6,3,295,noise,4,795
6,3,296,noise,4,329
6,3,297,no_noise,1,839
6,3,298,no_noise,1,893
6,3,299,no_noise,4,821
6,3,300,no_noise,4,113
