prot_id,trial_id,no_targets,noise,trajectory_id,cage_indicated
8,1,2,noise,147,4
8,2,4,no_noise,179,3
8,3,2,noise,156,4
8,4,1,noise,21,2
8,5,1,noise,15,3
8,6,1,no_noise,152,3
8,7,2,noise,92,2
8,8,2,noise,154,3
8,9,1,noise,99,3
8,10,4,noise,95,4
8,11,1,noise,8,4
8,12,2,no_noise,146,4
8,13,2,no_noise,112,4
8,14,1,noise,47,3
8,15,2,no_noise,39,1
8,16,1,noise,136,1
8,17,1,no_noise,142,2
8,18,1,noise,45,1
8,19,1,noise,64,1
8,20,4,noise,86,1
8,21,1,no_noise,40,2
8,22,1,noise,43,3
8,23,4,no_noise,2,4
8,24,4,no_noise,115,2
8,25,2,noise,14,2
8,26,4,noise,145,1
8,27,2,noise,159,2
8,28,1,noise,170,1
8,29,4,no_noise,109,3
8,30,2,noise,131,2
8,31,1,noise,4,1
8,32,2,no_noise,88,1
8,33,2,no_noise,75,2
8,34,4,no_noise,63,1
8,35,1,no_noise,162,2
8,36,4,no_noise,51,3
8,37,4,noise,133,2
8,38,4,no_noise,80,1
8,39,1,noise,56,4
8,40,2,no_noise,148,1
8,41,2,noise,132,3
8,42,1,noise,149,1
8,43,2,noise,52,1
8,44,4,no_noise,134,2
8,45,2,no_noise,119,4
8,46,4,no_noise,120,1
8,47,2,noise,163,4
8,48,1,noise,105,2
8,49,4,no_noise,54,2
8,50,1,no_noise,140,1
8,51,4,no_noise,124,1
8,52,1,no_noise,19,1
8,53,2,no_noise,164,2
8,54,2,no_noise,90,3
8,55,1,noise,12,3
8,56,1,noise,74,3
8,57,4,no_noise,161,2
8,58,1,noise,116,2
8,59,1,no_noise,111,3
8,60,2,no_noise,22,2
8,61,1,no_noise,36,2
8,62,4,no_noise,26,3
8,63,4,noise,82,3
8,64,4,noise,168,4
8,65,2,no_noise,69,1
8,66,4,no_noise,160,1
8,67,4,noise,158,1
8,68,4,no_noise,103,3
8,69,2,no_noise,58,4
8,70,1,no_noise,150,3
8,71,1,no_noise,169,4
8,72,2,noise,37,2
8,73,4,noise,91,4
8,74,4,noise,71,3
8,75,2,no_noise,59,1
8,76,1,noise,11,1
8,77,2,noise,127,2
8,78,2,no_noise,155,4
8,79,1,noise,33,4
8,80,2,noise,16,4
8,81,4,no_noise,76,4
8,82,1,noise,30,2
8,83,2,noise,29,2
8,84,1,no_noise,178,2
8,85,2,no_noise,167,2
8,86,1,no_noise,35,1
8,87,2,noise,44,4
8,88,1,noise,144,3
8,89,4,no_noise,165,4
8,90,2,noise,87,1
8,91,4,noise,83,1
8,92,4,noise,31,3
8,93,1,no_noise,153,2
8,94,1,no_noise,78,2
8,95,1,no_noise,34,1
8,96,4,noise,135,1
8,97,2,noise,97,1
8,98,1,no_noise,57,3
8,99,2,noise,25,3
8,100,1,noise,166,2
8,101,2,noise,125,4
8,102,4,no_noise,53,3
8,103,2,no_noise,157,1
8,104,1,noise,50,2
8,105,1,no_noise,79,1
8,106,4,noise,23,4
8,107,4,noise,73,3
8,108,2,noise,141,4
8,109,1,noise,143,4
8,110,2,no_noise,174,3
8,111,4,no_noise,62,2
8,112,2,no_noise,96,4
8,113,4,noise,67,3
8,114,2,no_noise,104,4
8,115,1,no_noise,17,4
8,116,1,no_noise,171,1
8,117,4,noise,24,1
8,118,4,noise,176,3
8,119,4,no_noise,94,1
8,120,4,noise,38,2
8,121,4,noise,41,4
8,122,1,no_noise,122,2
8,123,1,noise,138,4
8,124,4,no_noise,1,4
8,125,2,noise,106,1
8,126,1,no_noise,93,4
8,127,2,no_noise,85,3
8,128,4,no_noise,55,3
8,129,4,noise,49,4
8,130,2,noise,108,2
8,131,1,no_noise,126,3
8,132,2,no_noise,98,2
8,133,1,no_noise,117,4
8,134,1,no_noise,9,3
8,135,2,no_noise,27,4
8,136,2,no_noise,89,3
8,137,1,noise,72,3
8,138,4,noise,101,4
8,139,4,noise,110,4
8,140,1,no_noise,139,2
8,141,2,noise,107,1
8,142,4,no_noise,42,2
8,143,1,noise,3,2
8,144,2,noise,32,3
8,145,4,no_noise,172,1
8,146,2,no_noise,100,1
8,147,4,noise,102,4
8,148,4,noise,20,3
8,149,2,noise,5,2
8,150,2,noise,175,4
8,151,4,no_noise,84,2
8,152,1,no_noise,7,4
8,153,2,noise,81,3
8,154,2,noise,77,1
8,155,2,noise,113,2
8,156,2,no_noise,6,3
8,157,4,noise,121,3
8,158,4,noise,118,1
8,159,2,no_noise,137,4
8,160,1,noise,173,1
8,161,4,no_noise,123,2
8,162,1,no_noise,66,3
8,163,1,no_noise,13,2
8,164,2,no_noise,46,4
8,165,4,noise,128,3
8,166,4,noise,130,3
8,167,4,no_noise,180,4
8,168,2,noise,177,3
8,169,4,no_noise,18,1
8,170,4,noise,48,3
8,171,1,no_noise,129,4
8,172,4,no_noise,10,1
8,173,2,no_noise,65,4
8,174,1,noise,61,1
8,175,1,noise,70,2
8,176,2,no_noise,114,1
8,177,4,no_noise,68,4
8,178,4,noise,60,2
8,179,2,no_noise,151,2
8,180,1,no_noise,28,3
