prot_id,trial_id,no_targets,noise_present,trajectory_id
18,1,1,no_noise,123
18,2,2,no_noise,39
18,3,4,noise,169
18,4,4,noise,177
18,5,4,noise,11
18,6,1,no_noise,163
18,7,1,noise,96
18,8,2,no_noise,173
18,9,1,no_noise,111
18,10,2,noise,42
18,11,1,noise,126
18,12,1,no_noise,13
18,13,1,noise,78
18,14,1,noise,6
18,15,1,noise,89
18,16,1,no_noise,143
18,17,4,noise,88
18,18,2,no_noise,151
18,19,4,noise,65
18,20,2,noise,141
18,21,4,no_noise,145
18,22,2,no_noise,131
18,23,4,no_noise,115
18,24,2,no_noise,64
18,25,4,noise,18
18,26,4,noise,17
18,27,1,no_noise,97
18,28,4,no_noise,51
18,29,4,no_noise,4
18,30,4,noise,10
18,31,4,no_noise,100
18,32,2,no_noise,144
18,33,2,noise,152
18,34,2,noise,127
18,35,2,noise,87
18,36,2,noise,99
18,37,1,noise,45
18,38,1,noise,80
18,39,1,no_noise,128
18,40,1,no_noise,63
18,41,2,noise,130
18,42,1,noise,104
18,43,2,noise,164
18,44,4,no_noise,116
18,45,1,noise,91
18,46,1,noise,150
18,47,4,no_noise,77
18,48,4,no_noise,112
18,49,1,noise,55
18,50,4,no_noise,71
18,51,2,noise,53
18,52,1,noise,90
18,53,4,no_noise,84
18,54,1,noise,137
18,55,1,noise,158
18,56,4,noise,98
18,57,2,noise,33
18,58,2,no_noise,124
18,59,4,noise,32
18,60,4,noise,25
18,61,4,no_noise,101
18,62,2,noise,160
18,63,2,no_noise,75
18,64,2,noise,162
18,65,2,noise,154
18,66,1,no_noise,134
18,67,2,no_noise,22
18,68,4,no_noise,14
18,69,1,no_noise,92
18,70,2,no_noise,165
18,71,1,noise,24
18,72,4,noise,125
18,73,4,no_noise,174
18,74,4,no_noise,146
18,75,4,noise,153
18,76,1,no_noise,159
18,77,1,no_noise,60
18,78,2,noise,102
18,79,2,no_noise,57
18,80,4,no_noise,132
18,81,4,noise,167
18,82,2,no_noise,29
18,83,4,noise,142
18,84,4,noise,94
18,85,1,no_noise,121
18,86,1,noise,59
18,87,2,no_noise,40
18,88,2,noise,72
18,89,1,no_noise,46
18,90,1,noise,44
18,91,4,no_noise,133
18,92,1,no_noise,16
18,93,4,no_noise,27
18,94,1,no_noise,28
18,95,2,no_noise,62
18,96,2,noise,107
18,97,4,no_noise,15
18,98,2,no_noise,149
18,99,1,no_noise,1
18,100,2,noise,118
18,101,4,noise,34
18,102,1,noise,171
18,103,1,noise,38
18,104,2,noise,95
18,105,4,noise,180
18,106,2,noise,43
18,107,2,noise,138
18,108,4,noise,35
18,109,4,no_noise,21
18,110,2,noise,37
18,111,1,noise,105
18,112,1,no_noise,140
18,113,1,no_noise,66
18,114,1,noise,178
18,115,4,no_noise,156
18,116,4,noise,114
18,117,4,no_noise,23
18,118,2,noise,74
18,119,2,noise,41
18,120,2,no_noise,86
18,121,2,noise,82
18,122,4,no_noise,109
18,123,2,no_noise,148
18,124,2,no_noise,157
18,125,1,noise,56
18,126,4,no_noise,81
18,127,4,noise,61
18,128,1,noise,2
18,129,1,no_noise,70
18,130,1,no_noise,9
18,131,2,no_noise,161
18,132,1,noise,36
18,133,2,no_noise,12
18,134,4,noise,69
18,135,1,noise,168
18,136,4,noise,26
18,137,4,no_noise,166
18,138,2,no_noise,67
18,139,1,no_noise,68
18,140,1,noise,135
18,141,1,no_noise,93
18,142,2,no_noise,19
18,143,2,no_noise,20
18,144,2,no_noise,129
18,145,1,no_noise,113
18,146,2,noise,58
18,147,2,no_noise,122
18,148,1,no_noise,155
18,149,4,no_noise,147
18,150,4,noise,172
18,151,2,noise,170
18,152,1,noise,73
18,153,4,noise,30
18,154,4,no_noise,120
18,155,1,no_noise,136
18,156,4,noise,79
18,157,1,no_noise,3
18,158,4,no_noise,106
18,159,2,no_noise,50
18,160,4,no_noise,5
18,161,2,no_noise,119
18,162,4,noise,7
18,163,1,noise,52
18,164,4,noise,103
18,165,4,noise,108
18,166,1,noise,49
18,167,2,noise,76
18,168,2,no_noise,54
18,169,1,no_noise,83
18,170,1,no_noise,8
18,171,2,no_noise,48
18,172,4,no_noise,179
18,173,2,noise,117
18,174,2,no_noise,139
18,175,2,noise,176
18,176,2,noise,175
18,177,1,noise,85
18,178,4,no_noise,47
18,179,1,no_noise,31
18,180,4,noise,110
