prot_id,prot_subset,trial_id,noise_present,no_targets,trajectory_id
6,4,301,no_noise,1,68
6,4,302,no_noise,1,820
6,4,303,no_noise,1,638
6,4,304,no_noise,4,694
6,4,305,noise,4,476
6,4,306,noise,4,235
6,4,307,no_noise,1,460
6,4,308,no_noise,4,953
6,4,309,no_noise,4,992
6,4,310,noise,1,572
6,4,311,noise,4,362
6,4,312,noise,4,288
6,4,313,noise,1,164
6,4,314,noise,1,948
6,4,315,no_noise,4,899
6,4,316,no_noise,4,838
6,4,317,no_noise,4,891
6,4,318,noise,4,549
6,4,319,noise,4,985
6,4,320,noise,1,512
6,4,321,no_noise,1,657
6,4,322,noise,4,680
6,4,323,no_noise,1,705
6,4,324,noise,4,301
6,4,325,no_noise,4,892
6,4,326,no_noise,1,380
6,4,327,noise,4,872
6,4,328,no_noise,4,920
6,4,329,no_noise,4,740
6,4,330,no_noise,1,279
6,4,331,noise,1,98
6,4,332,no_noise,1,269
6,4,333,no_noise,4,864
6,4,334,no_noise,4,968
6,4,335,no_noise,4,585
6,4,336,no_noise,4,924
6,4,337,no_noise,1,349
6,4,338,noise,1,701
6,4,339,noise,1,574
6,4,340,no_noise,4,207
6,4,341,noise,1,376
6,4,342,no_noise,4,281
6,4,343,no_noise,4,132
6,4,344,noise,4,192
6,4,345,no_noise,1,348
6,4,346,noise,4,318
6,4,347,noise,4,979
6,4,348,no_noise,4,945
6,4,349,noise,4,860
6,4,350,noise,1,165
6,4,351,noise,1,511
6,4,352,no_noise,1,92
6,4,353,no_noise,1,724
6,4,354,noise,4,216
6,4,355,no_noise,1,494
6,4,356,no_noise,4,129
6,4,357,noise,1,256
6,4,358,noise,4,630
6,4,359,noise,1,110
6,4,360,no_noise,4,725
6,4,361,noise,4,205
6,4,362,no_noise,4,991
6,4,363,noise,1,816
6,4,364,noise,1,687
6,4,365,noise,1,50
6,4,366,noise,1,79
6,4,367,noise,1,368
6,4,368,no_noise,4,858
6,4,369,no_noise,4,355
6,4,370,noise,1,1
6,4,371,no_noise,4,187
6,4,372,no_noise,4,354
6,4,373,no_noise,4,151
6,4,374,noise,1,143
6,4,375,noise,4,940
6,4,376,noise,4,753
6,4,377,noise,4,84
6,4,378,no_noise,1,234
6,4,379,no_noise,1,297
6,4,380,noise,1,335
6,4,381,noise,4,809
6,4,382,no_noise,4,116
6,4,383,no_noise,1,890
6,4,384,no_noise,4,607
6,4,385,no_noise,4,852
6,4,386,no_noise,1,517
6,4,387,no_noise,1,570
6,4,388,noise,4,796
6,4,389,noise,1,4
6,4,390,no_noise,4,166
6,4,391,noise,1,529
6,4,392,noise,4,871
6,4,393,noise,1,119
6,4,394,noise,1,851
6,4,395,no_noise,1,987
6,4,396,no_noise,1,102
6,4,397,no_noise,4,928
6,4,398,no_noise,4,162
6,4,399,noise,4,471
6,4,400,no_noise,4,156
