prot_id,prot_subset,trial_id,noise_present,no_targets,trajectory_id
6,6,501,noise,4,246
6,6,502,noise,1,653
6,6,503,no_noise,1,829
6,6,504,no_noise,4,158
6,6,505,noise,1,999
6,6,506,noise,1,799
6,6,507,noise,1,925
6,6,508,noise,4,844
6,6,509,no_noise,4,814
6,6,510,noise,1,710
6,6,511,no_noise,4,593
6,6,512,noise,4,569
6,6,513,no_noise,1,157
6,6,514,no_noise,4,641
6,6,515,noise,4,802
6,6,516,noise,1,965
6,6,517,no_noise,1,455
6,6,518,noise,4,983
6,6,519,no_noise,4,939
6,6,520,no_noise,1,622
6,6,521,no_noise,4,438
6,6,522,noise,1,533
6,6,523,no_noise,1,464
6,6,524,noise,1,954
6,6,525,no_noise,4,903
6,6,526,noise,4,927
6,6,527,noise,1,869
6,6,528,no_noise,1,787
6,6,529,noise,4,446
6,6,530,no_noise,1,313
6,6,531,noise,1,127
6,6,532,no_noise,1,87
6,6,533,noise,4,233
6,6,534,no_noise,4,536
6,6,535,no_noise,1,611
6,6,536,noise,4,270
6,6,537,noise,1,732
6,6,538,noise,1,758
6,6,539,no_noise,4,608
6,6,540,no_noise,1,742
6,6,541,no_noise,1,527
6,6,542,noise,4,461
6,6,543,noise,4,759
6,6,544,noise,4,14
6,6,545,noise,1,930
6,6,546,noise,4,465
6,6,547,noise,4,357
6,6,548,noise,1,733
6,6,549,noise,1,163
6,6,550,noise,1,422
6,6,551,noise,1,761
6,6,552,noise,1,82
6,6,553,no_noise,1,121
6,6,554,noise,1,730
6,6,555,noise,1,720
6,6,556,noise,1,781
6,6,557,noise,1,834
6,6,558,no_noise,4,980
6,6,559,noise,4,155
6,6,560,no_noise,4,169
6,6,561,no_noise,1,462
6,6,562,no_noise,1,374
6,6,563,no_noise,4,7
6,6,564,no_noise,4,752
6,6,565,no_noise,1,708
6,6,566,noise,1,122
6,6,567,noise,1,996
6,6,568,noise,4,914
6,6,569,noise,4,66
6,6,570,noise,1,255
6,6,571,no_noise,4,671
6,6,572,no_noise,1,319
6,6,573,noise,4,909
6,6,574,noise,1,391
6,6,575,noise,4,501
6,6,576,noise,4,731
6,6,577,no_noise,1,966
6,6,578,noise,4,897
6,6,579,noise,4,444
6,6,580,no_noise,1,456
6,6,581,no_noise,4,596
6,6,582,no_noise,4,204
6,6,583,noise,1,749
6,6,584,noise,4,738
6,6,585,noise,4,614
6,6,586,no_noise,4,788
6,6,587,no_noise,1,408
6,6,588,no_noise,4,528
6,6,589,no_noise,4,917
6,6,590,noise,1,915
6,6,591,no_noise,1,468
6,6,592,no_noise,1,707
6,6,593,no_noise,4,59
6,6,594,noise,1,42
6,6,595,no_noise,1,152
6,6,596,no_noise,1,144
6,6,597,noise,4,272
6,6,598,noise,1,942
6,6,599,noise,1,196
6,6,600,noise,4,427
