prot_id,trial_id,no_targets,noise,trajectory_id,cage_indicated
6,1,4,no_noise,12,4
6,2,1,noise,83,3
6,3,2,noise,14,4
6,4,4,no_noise,9,4
6,5,1,noise,151,3
6,6,1,noise,6,2
6,7,2,no_noise,102,1
6,8,2,no_noise,149,2
6,9,1,noise,25,2
6,10,1,noise,135,2
6,11,1,no_noise,130,4
6,12,1,noise,24,1
6,13,4,noise,63,1
6,14,2,noise,117,3
6,15,4,no_noise,124,1
6,16,2,no_noise,169,2
6,17,4,no_noise,70,4
6,18,4,noise,96,3
6,19,1,noise,111,2
6,20,2,no_noise,15,2
6,21,2,no_noise,125,3
6,22,1,no_noise,101,2
6,23,2,noise,105,1
6,24,2,no_noise,39,1
6,25,2,noise,71,3
6,26,4,no_noise,146,4
6,27,1,no_noise,98,1
6,28,2,no_noise,73,2
6,29,2,no_noise,148,4
6,30,4,no_noise,82,1
6,31,1,noise,10,3
6,32,4,noise,113,3
6,33,4,noise,137,2
6,34,2,no_noise,138,3
6,35,4,no_noise,18,3
6,36,2,noise,128,4
6,37,1,no_noise,175,2
6,38,4,no_noise,47,1
6,39,1,noise,34,3
6,40,1,noise,29,1
6,41,1,no_noise,116,4
6,42,4,no_noise,51,4
6,43,2,noise,21,2
6,44,2,no_noise,61,1
6,45,4,no_noise,100,2
6,46,4,no_noise,57,4
6,47,2,noise,48,1
6,48,1,no_noise,176,2
6,49,1,noise,120,3
6,50,1,noise,17,3
6,51,4,no_noise,172,4
6,52,4,noise,72,2
6,53,4,no_noise,60,4
6,54,1,no_noise,179,2
6,55,2,noise,1,1
6,56,4,no_noise,23,4
6,57,1,no_noise,140,1
6,58,4,noise,5,2
6,59,1,no_noise,144,3
6,60,4,noise,108,1
6,61,4,noise,37,4
6,62,2,no_noise,20,2
6,63,1,no_noise,164,4
6,64,2,noise,93,3
6,65,2,noise,88,4
6,66,1,noise,114,2
6,67,4,noise,44,3
6,68,1,no_noise,162,1
6,69,4,noise,91,3
6,70,2,noise,54,3
6,71,1,no_noise,64,2
6,72,1,no_noise,107,2
6,73,2,no_noise,58,3
6,74,2,no_noise,159,1
6,75,2,noise,43,1
6,76,4,noise,31,3
6,77,4,no_noise,41,3
6,78,2,no_noise,145,1
6,79,1,no_noise,38,3
6,80,1,no_noise,67,2
6,81,1,no_noise,115,2
6,82,1,no_noise,142,2
6,83,4,no_noise,74,2
6,84,2,no_noise,62,2
6,85,2,no_noise,86,2
6,86,4,no_noise,11,1
6,87,4,noise,81,3
6,88,2,noise,160,3
6,89,1,no_noise,42,4
6,90,2,no_noise,2,3
6,91,2,noise,178,2
6,92,2,noise,46,3
6,93,4,noise,143,3
6,94,4,noise,119,3
6,95,4,no_noise,94,1
6,96,4,noise,27,4
6,97,4,no_noise,180,1
6,98,4,noise,8,4
6,99,2,no_noise,45,3
6,100,1,no_noise,167,1
6,101,2,noise,122,1
6,102,4,noise,90,3
6,103,1,noise,118,3
6,104,4,no_noise,28,1
6,105,1,no_noise,50,4
6,106,4,noise,59,3
6,107,2,noise,173,4
6,108,4,no_noise,85,4
6,109,2,noise,78,4
6,110,4,noise,152,3
6,111,2,no_noise,36,2
6,112,2,noise,126,3
6,113,2,noise,147,1
6,114,1,noise,87,4
6,115,4,noise,26,1
6,116,2,no_noise,109,1
6,117,2,no_noise,77,2
6,118,2,no_noise,171,3
6,119,2,no_noise,161,1
6,120,4,noise,52,2
6,121,4,noise,132,2
6,122,2,no_noise,127,4
6,123,1,no_noise,66,1
6,124,2,noise,4,4
6,125,2,noise,158,2
6,126,1,no_noise,106,3
6,127,4,no_noise,163,2
6,128,4,no_noise,170,4
6,129,2,noise,166,1
6,130,1,noise,99,4
6,131,1,noise,97,4
6,132,4,no_noise,103,4
6,133,4,no_noise,112,4
6,134,2,no_noise,80,2
6,135,1,no_noise,129,1
6,136,2,noise,56,4
6,137,2,noise,49,1
6,138,2,no_noise,155,1
6,139,1,no_noise,150,4
6,140,1,noise,177,1
6,141,1,noise,19,2
6,142,4,no_noise,131,4
6,143,4,noise,123,2
6,144,1,noise,104,3
6,145,4,noise,65,1
6,146,4,noise,121,4
6,147,1,noise,32,2
6,148,1,noise,89,4
6,149,1,no_noise,55,3
6,150,2,no_noise,7,1
6,151,4,no_noise,136,4
6,152,4,noise,141,2
6,153,2,no_noise,3,2
6,154,2,noise,174,4
6,155,1,no_noise,22,1
6,156,2,no_noise,76,3
6,157,2,noise,153,4
6,158,1,noise,156,3
6,159,1,noise,84,1
6,160,2,noise,35,1
6,161,1,no_noise,13,1
6,162,1,noise,75,4
6,163,1,noise,168,2
6,164,4,noise,157,2
6,165,1,noise,69,2
6,166,1,no_noise,110,3
6,167,1,no_noise,154,4
6,168,4,no_noise,79,2
6,169,4,no_noise,53,3
6,170,4,no_noise,68,1
6,171,4,noise,95,3
6,172,2,noise,40,2
6,173,1,noise,133,3
6,174,1,noise,139,4
6,175,2,no_noise,92,4
6,176,4,noise,16,1
6,177,4,noise,33,1
6,178,2,noise,165,4
6,179,1,noise,134,3
6,180,1,no_noise,30,1
