prot_id,trial_id,noise_id,trajectory_id,t_contr,mark_type
6,1,203,203,MOT,mark
6,2,194,194,MOT,mark
6,3,218,218,MOT,mark
6,4,238,238,MOT,mark
6,5,228,228,MOT,mark
6,6,183,183,MOT,mark
6,7,189,189,MOT,mark
6,8,209,209,MOT,mark
6,9,210,210,MOT,mark
6,10,213,213,MOT,mark
6,11,229,229,MOT,mark
6,12,192,192,MOT,mark
6,13,216,216,MOT,mark
6,14,237,237,MOT,mark
6,15,204,204,MOT,mark
6,16,222,222,MOT,mark
6,17,225,225,MOT,mark
6,18,232,232,MOT,mark
6,19,215,215,MOT,mark
6,20,207,207,MOT,mark
6,21,231,231,MOT,mark
6,22,230,230,MOT,mark
6,23,197,197,MOT,mark
6,24,220,220,MOT,mark
6,25,185,185,MOT,mark
6,26,234,234,MOT,mark
6,27,233,233,MOT,mark
6,28,206,206,MOT,mark
6,29,212,212,MOT,mark
6,30,219,219,MOT,mark
6,31,202,202,MOT,noMark
6,32,221,221,MOT,noMark
6,33,211,211,MOT,noMark
6,34,188,188,MOT,noMark
6,35,239,239,MOT,noMark
6,36,205,205,MOT,noMark
6,37,223,223,MOT,noMark
6,38,208,208,MOT,noMark
6,39,193,193,MOT,noMark
6,40,200,200,MOT,noMark
6,41,196,196,MOT,noMark
6,42,227,227,MOT,noMark
6,43,187,187,MOT,noMark
6,44,181,181,MOT,noMark
6,45,199,199,MOT,noMark
6,46,235,235,MOT,noMark
6,47,191,191,MOT,noMark
6,48,224,224,MOT,noMark
6,49,195,195,MOT,noMark
6,50,240,240,MOT,noMark
6,51,201,201,MOT,noMark
6,52,214,214,MOT,noMark
6,53,217,217,MOT,noMark
6,54,236,236,MOT,noMark
6,55,190,190,MOT,noMark
6,56,186,186,MOT,noMark
6,57,182,182,MOT,noMark
6,58,226,226,MOT,noMark
6,59,184,184,MOT,noMark
6,60,198,198,MOT,noMark
