prot_id,trial_id,noise_id,trajectory_id,t_contr,mark_type
5,1,27,27,1,mark
5,2,3,3,1,mark
5,3,34,34,1,mark
5,4,47,47,1,mark
5,5,22,22,1,mark
5,6,49,49,1,mark
5,7,33,33,1,mark
5,8,38,38,1,mark
5,9,25,25,1,mark
5,10,1,1,1,mark
5,11,28,28,1,mark
5,12,35,35,1,mark
5,13,51,51,1,mark
5,14,55,55,1,mark
5,15,56,56,1,mark
5,16,59,59,1,mark
5,17,58,58,1,mark
5,18,41,41,1,mark
5,19,17,17,1,mark
5,20,10,10,1,mark
5,21,43,43,1,mark
5,22,18,18,1,mark
5,23,2,2,1,mark
5,24,8,8,1,mark
5,25,20,20,1,mark
5,26,53,53,1,mark
5,27,57,57,1,mark
5,28,31,31,1,mark
5,29,23,23,1,mark
5,30,37,37,1,mark
5,31,13,13,1,noMark
5,32,9,9,1,noMark
5,33,60,60,1,noMark
5,34,54,54,1,noMark
5,35,19,19,1,noMark
5,36,21,21,1,noMark
5,37,32,32,1,noMark
5,38,14,14,1,noMark
5,39,30,30,1,noMark
5,40,45,45,1,noMark
5,41,36,36,1,noMark
5,42,11,11,1,noMark
5,43,15,15,1,noMark
5,44,4,4,1,noMark
5,45,52,52,1,noMark
5,46,46,46,1,noMark
5,47,50,50,1,noMark
5,48,5,5,1,noMark
5,49,6,6,1,noMark
5,50,48,48,1,noMark
5,51,26,26,1,noMark
5,52,39,39,1,noMark
5,53,42,42,1,noMark
5,54,44,44,1,noMark
5,55,12,12,1,noMark
5,56,29,29,1,noMark
5,57,7,7,1,noMark
5,58,16,16,1,noMark
5,59,40,40,1,noMark
5,60,24,24,1,noMark
5,61,84,84,3,noMark
5,62,79,79,3,noMark
5,63,95,95,3,noMark
5,64,104,104,3,noMark
5,65,83,83,3,noMark
5,66,111,111,3,noMark
5,67,87,87,3,noMark
5,68,119,119,3,noMark
5,69,92,92,3,noMark
5,70,66,66,3,noMark
5,71,82,82,3,noMark
5,72,74,74,3,noMark
5,73,98,98,3,noMark
5,74,90,90,3,noMark
5,75,86,86,3,noMark
5,76,108,108,3,noMark
5,77,97,97,3,noMark
5,78,68,68,3,noMark
5,79,75,75,3,noMark
5,80,99,99,3,noMark
5,81,78,78,3,noMark
5,82,114,114,3,noMark
5,83,85,85,3,noMark
5,84,70,70,3,noMark
5,85,89,89,3,noMark
5,86,73,73,3,noMark
5,87,94,94,3,noMark
5,88,80,80,3,noMark
5,89,71,71,3,noMark
5,90,116,116,3,noMark
5,91,107,107,3,mark
5,92,109,109,3,mark
5,93,91,91,3,mark
5,94,63,63,3,mark
5,95,77,77,3,mark
5,96,101,101,3,mark
5,97,88,88,3,mark
5,98,117,117,3,mark
5,99,93,93,3,mark
5,100,64,64,3,mark
5,101,67,67,3,mark
5,102,113,113,3,mark
5,103,61,61,3,mark
5,104,76,76,3,mark
5,105,103,103,3,mark
5,106,110,110,3,mark
5,107,72,72,3,mark
5,108,102,102,3,mark
5,109,105,105,3,mark
5,110,115,115,3,mark
5,111,100,100,3,mark
5,112,106,106,3,mark
5,113,62,62,3,mark
5,114,65,65,3,mark
5,115,81,81,3,mark
5,116,96,96,3,mark
5,117,69,69,3,mark
5,118,118,118,3,mark
5,119,120,120,3,mark
5,120,112,112,3,mark
5,121,180,180,2,noMark
5,122,132,132,2,noMark
5,123,158,158,2,noMark
5,124,175,175,2,noMark
5,125,164,164,2,noMark
5,126,123,123,2,noMark
5,127,127,127,2,noMark
5,128,159,159,2,noMark
5,129,156,156,2,noMark
5,130,122,122,2,noMark
5,131,166,166,2,noMark
5,132,139,139,2,noMark
5,133,178,178,2,noMark
5,134,155,155,2,noMark
5,135,150,150,2,noMark
5,136,152,152,2,noMark
5,137,151,151,2,noMark
5,138,136,136,2,noMark
5,139,163,163,2,noMark
5,140,125,125,2,noMark
5,141,134,134,2,noMark
5,142,137,137,2,noMark
5,143,142,142,2,noMark
5,144,124,124,2,noMark
5,145,128,128,2,noMark
5,146,169,169,2,noMark
5,147,168,168,2,noMark
5,148,146,146,2,noMark
5,149,179,179,2,noMark
5,150,167,167,2,noMark
5,151,154,154,2,mark
5,152,177,177,2,mark
5,153,157,157,2,mark
5,154,148,148,2,mark
5,155,153,153,2,mark
5,156,161,161,2,mark
5,157,176,176,2,mark
5,158,141,141,2,mark
5,159,133,133,2,mark
5,160,162,162,2,mark
5,161,121,121,2,mark
5,162,126,126,2,mark
5,163,147,147,2,mark
5,164,174,174,2,mark
5,165,138,138,2,mark
5,166,173,173,2,mark
5,167,135,135,2,mark
5,168,165,165,2,mark
5,169,145,145,2,mark
5,170,171,171,2,mark
5,171,130,130,2,mark
5,172,149,149,2,mark
5,173,143,143,2,mark
5,174,129,129,2,mark
5,175,172,172,2,mark
5,176,140,140,2,mark
5,177,131,131,2,mark
5,178,170,170,2,mark
5,179,160,160,2,mark
5,180,144,144,2,mark
