prot_id,trial_id,noise_id,trajectory_id,t_contr,mark_type
10,1,212,212,MOT,noMark
10,2,238,238,MOT,noMark
10,3,185,185,MOT,noMark
10,4,210,210,MOT,noMark
10,5,236,236,MOT,noMark
10,6,197,197,MOT,noMark
10,7,214,214,MOT,noMark
10,8,201,201,MOT,noMark
10,9,227,227,MOT,noMark
10,10,192,192,MOT,noMark
10,11,204,204,MOT,noMark
10,12,207,207,MOT,noMark
10,13,223,223,MOT,noMark
10,14,226,226,MOT,noMark
10,15,230,230,MOT,noMark
10,16,181,181,MOT,noMark
10,17,221,221,MOT,noMark
10,18,224,224,MOT,noMark
10,19,194,194,MOT,noMark
10,20,235,235,MOT,noMark
10,21,199,199,MOT,noMark
10,22,187,187,MOT,noMark
10,23,240,240,MOT,noMark
10,24,225,225,MOT,noMark
10,25,206,206,MOT,noMark
10,26,196,196,MOT,noMark
10,27,233,233,MOT,noMark
10,28,189,189,MOT,noMark
10,29,213,213,MOT,noMark
10,30,209,209,MOT,noMark
10,31,205,205,MOT,mark
10,32,215,215,MOT,mark
10,33,190,190,MOT,mark
10,34,186,186,MOT,mark
10,35,222,222,MOT,mark
10,36,198,198,MOT,mark
10,37,216,216,MOT,mark
10,38,193,193,MOT,mark
10,39,195,195,MOT,mark
10,40,202,202,MOT,mark
10,41,200,200,MOT,mark
10,42,237,237,MOT,mark
10,43,231,231,MOT,mark
10,44,228,228,MOT,mark
10,45,211,211,MOT,mark
10,46,182,182,MOT,mark
10,47,220,220,MOT,mark
10,48,239,239,MOT,mark
10,49,203,203,MOT,mark
10,50,217,217,MOT,mark
10,51,191,191,MOT,mark
10,52,183,183,MOT,mark
10,53,218,218,MOT,mark
10,54,188,188,MOT,mark
10,55,184,184,MOT,mark
10,56,234,234,MOT,mark
10,57,219,219,MOT,mark
10,58,232,232,MOT,mark
10,59,208,208,MOT,mark
10,60,229,229,MOT,mark
