prot_id,trial_id,noise_present,no_targets,trajectory_id
26,1,noise,2,74
26,2,no_noise,1,117
26,3,noise,2,121
26,4,noise,1,1
26,5,no_noise,2,119
26,6,noise,4,30
26,7,noise,4,17
26,8,no_noise,1,43
26,9,no_noise,4,112
26,10,no_noise,1,122
26,11,noise,4,130
26,12,no_noise,1,106
26,13,no_noise,2,67
26,14,noise,1,180
26,15,no_noise,4,38
26,16,noise,1,158
26,17,no_noise,2,33
26,18,no_noise,1,116
26,19,noise,4,174
26,20,no_noise,1,23
26,21,noise,4,150
26,22,noise,4,133
26,23,no_noise,2,160
26,24,no_noise,4,8
26,25,no_noise,4,42
26,26,noise,4,92
26,27,no_noise,1,60
26,28,noise,2,65
26,29,noise,4,52
26,30,noise,2,3
26,31,noise,2,140
26,32,noise,2,127
26,33,noise,2,111
26,34,noise,2,82
26,35,no_noise,4,131
26,36,noise,2,87
26,37,no_noise,1,15
26,38,noise,2,159
26,39,noise,4,113
26,40,no_noise,2,47
26,41,noise,1,50
26,42,no_noise,1,172
26,43,noise,4,178
26,44,noise,1,27
26,45,no_noise,1,104
26,46,noise,1,161
26,47,noise,4,29
26,48,noise,1,85
26,49,noise,4,51
26,50,no_noise,1,37
26,51,noise,2,136
26,52,noise,1,153
26,53,no_noise,4,90
26,54,noise,4,80
26,55,no_noise,1,73
26,56,no_noise,4,129
26,57,noise,4,166
26,58,no_noise,2,34
26,59,no_noise,1,144
26,60,noise,1,102
26,61,no_noise,2,141
26,62,noise,2,164
26,63,noise,2,21
26,64,no_noise,1,167
26,65,no_noise,2,107
26,66,noise,2,99
26,67,no_noise,2,66
26,68,no_noise,4,83
26,69,no_noise,4,72
26,70,noise,2,63
26,71,noise,1,48
26,72,no_noise,2,146
26,73,no_noise,4,53
26,74,no_noise,4,35
26,75,noise,1,147
26,76,noise,4,170
26,77,no_noise,2,41
26,78,no_noise,1,100
26,79,noise,2,9
26,80,noise,2,78
26,81,noise,1,134
26,82,no_noise,4,96
26,83,noise,4,139
26,84,noise,1,64
26,85,noise,1,103
26,86,no_noise,4,61
26,87,noise,4,4
26,88,no_noise,4,168
26,89,noise,1,6
26,90,noise,2,69
26,91,noise,2,88
26,92,no_noise,2,54
26,93,noise,1,76
26,94,noise,1,132
26,95,no_noise,1,14
26,96,no_noise,1,98
26,97,no_noise,4,101
26,98,noise,4,28
26,99,no_noise,1,89
26,100,no_noise,1,173
26,101,no_noise,2,114
26,102,no_noise,2,179
26,103,no_noise,4,32
26,104,noise,2,175
26,105,noise,4,59
26,106,noise,2,145
26,107,noise,1,70
26,108,noise,4,125
26,109,no_noise,1,152
26,110,noise,2,7
26,111,noise,2,118
26,112,no_noise,4,109
26,113,no_noise,2,176
26,114,no_noise,2,62
26,115,no_noise,1,75
26,116,no_noise,2,40
26,117,no_noise,4,108
26,118,noise,1,12
26,119,noise,1,124
26,120,noise,4,13
26,121,noise,4,163
26,122,no_noise,1,55
26,123,noise,1,44
26,124,no_noise,4,171
26,125,noise,4,79
26,126,no_noise,2,22
26,127,no_noise,4,16
26,128,no_noise,2,155
26,129,noise,1,115
26,130,noise,4,58
26,131,noise,2,10
26,132,no_noise,2,19
26,133,noise,1,91
26,134,noise,4,77
26,135,no_noise,2,94
26,136,no_noise,1,143
26,137,no_noise,4,120
26,138,no_noise,1,97
26,139,no_noise,4,165
26,140,noise,1,26
26,141,no_noise,1,95
26,142,no_noise,4,149
26,143,no_noise,4,105
26,144,noise,1,49
26,145,no_noise,2,154
26,146,no_noise,4,93
26,147,noise,1,123
26,148,no_noise,4,20
26,149,no_noise,2,126
26,150,no_noise,1,2
26,151,no_noise,1,177
26,152,no_noise,2,138
26,153,no_noise,4,68
26,154,noise,1,157
26,155,no_noise,2,84
26,156,no_noise,2,128
26,157,noise,2,18
26,158,no_noise,2,25
26,159,noise,1,45
26,160,noise,4,110
26,161,no_noise,1,135
26,162,no_noise,4,56
26,163,noise,4,137
26,164,no_noise,1,86
26,165,noise,2,57
26,166,noise,4,71
26,167,noise,2,31
26,168,noise,2,24
26,169,no_noise,4,39
26,170,noise,2,148
26,171,noise,2,36
26,172,no_noise,2,46
26,173,noise,4,142
26,174,no_noise,2,11
26,175,no_noise,4,81
26,176,noise,1,169
26,177,no_noise,1,162
26,178,noise,4,151
26,179,no_noise,2,156
26,180,noise,1,5
