prot_id,trial_id,trajectory_id,first_speed,final_speed,noise_present,direction
203,209,289,500,1000,noise,3.8147025619478474
203,210,209,500,500,noise,2.3631054731939556
203,211,246,500,500,no_noise,2.9768892331226553
203,212,219,1000,500,noise,4.822294332052308
203,213,274,500,500,no_noise,2.256496985893971
203,214,285,500,1000,noise,0.5006194071391752
203,215,300,1000,1000,no_noise,0.6886323293749097
203,216,267,500,1000,noise,5.34161929732449
203,217,295,500,500,no_noise,3.925857178360928
203,218,247,500,1000,no_noise,3.491824118753256
203,219,292,1000,500,no_noise,1.335819196242804
203,220,312,500,500,noise,2.9937796990555006
203,221,237,500,500,noise,4.684977646501178
203,222,297,500,1000,no_noise,0.0071313511293991105
203,223,268,1000,500,no_noise,3.871748069367921
203,224,253,500,1000,no_noise,5.163514388620146
203,225,282,500,500,no_noise,5.219887748088274
203,226,241,500,500,noise,3.7513256577253973
203,227,240,1000,1000,no_noise,2.5395632122127845
203,228,222,500,500,no_noise,4.185656185632389
203,229,226,500,500,noise,5.542610649443923
203,230,213,500,1000,noise,4.177566441759229
203,231,272,1000,500,noise,4.646099628629967
203,232,248,1000,1000,no_noise,1.99082623799523
203,233,273,1000,1000,no_noise,2.7666289110505615
203,234,217,1000,1000,noise,0.8024909289568853
203,235,251,500,1000,noise,4.436834298586142
203,236,266,500,500,no_noise,6.096225248548419
203,237,275,500,1000,noise,5.434201824935525
203,238,260,1000,500,no_noise,3.8465122351084156
203,239,235,500,1000,noise,0.8555356933642395
203,240,234,500,500,no_noise,2.486086576833414
203,241,277,500,1000,no_noise,0.18113786265047827
203,242,221,500,1000,noise,1.7179127275149266
203,243,307,500,1000,noise,1.6561925546105576
203,244,287,500,1000,no_noise,3.8297305971144047
203,245,302,1000,500,noise,1.3876595475100881
203,246,231,1000,1000,no_noise,1.371712315563867
203,247,279,1000,500,no_noise,6.004720729177896
203,248,242,1000,500,no_noise,4.491347753747505
203,249,303,1000,500,no_noise,1.9526326229407145
203,250,269,1000,1000,no_noise,3.7870539603068956
203,251,254,1000,500,noise,0.5736894880584842
203,252,308,1000,1000,noise,2.1618410015837135
203,253,211,1000,500,noise,1.6775719173754027
203,254,244,1000,1000,noise,0.7337800557189302
203,255,290,500,1000,no_noise,5.103332737401381
203,256,212,500,500,no_noise,0.6521214402298253
203,257,228,500,500,no_noise,0.30484095000917044
203,258,232,1000,500,no_noise,1.8593891035910062
203,259,245,500,1000,noise,1.8781892086565577
203,260,296,500,500,noise,3.255464118073358
203,261,224,500,1000,no_noise,1.6549608302528656
203,262,281,1000,1000,noise,4.179983278978771
203,263,270,500,1000,no_noise,3.6545550853112
203,264,283,1000,500,no_noise,0.860942591771833
203,265,293,1000,1000,no_noise,0.200404923852342
203,266,310,1000,500,noise,5.104284903965797
203,267,225,500,1000,noise,4.96377213739935
203,268,239,500,1000,no_noise,5.062664390144336
203,269,214,1000,1000,no_noise,3.737707394287206
203,270,299,1000,1000,noise,4.337549068009196
203,271,259,500,500,noise,1.9093056107910336
203,272,220,500,500,noise,4.049060791840243
203,273,262,500,500,no_noise,1.7311088044987866
203,274,210,1000,1000,noise,0.10846731489904293
203,275,271,500,500,noise,2.956338506656695
203,276,309,1000,500,no_noise,3.250588304279
203,277,223,1000,500,no_noise,0.9669190926099009
203,278,264,500,1000,noise,0.923490934304219
203,279,238,1000,1000,noise,4.796600635155271
203,280,215,1000,500,no_noise,0.463620835234432
203,281,280,500,500,noise,3.065252647939279
203,282,265,1000,1000,noise,0.028758557086479453
203,283,294,1000,500,noise,1.5459288114202083
203,284,305,500,1000,no_noise,2.3925551054664904
203,285,218,1000,1000,no_noise,4.9880896336121046
203,286,233,1000,500,no_noise,4.252477706022644
203,287,284,500,500,noise,3.2213181559626918
203,288,304,500,1000,noise,5.080631942679305
203,289,216,500,1000,no_noise,3.7928220868353755
203,290,306,1000,1000,no_noise,4.878408051356809
203,291,252,500,500,noise,3.1216955282003696
203,292,291,1000,1000,noise,3.500244294858817
203,293,298,500,500,no_noise,5.3182805766930965
203,294,255,1000,500,no_noise,4.265381607544795
203,295,236,1000,500,noise,4.767139268816822
203,296,288,1000,1000,no_noise,4.024166603080215
203,297,258,1000,1000,noise,0.2130800366902399
203,298,257,500,1000,no_noise,3.494575967138787
203,299,278,1000,1000,noise,1.3341044280386827
203,300,311,500,500,no_noise,0.9409277825846543
203,301,229,1000,500,noise,6.269065900672489
203,302,230,1000,1000,noise,5.50339907747313
203,303,250,500,500,no_noise,0.3401549190805868
203,304,276,1000,500,noise,2.9348262743573006
203,305,256,1000,1000,noise,0.43508183289328883
203,306,227,500,1000,no_noise,0.31667330207412814
203,307,301,500,500,noise,5.9571587169434626
203,308,261,1000,500,noise,4.429697654619132
203,309,249,1000,1000,no_noise,6.000462009339406
203,310,286,1000,500,noise,5.527241783623259
203,311,243,1000,500,noise,4.079555885351864
203,312,263,1000,1000,no_noise,0.5598925906194697
