prot_id,trial_id,noise_present,no_targets,trajectory_id
2,1,noise,4,114
2,2,no_noise,1,18
2,3,no_noise,2,108
2,4,no_noise,1,44
2,5,noise,1,92
2,6,noise,2,21
2,7,no_noise,2,29
2,8,noise,1,120
2,9,noise,1,164
2,10,noise,2,84
2,11,no_noise,4,23
2,12,no_noise,2,42
2,13,noise,1,82
2,14,no_noise,4,62
2,15,no_noise,1,64
2,16,noise,4,77
2,17,noise,2,107
2,18,noise,4,146
2,19,noise,2,10
2,20,no_noise,1,99
2,21,no_noise,1,83
2,22,noise,2,2
2,23,no_noise,2,124
2,24,noise,2,125
2,25,no_noise,2,112
2,26,noise,1,5
2,27,no_noise,4,100
2,28,no_noise,1,151
2,29,no_noise,1,131
2,30,no_noise,2,143
2,31,noise,4,103
2,32,no_noise,1,58
2,33,no_noise,2,135
2,34,no_noise,2,34
2,35,noise,1,31
2,36,no_noise,1,179
2,37,noise,2,46
2,38,no_noise,1,9
2,39,no_noise,4,79
2,40,noise,4,148
2,41,noise,2,136
2,42,noise,1,65
2,43,no_noise,1,153
2,44,noise,4,161
2,45,noise,1,25
2,46,noise,1,130
2,47,noise,1,40
2,48,noise,2,145
2,49,noise,2,176
2,50,no_noise,4,67
2,51,no_noise,1,110
2,52,no_noise,2,93
2,53,no_noise,4,127
2,54,no_noise,1,39
2,55,no_noise,2,170
2,56,noise,2,142
2,57,no_noise,4,87
2,58,no_noise,4,119
2,59,no_noise,4,88
2,60,noise,4,134
2,61,no_noise,4,33
2,62,no_noise,1,37
2,63,noise,4,60
2,64,noise,4,174
2,65,noise,1,113
2,66,noise,4,70
2,67,noise,2,140
2,68,no_noise,1,169
2,69,no_noise,4,26
2,70,no_noise,1,122
2,71,noise,1,177
2,72,no_noise,2,96
2,73,no_noise,2,8
2,74,noise,2,16
2,75,no_noise,2,128
2,76,noise,4,109
2,77,no_noise,4,150
2,78,noise,2,139
2,79,no_noise,1,94
2,80,noise,4,149
2,81,noise,4,89
2,82,no_noise,4,56
2,83,noise,2,43
2,84,noise,4,152
2,85,noise,2,137
2,86,no_noise,1,22
2,87,noise,2,17
2,88,no_noise,2,171
2,89,noise,4,14
2,90,no_noise,2,166
2,91,no_noise,1,24
2,92,noise,4,178
2,93,no_noise,4,20
2,94,noise,4,74
2,95,no_noise,1,86
2,96,no_noise,4,50
2,97,noise,1,102
2,98,noise,1,138
2,99,noise,1,35
2,100,noise,4,63
2,101,noise,2,57
2,102,no_noise,4,172
2,103,no_noise,2,52
2,104,no_noise,4,168
2,105,noise,2,54
2,106,no_noise,1,156
2,107,no_noise,4,13
2,108,no_noise,2,36
2,109,noise,2,47
2,110,no_noise,4,180
2,111,no_noise,1,28
2,112,noise,4,117
2,113,noise,2,141
2,114,no_noise,2,76
2,115,no_noise,4,71
2,116,noise,1,69
2,117,noise,4,111
2,118,noise,2,104
2,119,noise,2,158
2,120,noise,4,167
2,121,noise,4,165
2,122,noise,4,55
2,123,no_noise,2,78
2,124,no_noise,4,155
2,125,no_noise,4,105
2,126,no_noise,4,61
2,127,noise,4,126
2,128,noise,2,115
2,129,no_noise,4,68
2,130,no_noise,1,154
2,131,no_noise,2,38
2,132,no_noise,4,90
2,133,noise,1,157
2,134,no_noise,2,11
2,135,no_noise,4,97
2,136,noise,2,30
2,137,noise,4,32
2,138,noise,1,27
2,139,noise,4,15
2,140,no_noise,2,1
2,141,no_noise,2,162
2,142,no_noise,4,95
2,143,noise,1,73
2,144,no_noise,1,66
2,145,no_noise,1,45
2,146,no_noise,2,98
2,147,noise,1,160
2,148,noise,4,19
2,149,noise,1,3
2,150,noise,2,159
2,151,no_noise,4,144
2,152,no_noise,2,12
2,153,noise,1,116
2,154,no_noise,1,129
2,155,no_noise,2,101
2,156,no_noise,1,7
2,157,noise,1,59
2,158,no_noise,4,132
2,159,noise,1,163
2,160,noise,4,147
2,161,noise,1,53
2,162,no_noise,1,41
2,163,noise,4,121
2,164,noise,4,175
2,165,noise,2,118
2,166,noise,1,123
2,167,no_noise,4,106
2,168,no_noise,2,81
2,169,no_noise,2,51
2,170,noise,1,91
2,171,noise,2,6
2,172,noise,1,72
2,173,noise,2,80
2,174,no_noise,2,85
2,175,noise,2,48
2,176,no_noise,2,133
2,177,no_noise,1,49
2,178,noise,1,4
2,179,noise,1,75
2,180,no_noise,1,173
