prot_id,trial_id,noise_present,no_targets,trajectory_id
21,1,noise,4,103
21,2,no_noise,4,75
21,3,noise,1,57
21,4,no_noise,1,91
21,5,no_noise,1,90
21,6,noise,1,165
21,7,noise,1,110
21,8,noise,2,61
21,9,noise,4,161
21,10,no_noise,1,137
21,11,no_noise,1,52
21,12,noise,2,71
21,13,noise,4,39
21,14,noise,4,65
21,15,no_noise,2,79
21,16,noise,1,80
21,17,no_noise,1,38
21,18,noise,4,120
21,19,noise,2,123
21,20,no_noise,2,138
21,21,no_noise,1,60
21,22,noise,2,122
21,23,noise,1,20
21,24,noise,1,51
21,25,noise,1,41
21,26,noise,4,125
21,27,noise,2,109
21,28,no_noise,4,27
21,29,no_noise,4,159
21,30,no_noise,2,95
21,31,noise,1,28
21,32,no_noise,4,50
21,33,noise,1,83
21,34,no_noise,4,89
21,35,noise,2,134
21,36,no_noise,2,6
21,37,noise,2,29
21,38,no_noise,4,92
21,39,noise,4,98
21,40,noise,4,169
21,41,noise,2,43
21,42,noise,2,22
21,43,noise,4,131
21,44,noise,4,118
21,45,no_noise,4,130
21,46,noise,2,149
21,47,no_noise,2,58
21,48,no_noise,4,147
21,49,noise,4,78
21,50,noise,1,26
21,51,no_noise,1,17
21,52,no_noise,1,139
21,53,noise,2,127
21,54,no_noise,1,117
21,55,no_noise,1,152
21,56,noise,4,76
21,57,noise,1,5
21,58,noise,4,23
21,59,noise,4,174
21,60,no_noise,1,54
21,61,noise,2,87
21,62,no_noise,2,172
21,63,noise,1,108
21,64,noise,4,151
21,65,noise,4,44
21,66,noise,2,33
21,67,no_noise,2,168
21,68,no_noise,4,154
21,69,noise,1,100
21,70,no_noise,4,150
21,71,no_noise,4,114
21,72,no_noise,2,25
21,73,no_noise,1,84
21,74,noise,4,16
21,75,noise,2,13
21,76,no_noise,1,121
21,77,no_noise,2,155
21,78,noise,1,88
21,79,no_noise,4,85
21,80,no_noise,2,173
21,81,no_noise,2,106
21,82,no_noise,4,42
21,83,noise,4,177
21,84,noise,2,62
21,85,no_noise,4,113
21,86,no_noise,1,35
21,87,no_noise,2,14
21,88,no_noise,2,63
21,89,noise,1,144
21,90,noise,4,18
21,91,noise,4,73
21,92,noise,2,93
21,93,noise,2,136
21,94,noise,1,69
21,95,no_noise,1,72
21,96,no_noise,4,64
21,97,no_noise,2,45
21,98,no_noise,4,81
21,99,noise,2,3
21,100,noise,1,166
21,101,no_noise,1,132
21,102,no_noise,2,115
21,103,no_noise,4,156
21,104,no_noise,1,158
21,105,no_noise,1,10
21,106,noise,1,111
21,107,noise,2,12
21,108,no_noise,1,77
21,109,noise,2,67
21,110,noise,4,101
21,111,no_noise,1,162
21,112,no_noise,1,104
21,113,noise,2,66
21,114,noise,1,116
21,115,noise,4,56
21,116,noise,2,180
21,117,no_noise,4,70
21,118,noise,2,40
21,119,noise,1,97
21,120,noise,4,86
21,121,noise,4,4
21,122,no_noise,1,53
21,123,no_noise,2,94
21,124,noise,1,112
21,125,noise,4,124
21,126,noise,2,21
21,127,noise,4,146
21,128,no_noise,2,142
21,129,no_noise,4,128
21,130,no_noise,1,141
21,131,no_noise,1,157
21,132,no_noise,2,102
21,133,no_noise,4,140
21,134,no_noise,2,47
21,135,no_noise,4,49
21,136,no_noise,4,32
21,137,noise,2,30
21,138,no_noise,1,96
21,139,noise,1,2
21,140,no_noise,4,68
21,141,no_noise,2,7
21,142,noise,1,119
21,143,noise,2,178
21,144,no_noise,1,143
21,145,no_noise,2,164
21,146,no_noise,4,163
21,147,noise,2,105
21,148,noise,4,129
21,149,noise,1,175
21,150,no_noise,2,8
21,151,noise,2,145
21,152,no_noise,1,24
21,153,no_noise,2,170
21,154,noise,2,34
21,155,no_noise,2,179
21,156,noise,2,1
21,157,noise,4,82
21,158,no_noise,4,160
21,159,no_noise,2,15
21,160,noise,1,31
21,161,noise,1,126
21,162,no_noise,1,55
21,163,noise,1,167
21,164,no_noise,4,59
21,165,no_noise,2,11
21,166,no_noise,2,135
21,167,no_noise,1,36
21,168,noise,4,171
21,169,no_noise,4,19
21,170,no_noise,4,48
21,171,no_noise,2,148
21,172,no_noise,4,153
21,173,no_noise,1,9
21,174,no_noise,2,99
21,175,noise,1,107
21,176,noise,1,74
21,177,noise,1,133
21,178,noise,4,46
21,179,no_noise,4,37
21,180,no_noise,2,176
