prot_id,trial_id,no_targets,noise_present,trajectory_id
1,1,1,no_noise,114
1,2,2,noise,5
1,3,1,noise,29
1,4,1,noise,50
1,5,2,no_noise,70
1,6,4,noise,74
1,7,4,no_noise,26
1,8,4,noise,73
1,9,4,noise,11
1,10,1,noise,119
1,11,2,no_noise,6
1,12,4,no_noise,96
1,13,2,noise,155
1,14,2,noise,171
1,15,4,no_noise,88
1,16,2,no_noise,156
1,17,1,no_noise,67
1,18,2,noise,110
1,19,2,noise,134
1,20,4,noise,36
1,21,4,noise,55
1,22,1,no_noise,123
1,23,1,no_noise,120
1,24,1,no_noise,94
1,25,1,noise,48
1,26,2,noise,10
1,27,2,no_noise,153
1,28,4,noise,100
1,29,2,noise,105
1,30,4,noise,25
1,31,1,noise,132
1,32,2,noise,22
1,33,1,noise,117
1,34,4,noise,24
1,35,2,no_noise,47
1,36,2,noise,37
1,37,1,noise,54
1,38,4,no_noise,146
1,39,2,no_noise,19
1,40,1,no_noise,122
1,41,1,noise,145
1,42,2,noise,103
1,43,2,noise,165
1,44,2,no_noise,137
1,45,1,noise,43
1,46,1,noise,115
1,47,2,noise,160
1,48,4,no_noise,57
1,49,1,noise,126
1,50,1,no_noise,38
1,51,4,no_noise,84
1,52,2,noise,63
1,53,4,noise,46
1,54,4,no_noise,78
1,55,2,no_noise,176
1,56,1,noise,18
1,57,4,noise,2
1,58,1,noise,158
1,59,1,no_noise,72
1,60,1,noise,75
1,61,1,no_noise,21
1,62,1,noise,133
1,63,4,no_noise,71
1,64,1,noise,135
1,65,1,noise,87
1,66,4,no_noise,141
1,67,4,no_noise,59
1,68,1,noise,175
1,69,4,noise,140
1,70,2,no_noise,81
1,71,4,noise,162
1,72,4,no_noise,170
1,73,1,noise,40
1,74,2,no_noise,109
1,75,2,no_noise,28
1,76,1,no_noise,32
1,77,2,no_noise,49
1,78,1,no_noise,99
1,79,2,noise,92
1,80,4,no_noise,130
1,81,4,no_noise,65
1,82,2,no_noise,69
1,83,4,noise,121
1,84,2,noise,143
1,85,1,no_noise,20
1,86,4,noise,124
1,87,4,no_noise,62
1,88,4,noise,129
1,89,2,noise,157
1,90,4,no_noise,168
1,91,2,noise,180
1,92,4,no_noise,104
1,93,2,noise,7
1,94,1,noise,61
1,95,1,noise,131
1,96,4,noise,161
1,97,2,no_noise,23
1,98,1,no_noise,34
1,99,2,noise,4
1,100,1,noise,144
1,101,2,no_noise,178
1,102,4,noise,58
1,103,4,noise,98
1,104,4,no_noise,56
1,105,2,noise,51
1,106,1,no_noise,177
1,107,4,no_noise,138
1,108,1,no_noise,3
1,109,4,noise,33
1,110,4,no_noise,83
1,111,1,noise,66
1,112,2,no_noise,64
1,113,4,noise,108
1,114,4,no_noise,79
1,115,1,no_noise,169
1,116,1,no_noise,151
1,117,1,no_noise,45
1,118,4,noise,166
1,119,1,noise,68
1,120,2,no_noise,116
1,121,2,noise,35
1,122,2,noise,31
1,123,2,no_noise,149
1,124,1,no_noise,16
1,125,1,noise,164
1,126,1,no_noise,80
1,127,2,no_noise,148
1,128,4,no_noise,44
1,129,2,noise,127
1,130,2,noise,90
1,131,1,no_noise,128
1,132,2,no_noise,8
1,133,4,noise,147
1,134,4,no_noise,30
1,135,1,noise,101
1,136,4,noise,112
1,137,1,no_noise,152
1,138,2,noise,17
1,139,4,no_noise,174
1,140,1,noise,52
1,141,1,no_noise,42
1,142,4,noise,85
1,143,2,no_noise,89
1,144,4,noise,15
1,145,4,no_noise,39
1,146,4,no_noise,173
1,147,4,noise,111
1,148,2,no_noise,102
1,149,4,no_noise,106
1,150,4,noise,118
1,151,2,noise,136
1,152,2,noise,41
1,153,4,no_noise,159
1,154,2,no_noise,107
1,155,1,no_noise,91
1,156,2,noise,13
1,157,2,no_noise,27
1,158,1,no_noise,9
1,159,4,no_noise,86
1,160,2,no_noise,1
1,161,4,no_noise,167
1,162,2,no_noise,95
1,163,2,noise,77
1,164,2,noise,14
1,165,1,noise,12
1,166,4,no_noise,76
1,167,1,no_noise,125
1,168,1,noise,163
1,169,2,no_noise,97
1,170,4,noise,154
1,171,1,no_noise,172
1,172,2,no_noise,82
1,173,1,no_noise,53
1,174,2,no_noise,60
1,175,1,no_noise,142
1,176,1,no_noise,150
1,177,2,no_noise,179
1,178,4,noise,93
1,179,1,noise,139
1,180,4,noise,113
