prot_id,trial_id,no_targets,noise_present,trajectory_id
5,1,4,noise,105
5,2,2,no_noise,13
5,3,2,noise,160
5,4,1,noise,139
5,5,2,no_noise,87
5,6,1,no_noise,40
5,7,4,no_noise,168
5,8,2,no_noise,123
5,9,2,no_noise,6
5,10,4,noise,5
5,11,1,no_noise,157
5,12,1,no_noise,101
5,13,1,no_noise,10
5,14,1,noise,130
5,15,2,noise,99
5,16,4,noise,109
5,17,1,noise,118
5,18,2,noise,143
5,19,1,no_noise,61
5,20,4,noise,15
5,21,4,noise,50
5,22,1,noise,74
5,23,2,no_noise,136
5,24,2,no_noise,158
5,25,4,noise,180
5,26,4,no_noise,132
5,27,4,noise,116
5,28,2,no_noise,161
5,29,1,no_noise,81
5,30,1,noise,179
5,31,4,no_noise,170
5,32,4,no_noise,25
5,33,4,no_noise,128
5,34,2,noise,164
5,35,4,noise,26
5,36,4,no_noise,140
5,37,2,noise,45
5,38,4,noise,138
5,39,2,noise,171
5,40,1,no_noise,172
5,41,2,noise,152
5,42,4,noise,146
5,43,1,no_noise,169
5,44,2,noise,107
5,45,2,noise,95
5,46,2,no_noise,76
5,47,2,noise,43
5,48,4,noise,24
5,49,4,no_noise,65
5,50,4,no_noise,62
5,51,2,no_noise,159
5,52,4,no_noise,52
5,53,1,noise,23
5,54,4,no_noise,153
5,55,4,noise,39
5,56,1,no_noise,93
5,57,1,noise,55
5,58,1,noise,86
5,59,1,noise,121
5,60,4,no_noise,16
5,61,1,no_noise,150
5,62,4,noise,135
5,63,4,no_noise,20
5,64,4,noise,73
5,65,2,no_noise,28
5,66,4,noise,3
5,67,1,noise,144
5,68,4,noise,162
5,69,1,noise,104
5,70,2,no_noise,57
5,71,4,noise,60
5,72,2,no_noise,68
5,73,2,noise,167
5,74,4,noise,108
5,75,4,no_noise,142
5,76,2,noise,75
5,77,2,noise,12
5,78,1,no_noise,106
5,79,2,no_noise,88
5,80,2,noise,131
5,81,2,no_noise,165
5,82,1,no_noise,98
5,83,2,no_noise,96
5,84,4,noise,155
5,85,4,no_noise,83
5,86,4,no_noise,11
5,87,1,no_noise,126
5,88,1,no_noise,29
5,89,4,no_noise,91
5,90,4,no_noise,102
5,91,2,noise,103
5,92,2,no_noise,66
5,93,4,no_noise,41
5,94,1,no_noise,177
5,95,4,no_noise,154
5,96,4,noise,47
5,97,4,no_noise,70
5,98,4,no_noise,84
5,99,2,no_noise,4
5,100,2,no_noise,64
5,101,2,noise,22
5,102,1,noise,79
5,103,1,no_noise,141
5,104,4,noise,111
5,105,2,noise,67
5,106,1,noise,137
5,107,1,no_noise,97
5,108,4,noise,35
5,109,2,noise,175
5,110,2,no_noise,2
5,111,1,noise,46
5,112,2,noise,19
5,113,4,noise,33
5,114,4,no_noise,115
5,115,4,noise,37
5,116,2,noise,145
5,117,1,noise,133
5,118,4,noise,113
5,119,1,noise,59
5,120,2,no_noise,32
5,121,2,no_noise,151
5,122,1,noise,9
5,123,2,noise,17
5,124,1,no_noise,85
5,125,2,noise,14
5,126,4,noise,49
5,127,4,no_noise,124
5,128,2,noise,31
5,129,4,no_noise,8
5,130,1,noise,89
5,131,4,no_noise,112
5,132,2,noise,147
5,133,2,noise,90
5,134,1,no_noise,72
5,135,1,noise,117
5,136,1,noise,48
5,137,2,no_noise,129
5,138,2,no_noise,51
5,139,2,noise,176
5,140,1,no_noise,149
5,141,1,no_noise,80
5,142,1,noise,53
5,143,2,no_noise,163
5,144,4,no_noise,38
5,145,4,noise,58
5,146,4,no_noise,156
5,147,4,noise,120
5,148,4,no_noise,63
5,149,2,noise,122
5,150,2,noise,56
5,151,2,no_noise,27
5,152,1,no_noise,173
5,153,1,no_noise,92
5,154,1,no_noise,94
5,155,2,no_noise,110
5,156,2,noise,127
5,157,1,no_noise,30
5,158,1,noise,7
5,159,1,noise,174
5,160,2,noise,134
5,161,2,no_noise,42
5,162,1,no_noise,166
5,163,1,no_noise,100
5,164,2,no_noise,114
5,165,1,noise,77
5,166,2,no_noise,54
5,167,1,noise,69
5,168,4,no_noise,44
5,169,1,no_noise,148
5,170,1,noise,119
5,171,4,noise,21
5,172,4,noise,18
5,173,1,no_noise,36
5,174,1,no_noise,125
5,175,4,no_noise,78
5,176,2,no_noise,71
5,177,1,noise,82
5,178,1,noise,34
5,179,1,noise,178
5,180,1,noise,1
