prot_id,trial_id,trajectory_id,Var1,Var2,Var3,noise_present,direction
1,1,9,2500,2000,1500,noise,5.3134898447513095
1,2,8,2500,2000,1500,noise,1.3626238009450384
1,3,1,2500,2000,1500,no_noise,1.1289019184733533
1,4,2,1500,2000,2500,noise,5.971986222614305
1,5,5,2500,2000,1500,no_noise,2.740233462591327
1,6,10,2000,1500,2500,no_noise,2.8499659968204054
1,7,4,2500,1500,2000,noise,1.6290999964281907
1,8,6,2000,1500,2500,noise,6.053841176338828
1,9,7,2500,2000,1500,noise,2.8280970612057432
1,10,3,2500,2000,1500,no_noise,6.185524047333254
