prot_id,trial_id,noise_present,no_targets,trajectory_id
14,1,noise,4,105
14,2,no_noise,1,92
14,3,no_noise,1,79
14,4,no_noise,2,4
14,5,no_noise,1,169
14,6,noise,2,104
14,7,noise,4,39
14,8,noise,2,74
14,9,noise,1,140
14,10,noise,2,107
14,11,noise,4,139
14,12,noise,1,9
14,13,noise,2,28
14,14,no_noise,1,147
14,15,no_noise,1,167
14,16,no_noise,2,2
14,17,noise,1,47
14,18,noise,4,118
14,19,no_noise,1,55
14,20,no_noise,1,179
14,21,noise,1,113
14,22,no_noise,4,42
14,23,noise,1,120
14,24,no_noise,2,110
14,25,no_noise,2,162
14,26,noise,2,170
14,27,noise,4,164
14,28,no_noise,2,150
14,29,no_noise,2,178
14,30,no_noise,1,49
14,31,no_noise,1,122
14,32,no_noise,2,26
14,33,noise,1,99
14,34,no_noise,1,64
14,35,no_noise,2,89
14,36,no_noise,2,171
14,37,noise,1,71
14,38,noise,1,95
14,39,no_noise,2,157
14,40,noise,4,146
14,41,noise,1,18
14,42,noise,4,114
14,43,noise,4,27
14,44,noise,1,76
14,45,noise,1,90
14,46,noise,2,144
14,47,no_noise,4,29
14,48,no_noise,1,135
14,49,no_noise,2,45
14,50,noise,2,117
14,51,no_noise,4,85
14,52,no_noise,1,134
14,53,no_noise,1,21
14,54,noise,2,148
14,55,no_noise,2,23
14,56,no_noise,4,60
14,57,no_noise,4,124
14,58,noise,1,46
14,59,no_noise,4,158
14,60,no_noise,1,156
14,61,no_noise,2,161
14,62,no_noise,1,20
14,63,no_noise,2,50
14,64,no_noise,4,96
14,65,no_noise,4,7
14,66,noise,2,75
14,67,no_noise,1,51
14,68,noise,4,102
14,69,no_noise,2,57
14,70,noise,2,77
14,71,noise,4,78
14,72,noise,1,129
14,73,noise,4,152
14,74,noise,2,133
14,75,noise,4,63
14,76,noise,4,65
14,77,no_noise,2,80
14,78,noise,1,125
14,79,no_noise,2,116
14,80,noise,2,34
14,81,noise,2,66
14,82,no_noise,4,24
14,83,noise,2,149
14,84,no_noise,4,86
14,85,no_noise,2,98
14,86,no_noise,4,128
14,87,noise,1,44
14,88,noise,2,53
14,89,no_noise,1,41
14,90,no_noise,1,6
14,91,noise,1,33
14,92,no_noise,1,16
14,93,noise,4,8
14,94,no_noise,4,172
14,95,no_noise,1,108
14,96,no_noise,1,126
14,97,no_noise,2,15
14,98,noise,1,177
14,99,noise,1,52
14,100,no_noise,4,32
14,101,noise,4,81
14,102,noise,2,174
14,103,no_noise,4,121
14,104,noise,1,123
14,105,no_noise,2,40
14,106,noise,4,173
14,107,noise,2,56
14,108,noise,1,145
14,109,no_noise,4,83
14,110,no_noise,4,10
14,111,no_noise,2,136
14,112,noise,1,180
14,113,noise,2,14
14,114,no_noise,2,93
14,115,noise,4,31
14,116,noise,4,12
14,117,noise,2,97
14,118,no_noise,2,130
14,119,no_noise,2,142
14,120,no_noise,2,67
14,121,no_noise,1,62
14,122,no_noise,2,1
14,123,noise,2,155
14,124,no_noise,4,35
14,125,no_noise,2,36
14,126,noise,4,94
14,127,no_noise,4,17
14,128,noise,4,143
14,129,no_noise,4,43
14,130,no_noise,2,54
14,131,no_noise,1,109
14,132,noise,1,19
14,133,noise,1,141
14,134,no_noise,1,166
14,135,no_noise,4,176
14,136,noise,1,119
14,137,noise,2,101
14,138,no_noise,1,61
14,139,no_noise,1,72
14,140,no_noise,1,5
14,141,noise,4,151
14,142,noise,2,68
14,143,no_noise,2,127
14,144,noise,2,106
14,145,no_noise,4,37
14,146,no_noise,1,175
14,147,noise,4,160
14,148,no_noise,4,30
14,149,no_noise,2,103
14,150,no_noise,4,87
14,151,noise,4,115
14,152,noise,4,22
14,153,noise,4,59
14,154,noise,1,168
14,155,noise,1,159
14,156,no_noise,4,70
14,157,noise,1,131
14,158,no_noise,4,82
14,159,noise,2,69
14,160,noise,2,165
14,161,no_noise,4,3
14,162,noise,2,100
14,163,no_noise,4,58
14,164,noise,2,111
14,165,noise,4,112
14,166,noise,2,48
14,167,no_noise,1,138
14,168,noise,4,84
14,169,noise,4,163
14,170,noise,1,13
14,171,no_noise,4,73
14,172,noise,1,137
14,173,no_noise,4,25
14,174,noise,1,11
14,175,noise,4,91
14,176,noise,2,154
14,177,no_noise,4,153
14,178,no_noise,1,38
14,179,noise,4,88
14,180,noise,2,132
