prot_id,trial_id,trajectory_id,first_speed,final_speed,noise_present,direction
405,417,431,1000,1000,no_noise,1.7762105001254431
405,418,507,1000,500,noise,1.9747827606685737
405,419,480,1000,1000,no_noise,4.845814154627324
405,420,478,1000,500,noise,4.478993217462907
405,421,476,500,500,noise,2.514133016120186
405,422,420,1000,500,noise,5.56364487911259
405,423,508,500,500,no_noise,5.2857373013179085
405,424,457,1000,1000,no_noise,2.7843309527316515
405,425,491,1000,1000,no_noise,0.6233325539257262
405,426,484,500,1000,noise,5.1012934252101285
405,427,511,500,1000,no_noise,5.135460530875794
405,428,460,500,500,no_noise,0.44635762801541556
405,429,433,1000,500,no_noise,2.451995730161384
405,430,451,500,1000,no_noise,0.7334202378510719
405,431,458,1000,1000,noise,1.2373120537563498
405,432,468,500,500,no_noise,3.2165845261022934
405,433,443,1000,1000,noise,0.9580876712143223
405,434,504,500,500,noise,4.386896694644493
405,435,462,500,1000,noise,1.9998713946480253
405,436,424,500,500,no_noise,3.2342748585870775
405,437,516,1000,1000,no_noise,4.300671709107746
405,438,512,1000,1000,no_noise,3.5943882432121512
405,439,440,1000,500,noise,3.6748128580430333
405,440,438,1000,1000,no_noise,1.2987084945931215
405,441,514,500,1000,noise,1.6133618564372032
405,442,485,500,500,noise,4.029395281492802
405,443,483,1000,1000,noise,4.753234109588269
405,444,421,500,1000,noise,2.769514777361334
405,445,417,1000,1000,noise,3.3362036377241466
405,446,501,1000,500,no_noise,3.7320473115734707
405,447,474,1000,500,no_noise,4.1475490129442605
405,448,439,500,500,noise,1.633418597892419
405,449,494,500,500,noise,5.430477880652584
405,450,418,1000,1000,no_noise,2.4410386858707946
405,451,425,500,500,noise,3.46561762810773
405,452,441,1000,500,no_noise,2.4810700654298636
405,453,497,1000,500,noise,1.9716699387099013
405,454,456,1000,1000,no_noise,5.710994425086913
405,455,472,1000,500,no_noise,3.1445013575147014
405,456,430,1000,500,no_noise,1.919568708187378
405,457,465,500,500,noise,0.5833524993845498
405,458,513,500,500,noise,5.782281855477386
405,459,442,500,500,no_noise,1.024055200009541
405,460,453,500,500,noise,0.5470425478893253
405,461,495,500,1000,noise,3.198368302363457
405,462,482,1000,500,no_noise,3.269364111738173
405,463,517,500,1000,no_noise,2.914978133316843
405,464,423,500,500,noise,3.700691587744571
405,465,477,500,1000,noise,5.70959098779383
405,466,452,1000,1000,noise,0.6183672987829194
405,467,428,500,500,no_noise,1.93131403857039
405,468,489,1000,1000,noise,5.712298135254532
405,469,470,500,1000,no_noise,2.752418047293902
405,470,492,500,500,no_noise,0.7360723708144841
405,471,436,500,1000,no_noise,1.2115287472752863
405,472,461,500,500,noise,6.066787641462495
405,473,426,1000,500,noise,1.8519512447914748
405,474,446,1000,500,noise,5.855323959551348
405,475,464,1000,500,noise,4.449574610756997
405,476,422,1000,500,no_noise,0.3608746784160157
405,477,479,1000,1000,noise,4.831822967038202
405,478,463,500,1000,no_noise,6.129300141039021
405,479,459,1000,500,no_noise,2.868641452488095
405,480,467,500,1000,noise,0.7910069752212596
405,481,519,1000,500,no_noise,5.745771696328424
405,482,455,500,1000,noise,0.14822563202110883
405,483,481,500,500,no_noise,5.57139463204662
405,484,473,500,500,no_noise,4.5983157107408434
405,485,486,1000,1000,no_noise,5.3351671278571615
405,486,515,500,500,no_noise,4.081452914130726
405,487,445,500,1000,no_noise,5.551899689169713
405,488,437,1000,1000,noise,0.7709155552929747
405,489,488,1000,500,noise,0.6752752831260334
405,490,475,500,1000,no_noise,5.658666658773979
405,491,471,1000,1000,noise,0.02840343225981945
405,492,509,500,500,noise,3.8229017452596
405,493,434,500,500,no_noise,0.14425269615523995
405,494,520,1000,500,noise,6.266670442537756
405,495,449,500,500,no_noise,2.9024061006126463
405,496,450,1000,500,noise,0.32407653506564094
405,497,419,500,1000,no_noise,1.6576990149835362
405,498,429,1000,1000,noise,3.8196640398361734
405,499,506,500,1000,noise,5.144713939768845
405,500,466,1000,1000,no_noise,1.336791929972497
405,501,454,1000,500,no_noise,3.88992266723573
405,502,490,1000,500,no_noise,0.34578981619666926
405,503,502,500,500,no_noise,2.7874361514242127
405,504,496,1000,500,noise,5.960604025071518
405,505,493,500,1000,no_noise,0.2625396072798809
405,506,505,1000,1000,noise,2.6639820644259564
405,507,435,500,1000,noise,4.011871480287571
405,508,448,1000,1000,no_noise,1.751493773568857
405,509,447,500,1000,noise,2.0366887607419617
405,510,498,500,1000,no_noise,0.7014784456329289
405,511,487,500,1000,no_noise,3.2004284216385503
405,512,518,1000,1000,noise,4.626187660473711
405,513,500,1000,1000,noise,0.4351160242146377
405,514,432,500,1000,noise,4.289540296685454
405,515,444,500,500,noise,4.009867882315387
405,516,510,1000,500,no_noise,0.45950275448841094
405,517,469,1000,500,noise,5.475070764593763
405,518,503,500,1000,noise,1.7135348003338295
405,519,499,1000,1000,no_noise,0.9686535224330077
405,520,427,500,1000,no_noise,3.019484629700468
